time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,0313,0314,033d,0345,0348,0409,040a,altitude,latitude,longitude,satelites,bearing,angular_speed
605933,2024-09-02 00:55:26,2024-09-01 21:48:25,53,48,False,7.357,41.176,80,7.088,0.0,91,0,899.0,12.0,13.0,4983.387,52.625,63.672,0.139,,,,,,,,1239,35.691147,51.24514,12,292.31,0.0
606434,2024-09-02 00:55:27,2024-09-01 21:48:27,53,48,False,8.786,41.176,32,4.541,0.0,91,0,1376.0,13.3,13.0,4983.387,-1.312,523.656,0.139,,,,,,,,1239,35.691147,51.24514,12,292.31,0.0
606934,2024-09-02 00:55:27,2024-09-01 21:48:27,53,48,False,8.929,41.176,35,3.42,0.0,91,0,1114.75,13.4,13.0,4983.387,-0.75,658.781,0.139,,,,,,,,1239,35.691147,51.24514,12,292.31,0.0
607434,2024-09-02 00:55:27,2024-09-01 21:48:27,53,48,False,9.143,41.176,39,3.355,0.0,91,0,822.75,13.4,13.0,4983.387,9.562,817.266,0.139,,,,,,,,1239,35.691147,51.24514,12,292.31,0.0
607934,2024-09-02 00:55:27,2024-09-01 21:48:27,53,48,False,9.357,41.176,42,3.033,0.0,92,0,748.0,13.5,13.0,4983.387,11.938,977.0,0.139,,,,,,,,1239,35.691147,51.24514,12,292.31,0.0
608434,2024-09-01 21:48:30,2024-09-01 21:48:29,53,51,True,9.5,41.176,46,4.135,0.0,91,0,848.25,13.7,13.0,4983.387,5.625,1175.734,0.139,,,,,,,,1239,35.691151,51.245132,12,301.62,0.3249803067213443
608934,2024-09-01 21:48:30,2024-09-01 21:48:29,53,51,True,9.5,41.176,44,4.201,0.0,92,0,915.75,13.8,13.0,4983.387,1.625,1338.844,0.139,,,,,,,,1239,35.691151,51.245132,12,301.62,0.0
609434,2024-09-01 21:48:30,2024-09-01 21:48:29,53,51,True,9.5,41.333,81,25.117,41.946,92,0,1058.5,13.8,13.0,4983.387,74.25,1554.625,0.139,,,,,,,,1239,35.691151,51.245132,12,301.62,0.0
609934,2024-09-01 21:48:30,2024-09-01 21:48:29,53,51,True,9.5,40.768,87,13.832,19.962,92,0,1765.0,13.9,13.0,4983.387,55.938,2388.391,0.139,,,,,,,,1239,35.691151,51.245132,12,301.62,0.0
610434,2024-09-01 21:48:32,2024-09-01 21:48:31,53,51,True,9.5,38.809,50,7.055,10.764,92,3,1295.75,13.9,1.0,4983.387,37.062,3035.25,0.139,,,,,,,,1239,35.691162,51.24514,12,30.57,3.104940739297912
610934,2024-09-01 21:48:32,2024-09-01 21:48:31,53,51,True,9.0,37.948,53,3.936,18.887,91,6,690.0,13.9,1.0,4983.387,34.562,3230.047,0.139,,,,,,,,1239,35.691162,51.24514,12,30.57,0.0
611434,2024-09-01 21:48:32,2024-09-01 21:48:31,53,51,True,9.5,38.271,55,6.219,20.377,91,6,864.75,14.0,1.0,4983.387,41.375,3443.547,0.139,,,,,,,,1239,35.691162,51.24514,12,30.57,0.0
611934,2024-09-01 21:48:32,2024-09-01 21:48:31,53,51,True,9.571,38.404,58,7.471,26.031,92,7,1039.25,14.0,1.0,4983.391,45.625,3716.719,0.139,,,,,,,,1239,35.691162,51.24514,12,30.57,0.0
612434,2024-09-01 21:48:35,2024-09-01 21:48:33,53,51,True,9.643,38.407,64,10.076,23.679,92,9,1202.5,14.0,1.0,4983.391,58.688,4115.234,0.139,,,,,,,,1239,35.6912,51.245152,12,14.38,-0.5651376117957638
612934,2024-09-01 21:48:35,2024-09-01 21:48:33,53,51,True,9.643,37.468,65,11.553,23.984,92,11,1417.75,14.1,1.0,4983.391,60.875,4570.359,0.139,,,,,,,,1239,35.6912,51.245152,12,14.38,0.0
613434,2024-09-01 21:48:35,2024-09-01 21:48:33,53,51,True,9.643,36.937,65,12.383,23.984,92,13,1680.0,14.1,1.0,4983.395,59.312,5134.25,0.139,,,,,,,,1239,35.6912,51.245152,12,14.38,0.0
613934,2024-09-01 21:48:35,2024-09-01 21:48:33,53,51,True,9.643,36.969,64,13.295,24.42,92,15,1946.25,14.1,1.0,4983.395,58.812,5760.938,0.139,,,,,,,,1239,35.6912,51.245152,12,14.38,0.0
614434,2024-09-01 21:48:36,2024-09-01 21:48:35,53,48,True,9.643,36.253,62,13.867,25.058,92,17,2215.25,14.2,1.0,4983.398,57.0,6519.328,0.139,,,,,,,,1240,35.691273,51.245167,12,9.47,-0.171391332545843
614934,2024-09-01 21:48:36,2024-09-01 21:48:35,53,48,True,9.643,35.843,61,14.041,25.064,92,19,2417.75,14.2,1.0,4983.398,54.0,7180.781,0.139,,,,,,,,1240,35.691273,51.245167,12,9.47,0.0
615434,2024-09-01 21:48:36,2024-09-01 21:48:35,53,48,True,9.571,35.474,57,7.668,0.0,91,20,2623.5,14.4,1.0,4983.402,0.375,7953.672,0.139,,,,,,,,1240,35.691273,51.245167,12,9.47,0.0
615934,2024-09-01 21:48:36,2024-09-01 21:48:35,53,48,True,9.571,36.358,33,7.156,0.0,91,21,2464.75,14.4,1.0,4983.406,-7.812,8376.484,0.139,,,,,,,,1240,35.691273,51.245167,12,9.47,0.0
616434,2024-09-02 00:55:30,2024-09-01 21:48:37,53,48,False,9.571,37.154,30,5.035,0.0,91,20,2038.75,14.4,1.0,4983.41,-10.125,8706.547,0.139,,,,,,,,1240,35.691322,51.245174,12,6.62,-0.09948376736367659
616934,2024-09-02 00:55:30,2024-09-01 21:48:37,53,48,False,9.5,37.556,31,4.449,0.0,92,20,1669.0,14.4,2.0,4983.41,-11.188,8903.844,0.139,,,,,,,,1240,35.691322,51.245174,12,6.62,0.0
617434,2024-09-02 00:55:30,2024-09-01 21:48:37,53,48,False,9.643,38.702,42,7.227,17.279,91,19,1605.5,14.4,2.0,4983.414,8.562,9155.391,0.139,,,,,,,,1240,35.691322,51.245174,12,6.62,0.0
617934,2024-09-02 00:55:30,2024-09-01 21:48:37,53,48,False,9.357,38.636,47,7.869,16.254,92,19,1427.5,14.4,2.0,4983.418,16.5,9475.469,0.139,,,,,,,,1240,35.691322,51.245174,12,6.62,0.0
618434,2024-09-01 21:48:40,2024-09-01 21:48:39,53,48,True,9.5,38.89,50,7.227,4.703,91,19,1363.25,14.4,2.0,4983.418,16.938,9918.969,0.139,,,,,,,,1240,35.691467,51.245216,12,13.24,0.2310815929640494
618934,2024-09-01 21:48:40,2024-09-01 21:48:39,53,48,True,9.5,38.687,47,6.885,8.829,91,19,1353.25,14.4,2.0,4983.422,12.188,10176.359,0.139,,,,,,,,1240,35.691467,51.245216,12,13.24,0.0
619434,2024-09-01 21:48:41,2024-09-01 21:48:39,53,48,True,9.5,38.779,45,6.855,12.833,91,19,1368.5,14.4,2.0,4983.426,11.062,10484.094,0.139,,,,,,,,1240,35.691467,51.245216,12,13.24,0.0
619934,2024-09-01 21:48:41,2024-09-01 21:48:39,53,48,True,9.571,38.823,46,7.295,13.422,91,18,1354.25,14.4,2.0,4983.426,12.312,10795.156,0.139,,,,,,,,1240,35.691467,51.245216,12,13.24,0.0
620434,2024-09-02 00:55:31,2024-09-01 21:48:41,53,48,False,9.571,39.647,48,7.021,0.0,91,18,1333.75,14.5,2.0,4983.43,1.312,11144.078,0.139,,,,,,,,1240,35.691563,51.245232,12,7.71,-0.1930334152705729
620934,2024-09-02 00:55:31,2024-09-01 21:48:41,53,48,False,9.5,40.113,44,6.074,0.0,91,18,1316.75,14.5,2.0,4983.434,-8.688,11428.688,0.139,,,,,,,,1240,35.691563,51.245232,12,7.71,0.0
621434,2024-09-02 00:55:31,2024-09-01 21:48:41,53,48,False,9.429,40.22,43,5.428,0.0,91,17,1162.0,14.5,2.0,4983.434,-11.75,11689.797,0.139,,,,,,,,1240,35.691563,51.245232,12,7.71,0.0
621934,2024-09-02 00:55:31,2024-09-01 21:48:41,53,48,False,9.357,41.1,46,5.389,0.0,91,17,1010.25,14.5,2.0,4983.438,-10.75,11931.547,0.139,,,,,,,,1240,35.691563,51.245232,12,7.71,0.0
