report_trip_number,trip_start_time,trip_end_time,data_count,trip_time,trip_distance,trip_idle_time,trip_speed_avg,trip_speed_std,trip_speed_max,trip_engine_speed_avg,trip_acceleration_avg,trip_deceleration_avg,trip_accelerator_pedal_position_avg,trip_accelerator_pedal_position_std,trip_coolant_temperature_avg,trip_coolant_temperature_start,trip_fuel_consumption_lit,trip_fuel_consumption_avg,trip_numeric
trip_4,2024-08-11 12:12:32,2024-08-11 12:19:08,791,396,0.375,0.526,3.25,4.071,18,1019.686,0.107,0.756,3.939,6.707,86.617,84.0,0.178,0.0,4
trip_6,2024-08-11 14:27:48,2024-08-11 14:32:45,595,297,0.004,0.997,0.02,0.348,6,871.421,0.006,0.0,0.201,2.419,82.96,82.0,0.111,0.0,6
trip_8,2024-08-11 14:59:41,2024-08-11 15:04:37,594,296,0.004,0.995,0.029,0.403,6,845.496,0.006,0.0,0.0,0.0,90.076,89.0,0.105,0.0,8
trip_13,2024-08-11 17:05:12,2024-08-11 17:27:21,2658,1329,13.41,0.164,36.392,25.738,80,1736.054,0.236,0.758,15.568,16.809,99.85,74.0,1.719,12.82,13
trip_21,2024-08-18 17:29:33,2024-08-18 17:43:13,1642,820,13.125,0.032,57.84,27.241,88,1950.717,0.24,0.827,17.836,18.107,87.395,86.0,0.896,6.825,21
trip_27,2024-08-21 14:46:45,2024-08-21 15:08:03,2556,1278,19.312,0.009,54.627,26.101,113,1761.842,0.234,0.728,13.473,17.288,87.451,89.0,0.891,4.614,27
trip_30,2024-08-21 15:15:53,2024-08-21 15:37:49,2633,1316,11.734,0.291,32.176,25.348,77,1555.835,0.187,0.781,13.532,16.141,91.826,93.0,0.929,7.921,30
trip_32,2024-09-01 14:09:53,2024-09-01 14:20:00,1218,607,1.93,0.699,11.403,22.21,78,1129.423,0.112,0.886,6.587,17.143,64.278,33.0,0.408,21.132,32
trip_33,2024-09-01 14:24:57,2024-09-01 14:34:54,1194,597,5.871,0.085,35.387,24.515,90,1756.497,0.487,0.984,15.181,23.044,84.461,80.0,0.659,11.225,33
trip_35,2024-09-01 14:45:21,2024-09-01 15:06:41,2562,1280,14.023,0.118,39.532,28.743,92,1768.874,0.28,0.79,14.344,17.844,85.654,84.0,1.276,9.098,35
trip_44,2024-09-01 18:44:06,2024-09-01 18:51:22,873,436,4.215,0.0,34.821,18.77,99,1698.935,0.443,0.825,17.807,20.588,77.349,55.0,0.469,11.13,44
trip_46,2024-09-01 20:15:36,2024-09-01 20:30:10,1750,874,9.137,0.218,37.701,29.606,92,1741.412,0.243,0.792,13.777,18.015,84.911,70.0,0.806,8.823,46
trip_50,2024-09-01 21:23:30,2024-09-01 21:31:26,956,476,0.002,0.998,0.013,0.274,6,757.385,0.003,0.0,0.0,0.0,84.153,81.0,0.123,0.0,50
trip_53,2024-09-01 21:48:25,2024-09-01 21:55:41,872,436,2.375,0.261,19.542,17.485,60,1361.778,0.344,1.021,11.193,19.379,89.599,91.0,0.335,14.114,53
trip_57,2024-09-01 22:30:23,2024-09-02 00:52:30,17053,8527,132.637,0.079,56.281,32.102,120,1980.207,0.22,0.674,17.142,18.688,88.344,93.0,9.295,7.008,57
trip_58,2024-09-02 00:55:39,2024-09-02 01:38:57,5196,2598,39.844,0.328,55.579,44.96,126,1720.569,0.142,0.675,17.301,21.17,86.994,91.0,3.034,7.615,58
trip_62,2024-09-02 15:10:31,2024-09-02 15:31:55,2566,1284,16.968,0.041,47.782,24.092,88,1952.811,0.316,0.879,18.401,17.985,82.627,60.0,1.784,10.513,62
trip_63,2024-09-02 15:32:19,2024-09-02 16:03:15,3712,1856,11.891,0.547,23.146,28.886,95,1408.75,0.142,0.878,8.43,15.077,83.797,86.0,1.549,13.025,63
trip_66,2024-09-03 12:07:28,2024-09-03 13:36:38,10697,5350,26.926,0.435,18.103,25.423,96,1307.595,0.175,0.854,8.571,16.713,80.36,35.0,4.786,17.776,66
trip_68,2024-09-03 15:13:46,2024-09-03 15:57:17,5221,2611,23.36,0.229,32.272,28.347,92,1603.004,0.287,0.903,14.593,20.386,83.051,69.0,3.35,14.343,68
trip_72,2024-09-04 09:24:38,2024-09-04 10:04:32,4789,2394,18.59,0.334,28.019,24.73,85,1474.362,0.209,0.848,12.714,18.148,80.835,42.0,2.13,11.459,72
trip_78,2024-09-06 00:21:00,2024-09-06 00:47:00,3122,1560,12.012,0.251,27.734,22.44,78,1517.2,0.212,0.796,13.228,16.878,74.182,30.0,1.351,11.251,78
trip_79,2024-09-06 01:10:20,2024-09-06 01:26:56,1996,996,10.558,0.112,38.183,21.287,86,1856.381,0.3,0.778,15.028,17.112,84.224,85.0,1.033,9.783,79
trip_81,2024-09-06 13:19:42,2024-09-06 13:26:30,817,408,4.902,0.024,43.343,19.477,77,1935.09,0.436,0.955,17.581,20.718,88.827,91.0,0.466,9.507,81
trip_82,2024-09-06 13:38:09,2024-09-06 13:44:01,705,352,4.481,0.157,45.945,29.422,99,1974.07,0.331,0.865,16.713,18.564,85.86,93.0,0.395,8.819,82
trip_83,2024-09-06 13:47:00,2024-09-06 13:52:36,672,336,1.324,0.488,14.18,17.849,51,1221.733,0.195,0.988,7.397,13.481,89.246,88.0,0.164,12.365,83
trip_90,2024-09-07 01:04:12,2024-09-07 04:18:01,23257,11629,261.457,0.036,81.483,28.699,134,2423.819,0.213,0.666,23.669,19.947,85.723,94.0,20.289,7.76,90
trip_91,2024-09-07 07:51:52,2024-09-07 08:14:07,2676,1335,8.961,0.303,24.108,29.113,93,1487.409,0.21,0.903,11.884,16.954,82.027,40.0,1.021,11.394,91
trip_93,2024-09-07 18:08:15,2024-09-07 18:31:13,2758,1378,0.0,0.202,25.712,23.278,87,1488.946,0.372,1.031,13.441,20.873,84.305,65.0,1.294,0.0,93
trip_96,2024-09-08 08:09:00,2024-09-08 08:26:08,2057,1028,12.325,0.128,43.307,29.733,102,1676.653,0.273,0.853,16.061,17.95,76.215,35.0,1.02,8.279,96
trip_97,2024-09-08 09:22:17,2024-09-08 09:39:11,2029,1014,13.465,0.087,47.943,25.702,86,1670.651,0.319,0.839,16.806,20.84,82.125,74.0,1.08,8.024,97
