time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,altitude,latitude,longitude,satelites,bearing,correct_altitude,slope
3752930,2024-08-11 18:47:03,2024-08-11 15:25:49,2,41,False,9.714,29.292,26,4.916,0.0,87,37,1688.75,14.5,3,4814.504,-23.312,1422609.125,0.232,1279,35.708618,51.269939,12,191.07,1251,-1.754385964913177
3753430,2024-08-11 18:47:03,2024-08-11 15:25:49,2,41,False,9.643,30.755,26,4.812,0.0,88,36,1635.25,14.5,3,4814.508,-23.375,1422609.125,0.232,1279,35.708618,51.269939,12,191.07,1251,-1.754385964913177
3753930,2024-08-11 18:47:03,2024-08-11 15:25:49,2,41,False,9.571,31.248,26,4.363,5.768,87,35,1556.5,12.7,3,4814.516,1.688,1422609.125,0.232,1279,35.708618,51.269939,12,191.07,1251,-1.754385964913177
3754430,2024-08-11 18:47:03,2024-08-11 15:25:49,2,41,False,9.714,31.928,27,7.631,34.167,88,35,1685.0,12.7,3,4814.52,12.375,1422767.5,0.232,1279,35.708618,51.269939,12,191.07,1251,-1.754385964913177
3754930,2024-08-11 18:47:05,2024-08-11 15:25:51,2,41,False,9.571,32.303,75,22.67,43.314,87,35,1676.5,13.3,3,4814.523,78.938,1423265.5,0.232,1279,35.708443,51.26989,12,192.81,1251,-1.754385964913177
3755430,2024-08-11 18:47:05,2024-08-11 15:25:51,2,41,False,9.571,31.191,87,33.67,43.683,87,37,1686.0,14.5,3,4814.527,87.688,1424169.0,0.232,1279,35.708443,51.26989,12,192.81,1251,-1.754385964913177
3755930,2024-08-11 18:47:05,2024-08-11 15:25:51,2,41,False,9.643,31.17,96,40.01,43.683,87,39,1787.75,14.5,3,4814.535,94.938,1425147.625,0.232,1279,35.708443,51.26989,12,192.81,1251,-1.754385964913177
3756430,2024-08-11 18:47:05,2024-08-11 15:25:51,2,41,False,9.571,31.151,104,46.639,41.84,88,41,1891.0,14.5,3,4814.539,101.375,1426289.0,0.232,1279,35.708443,51.26989,12,192.81,1251,-1.754385964913177
3756930,2024-08-11 18:47:06,2024-08-11 15:25:53,2,41,False,9.714,30.349,113,42.146,37.451,87,44,1995.25,14.4,3,4814.547,110.688,1427810.0,0.232,1270,35.708126,51.26981,12,191.58,1251,-1.754385964913177
3757430,2024-08-11 18:47:06,2024-08-11 15:25:53,2,41,False,9.643,29.393,115,39.779,36.703,87,46,2070.0,14.2,3,4814.551,113.625,1429110.125,0.232,1270,35.708126,51.26981,12,191.58,1251,-1.754385964913177
3757930,2024-08-11 18:47:06,2024-08-11 15:25:53,2,41,False,9.714,29.003,97,19.369,32.953,87,48,2183.0,14.5,3,4814.559,97.25,1430653.0,0.232,1270,35.708126,51.26981,12,191.58,1251,-1.754385964913177
3758430,2024-08-11 18:47:06,2024-08-11 15:25:53,2,41,False,9.714,29.004,79,16.391,30.463,87,50,2284.0,14.5,3,4814.566,82.375,1431626.625,0.232,1270,35.708126,51.26981,12,191.58,1251,-1.754385964913177
3758930,2024-08-11 18:47:08,2024-08-11 15:25:55,2,41,False,9.714,29.084,63,13.805,24.503,87,52,2359.5,14.5,3,4814.57,58.375,1432705.75,0.232,1269,35.707874,51.269733,12,193.93,1251,-1.754385964913177
3759430,2024-08-11 18:47:08,2024-08-11 15:25:55,2,41,False,9.714,29.274,55,13.232,23.962,87,53,2402.0,14.5,3,4814.578,47.125,1433175.375,0.232,1269,35.707874,51.269733,12,193.93,1251,-1.754385964913177
3759930,2024-08-11 18:47:08,2024-08-11 15:25:55,2,41,False,9.714,29.758,52,13.121,25.98,87,54,2440.75,14.5,3,4814.586,41.938,1433761.0,0.232,1269,35.707874,51.269733,12,193.93,1251,-1.754385964913177
3760430,2024-08-11 18:47:08,2024-08-11 15:25:55,2,41,False,9.643,30.077,54,14.004,25.98,87,55,2486.0,14.5,3,4814.594,45.812,1434400.0,0.232,1269,35.707874,51.269733,12,193.93,1251,-1.754385964913177
3760930,2024-08-11 18:47:09,2024-08-11 15:25:57,2,41,False,9.643,30.285,55,14.568,25.833,87,56,2539.5,14.5,3,4814.602,47.75,1435247.25,0.232,1269,35.707741,51.269703,12,190.38,1251,-1.754385964913177
3761430,2024-08-11 18:47:09,2024-08-11 15:25:57,2,41,False,9.714,30.354,52,13.527,24.069,87,57,2564.5,14.5,3,4814.609,41.188,1435829.75,0.232,1269,35.707741,51.269703,12,190.38,1251,-1.754385964913177
3761930,2024-08-11 18:47:09,2024-08-11 15:25:57,2,41,False,9.714,30.495,50,13.447,23.898,87,57,2605.5,14.5,3,4814.617,38.688,1436490.375,0.232,1269,35.707741,51.269703,12,190.38,1251,-1.754385964913177
3762430,2024-08-11 18:47:09,2024-08-11 15:25:57,2,41,False,9.714,30.857,49,13.506,22.842,87,58,2637.25,14.5,3,4814.625,37.25,1437138.75,0.232,1269,35.707741,51.269703,12,190.38,1251,-1.754385964913177
3762930,2024-08-11 18:47:11,2024-08-11 15:25:59,2,41,False,9.643,31.066,45,12.49,20.743,87,59,2671.5,14.5,3,4814.633,29.625,1437886.875,0.232,1269,35.707458,51.269619,12,193.55,1251,-1.754385964913177
3763430,2024-08-11 18:47:11,2024-08-11 15:25:59,2,41,False,9.714,31.528,39,11.223,17.95,87,59,2695.0,14.5,3,4814.641,20.125,1438329.875,0.232,1269,35.707458,51.269619,12,193.55,1251,-1.754385964913177
3763930,2024-08-11 18:47:11,2024-08-11 15:25:59,2,41,False,9.714,31.787,34,9.871,13.791,87,60,2704.5,14.5,3,4814.648,11.188,1438770.875,0.232,1269,35.707458,51.269619,12,193.55,1251,-1.754385964913177
3764430,2024-08-11 18:47:11,2024-08-11 15:25:59,2,41,False,9.714,32.177,29,8.99,12.149,87,60,2724.0,14.5,3,4814.656,5.562,1439123.75,0.232,1269,35.707458,51.269619,12,193.55,1251,-1.754385964913177
