time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed,correct_altitude,slope
139506,2024-09-06 12:18:40,2024-09-06 12:18:38,6,45,True,9.571,61.25,28,8.453,0.0,50,27,3353.25,14.2,1,5620.391,-11.5,109717.203,0.0,5,37.381393,49.567318,12,336.08,0.0,-23,0.4
140006,2024-09-06 12:18:40,2024-09-06 12:18:38,6,45,True,9.643,61.831,36,13.553,47.424,50,27,2819.5,14.0,1,5620.395,41.75,110069.891,0.0,5,37.381393,49.567318,12,336.08,0.0,-23,0.4
140506,2024-09-06 12:18:44,2024-09-06 12:18:40,6,45,True,9.643,61.334,31,8.014,0.0,50,26,3251.0,14.2,1,5620.398,-8.562,110806.5,0.0,5,37.381512,49.567253,12,336.54,0.0160570291183491,-23,0.4
141006,2024-09-06 12:18:44,2024-09-06 12:18:40,6,45,True,9.571,60.887,30,8.035,0.0,50,26,2792.75,14.2,1,5620.402,-6.688,111118.422,0.0,5,37.381512,49.567253,12,336.54,0.0,-23,0.4
141506,2024-09-06 12:18:44,2024-09-06 12:18:40,6,45,True,9.571,60.524,30,6.457,0.0,50,25,2217.75,14.2,2,5620.402,-7.312,111440.281,0.0,5,37.381512,49.567253,12,336.54,0.0,-23,0.4
142006,2024-09-06 12:18:44,2024-09-06 12:18:40,6,45,True,9.643,60.432,29,4.895,0.0,50,25,1661.75,14.1,2,5620.406,-8.312,111668.078,0.0,5,37.381512,49.567253,12,336.54,0.0,-23,0.4
142506,2024-09-06 13:18:03,2024-09-06 12:18:42,6,45,False,9.643,60.35,30,7.164,39.798,50,24,1339.0,14.1,2,5620.41,18.312,111855.469,0.0,5,37.38163,49.567204,12,341.74,0.1815142422074099,-23,0.4
143006,2024-09-06 13:18:03,2024-09-06 12:18:42,6,45,False,9.571,60.433,55,9.805,18.826,50,24,1828.25,14.1,2,5620.414,27.75,112130.422,0.0,5,37.38163,49.567204,12,341.74,0.0,-23,0.4
143506,2024-09-06 13:18:03,2024-09-06 12:18:42,6,45,False,9.714,58.154,52,11.535,30.997,51,24,1723.0,14.1,2,5620.418,37.5,112619.297,0.0,5,37.38163,49.567204,12,341.74,0.0,-23,0.4
144006,2024-09-06 13:18:03,2024-09-06 12:18:42,6,45,False,9.571,58.299,73,19.543,45.261,51,24,1824.75,14.1,2,5620.422,76.375,113221.688,0.0,5,37.38163,49.567204,12,341.74,0.0,-23,0.4
