time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed,correct_altitude,slope
1555228,2024-09-01 20:41:00,2024-09-01 20:40:57,18,90,True,9.214,44.334,51,5.23,0.0,84,0,866.5,14.5,13,4981.18,-6.062,79438.75,0.139,1227,35.689919,51.262501,12,0.0,0.0,1208,0.0
1555728,2024-09-01 20:41:00,2024-09-01 20:40:57,18,90,True,9.143,44.606,50,5.113,0.0,85,0,874.75,14.5,13,4981.18,-7.125,79635.062,0.139,1227,35.689919,51.262501,12,0.0,0.0,1208,0.0
1556228,2024-09-01 20:49:36,2024-09-01 20:40:59,18,90,False,9.143,44.224,53,4.883,0.0,85,0,866.75,14.5,13,4981.18,-6.0,79842.156,0.139,1227,35.689915,51.262508,12,125.13,4.367860986041009,1208,0.0
1556728,2024-09-01 20:49:36,2024-09-01 20:40:59,18,90,False,9.143,44.037,51,4.98,0.0,85,0,845.75,14.5,13,4981.18,-5.5,80014.969,0.139,1227,35.689915,51.262508,12,125.13,0.0,1208,0.0
1557228,2024-09-01 20:49:36,2024-09-01 20:40:59,18,90,False,9.143,44.339,51,5.098,0.0,85,0,857.75,14.5,13,4981.18,-5.688,80194.75,0.139,1227,35.689915,51.262508,12,125.13,0.0,1208,0.0
1557728,2024-09-01 20:49:36,2024-09-01 20:40:59,18,90,False,9.143,43.984,51,5.057,0.0,85,0,854.25,14.5,13,4981.18,-6.25,80376.016,0.139,1227,35.689915,51.262508,12,125.13,0.0,1208,0.0
1558228,2024-09-01 20:41:05,2024-09-01 20:41:01,18,90,True,9.214,43.978,51,5.031,0.0,85,0,878.0,14.5,13,4981.18,-7.5,80597.656,0.139,1232,35.689915,51.262508,12,125.13,0.0,1208,0.0
1558728,2024-09-01 20:41:05,2024-09-01 20:41:01,18,90,True,9.286,43.815,51,5.057,0.0,85,0,876.75,14.5,13,4981.18,-7.0,80754.094,0.139,1232,35.689915,51.262508,12,125.13,0.0,1208,0.0
1559228,2024-09-01 20:41:05,2024-09-01 20:41:01,18,90,True,9.214,43.669,52,5.098,0.0,85,0,868.0,14.5,13,4981.18,-7.0,80947.312,0.139,1232,35.689915,51.262508,12,125.13,0.0,1208,0.0
1559728,2024-09-01 20:41:05,2024-09-01 20:41:01,18,90,True,9.286,43.38,94,40.734,46.005,85,0,941.0,14.5,13,4981.18,54.125,81164.484,0.139,1232,35.689915,51.262508,12,125.13,0.0,1208,0.0
1560228,2024-09-01 20:49:38,2024-09-01 20:41:03,18,90,False,9.214,43.121,94,25.697,26.202,85,0,1975.0,14.5,13,4981.18,71.125,82057.297,0.139,1233,35.689903,51.262524,12,132.72,0.2649409804527393,1208,0.0
1560728,2024-09-01 20:49:38,2024-09-01 20:41:03,18,90,False,9.286,41.985,64,11.768,15.182,85,0,2105.25,14.5,1,4981.18,23.312,82942.641,0.139,1233,35.689903,51.262524,12,132.72,0.0,1208,0.0
1561228,2024-09-01 20:49:38,2024-09-01 20:41:03,18,90,False,9.214,40.493,47,7.479,9.433,85,5,1320.75,14.5,1,4981.18,15.0,83333.109,0.139,1233,35.689903,51.262524,12,132.72,0.0,1208,0.0
1561728,2024-09-01 20:49:38,2024-09-01 20:41:03,18,90,False,8.929,40.012,50,5.135,23.517,85,6,800.75,14.5,1,4981.184,12.312,83543.094,0.139,1233,35.689903,51.262524,12,132.72,0.0,1208,0.0
1562228,2024-09-01 20:49:40,2024-09-01 20:41:05,18,90,False,9.143,41.07,68,13.762,30.127,86,7,828.25,14.5,1,4981.184,38.75,83837.312,0.139,1233,35.689892,51.262581,12,103.37,-1.024508270920671,1208,0.0
1562728,2024-09-01 20:49:40,2024-09-01 20:41:05,18,90,False,9.214,39.943,92,25.451,22.922,86,8,1087.5,14.5,1,4981.184,54.812,84268.094,0.139,1233,35.689892,51.262581,12,103.37,0.0,1208,0.0
1563228,2024-09-01 20:49:40,2024-09-01 20:41:05,18,90,False,9.286,39.125,67,10.848,21.509,86,10,1339.5,14.5,1,4981.184,43.188,84841.25,0.139,1233,35.689892,51.262581,12,103.37,0.0,1208,0.0
1563728,2024-09-01 20:49:40,2024-09-01 20:41:05,18,90,False,9.286,39.448,61,11.996,20.88,86,12,1528.25,14.5,1,4981.188,42.062,85204.297,0.139,1233,35.689892,51.262581,12,103.37,0.0,1208,0.0
1564228,2024-09-01 20:41:10,2024-09-01 20:41:07,18,83,True,9.214,39.307,53,11.037,15.643,86,14,1750.5,14.5,1,4981.188,28.812,85716.297,0.139,1234,35.689877,51.262672,12,101.47,-0.0663225115757847,1208,0.0
1564728,2024-09-01 20:41:10,2024-09-01 20:41:07,18,83,True,9.286,38.906,50,10.701,9.433,86,14,1820.75,14.5,1,4981.191,18.562,86051.797,0.139,1234,35.689877,51.262672,12,101.47,0.0,1208,0.0
1565228,2024-09-01 20:41:10,2024-09-01 20:41:07,18,83,True,9.214,38.819,36,7.686,0.0,85,14,1770.5,14.5,1,4981.191,-8.625,86392.188,0.139,1234,35.689877,51.262672,12,101.47,0.0,1208,0.0
1565728,2024-09-01 20:41:10,2024-09-01 20:41:07,18,83,True,9.286,39.016,34,6.25,0.0,85,14,1595.5,14.5,1,4981.195,-12.688,86628.625,0.139,1234,35.689877,51.262672,12,101.47,0.0,1208,0.0
1566228,2024-09-01 20:49:42,2024-09-01 20:41:09,18,83,False,9.071,39.702,33,5.643,0.0,85,13,1299.0,14.5,2,4981.195,-15.0,86842.516,0.139,1234,35.689877,51.262745,12,90.0,-0.4003785304074992,1208,0.0
1566728,2024-09-01 20:49:42,2024-09-01 20:41:09,18,83,False,9.143,41.261,38,5.439,0.0,86,12,1081.0,14.5,2,4981.199,-8.062,87004.984,0.139,1234,35.689877,51.262745,12,90.0,0.0,1208,0.0
