time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,direction,longitude,satelites,correct_altitude,slope
2226544,2024-07-27 08:24:10,2024-07-27 08:24:08,27.0,90,True,13.3,1,32,30.588,33,6.521,0.0,91,84,2300.25,14.5,651,3,24,5,3576.82,-10.125,2947552.0,0.233,13.375,0.0,1332,35.784126,0,51.029011,12,1321,1.591981132075554
2227544,2024-07-27 08:24:10,2024-07-27 08:24:08,27.0,90,True,13.2,1,32,31.255,28,7.873,3.9,92,82,3005.5,14.5,648,3,24,3,3576.84,-28.812,2947690.5,0.805,17.375,0.0,1332,35.784126,0,51.029011,12,1321,1.591981132075554
2228544,2024-07-27 08:24:10,2024-07-27 08:24:08,27.0,90,True,13.3,1,32,31.227,27,8.113,0.0,91,80,3673.75,14.5,645,3,8,3,3576.863,-7.75,2948230.25,0.864,17.688,0.0,1332,35.784126,0,51.029011,12,1321,1.591981132075554
2229544,2024-07-27 08:24:13,2024-07-27 08:24:11,27.0,90,True,13.2,1,32,31.712,32,7.652,20.245,92,79,2660.75,14.5,645,3,24,4,3576.887,6.812,2948678.25,0.769,13.562,0.0,1332,35.78373,0,51.029591,12,1321,1.591981132075554
2230544,2024-07-27 08:24:13,2024-07-27 08:24:11,27.0,90,True,13.2,1,33,32.541,88,33.02,52.432,92,79,2488.0,14.5,645,3,8,4,3576.906,98.5,2949535.0,2.895,10.25,0.0,1332,35.78373,0,51.029591,12,1321,1.591981132075554
2231544,2024-07-27 08:24:13,2024-07-27 08:24:11,27.0,90,True,13.1,1,32,31.954,28,5.957,3.552,91,79,2466.75,14.5,645,3,24,4,3576.93,-7.625,2951705.5,0.353,13.875,0.0,1332,35.78373,0,51.029591,12,1321,1.591981132075554
2232544,2024-07-27 08:24:16,2024-07-27 08:24:14,27.0,90,True,13.3,1,33,31.347,70,26.076,55.066,91,78,2500.25,14.5,645,3,8,4,3576.953,73.438,2952403.75,2.77,10.938,0.0,1332,35.783321,0,51.030151,12,1321,1.591981132075554
2233544,2024-07-27 08:24:16,2024-07-27 08:24:14,27.0,90,True,12.8,1,32,31.114,121,61.035,56.824,91,80,2524.5,13.2,645,3,8,4,3576.973,101.812,2954984.5,4.373,10.812,0.0,1332,35.783321,0,51.030151,12,1321,1.591981132075554
2234544,2024-07-27 08:24:16,2024-07-27 08:24:14,27.0,90,True,13.1,1,32,30.003,107,17.562,22.882,91,82,2579.0,14.5,648,3,8,4,3576.996,69.875,2959315.75,1.396,12.688,0.0,1332,35.783321,0,51.030151,12,1321,1.591981132075554
2235544,2024-07-27 08:24:19,2024-07-27 08:24:17,27.0,90,True,13.0,1,32,31.316,38,9.316,0.0,91,82,2567.25,14.5,648,3,24,4,3577.02,-31.875,2960942.5,0.196,13.812,0.0,1332,35.782894,0,51.030712,12,1321,1.591981132075554
2236544,2024-07-27 08:24:19,2024-07-27 08:24:17,27.0,90,True,13.1,1,32,32.341,36,9.441,10.626,91,81,2577.0,14.5,645,3,24,4,3577.039,-0.125,2961266.25,0.866,13.75,0.0,1332,35.782894,0,51.030712,12,1321,1.591981132075554
2237544,2024-07-27 08:24:19,2024-07-27 08:24:17,27.0,90,True,13.0,1,33,32.558,35,9.777,12.43,91,80,2501.0,14.5,645,3,24,4,3577.062,2.938,2962140.25,0.939,13.875,0.0,1332,35.782894,0,51.030712,12,1321,1.591981132075554
2238544,2024-07-27 08:24:22,2024-07-27 08:24:20,27.0,77,True,13.1,1,32,32.636,43,12.213,26.355,91,80,2524.5,14.5,645,3,8,4,3577.086,18.5,2963101.5,1.072,13.625,0.0,1332,35.782459,0,51.031258,12,1321,1.591981132075554
2239544,2024-07-27 08:24:22,2024-07-27 08:24:20,27.0,77,True,13.1,1,33,32.823,65,17.4,32.257,91,80,2528.75,14.5,645,3,8,4,3577.105,54.125,2964218.5,1.965,12.312,0.0,1332,35.782459,0,51.031258,12,1321,1.591981132075554
2240544,2024-07-27 08:24:22,2024-07-27 08:24:20,27.0,77,True,13.0,1,33,32.796,80,18.311,31.387,92,81,2565.5,14.5,645,3,8,4,3577.129,67.25,2966238.0,2.318,12.688,0.0,1332,35.782459,0,51.031258,12,1321,1.591981132075554
2241544,2024-07-27 08:24:25,2024-07-27 08:24:23,27.0,77,True,13.1,1,33,32.967,80,18.02,31.387,92,83,2615.0,14.5,645,3,8,4,3577.152,69.188,2968781.25,2.338,13.188,0.0,1332,35.782005,0,51.031803,12,1321,1.591981132075554
2242544,2024-07-27 08:24:25,2024-07-27 08:24:23,27.0,77,True,13.1,1,33,32.768,33,8.08,1.154,91,83,2595.25,14.5,645,3,24,4,3577.176,-2.125,2970550.5,0.696,14.312,0.0,1332,35.782005,0,51.031803,12,1321,1.591981132075554
2243544,2024-07-27 08:24:25,2024-07-27 08:24:23,27.0,77,True,13.0,1,33,33.06,55,15.057,29.88,91,83,2625.5,14.5,642,3,8,4,3577.199,38.062,2971376.25,1.539,13.375,0.0,1332,35.782005,0,51.031803,12,1321,1.591981132075554
2244544,2024-07-27 08:24:28,2024-07-27 08:24:26,27.0,77,True,12.9,1,33,32.97,75,19.023,33.124,92,84,2674.5,14.5,645,3,8,4,3577.223,65.5,2973213.5,2.451,13.125,0.0,1332,35.781536,0,51.032349,12,1321,1.591981132075554
2245544,2024-07-27 08:24:28,2024-07-27 08:24:26,27.0,77,True,13.1,1,33,32.889,72,15.854,28.394,92,86,2713.75,14.5,645,3,8,4,3577.246,54.812,2975507.5,1.957,14.5,0.0,1332,35.781536,0,51.032349,12,1321,1.591981132075554
2246545,2024-07-27 08:24:28,2024-07-27 08:24:26,27.0,77,True,13.1,1,33,33.09,51,12.453,21.005,92,87,2748.75,14.5,645,3,8,4,3577.27,24.188,2977419.75,1.224,14.5,0.0,1332,35.781536,0,51.032349,12,1348,-1.576576576576449
2247545,2024-07-27 09:02:46,2024-07-27 08:24:29,27.0,77,False,13.0,1,33,33.232,45,12.072,17.416,92,88,2766.5,14.5,645,3,8,4,3577.293,16.562,2978592.75,1.139,14.5,0.0,1332,35.78104,0,51.032902,12,1348,-1.576576576576449
2248545,2024-07-27 09:02:46,2024-07-27 08:24:29,27.0,77,False,13.1,1,33,33.36,44,11.982,16.467,92,88,2787.0,14.5,645,3,8,4,3577.316,14.625,2979638.75,1.078,14.5,0.0,1332,35.78104,0,51.032902,12,1348,-1.576576576576449
2249545,2024-07-27 09:02:46,2024-07-27 08:24:29,27.0,77,False,13.0,1,33,33.357,34,10.1,0.0,91,89,2796.75,14.5,642,3,24,4,3577.34,-13.375,2980666.75,0.744,14.625,0.0,1332,35.78104,0,51.032902,12,1348,-1.576576576576449
2250545,2024-07-27 09:02:48,2024-07-27 08:24:32,27.0,77,False,12.9,1,33,33.864,34,9.041,0.0,91,89,2781.75,14.5,642,3,24,4,3577.367,-16.438,2981474.25,0.675,14.688,0.0,1332,35.780521,0,51.033455,12,1348,-1.576576576576449
2251545,2024-07-27 09:02:48,2024-07-27 08:24:32,27.0,77,False,13.1,1,33,34.047,37,11.174,19.702,92,89,2797.0,14.5,639,3,24,4,3577.391,6.125,2982122.75,0.914,14.75,0.0,1332,35.780521,0,51.033455,12,1348,-1.576576576576449
2252545,2024-07-27 09:02:48,2024-07-27 08:24:32,27.0,77,False,13.1,1,33,34.25,57,15.926,29.147,90,89,2825.5,14.5,639,3,8,4,3577.414,37.812,2983148.75,1.674,14.0,0.0,1332,35.780521,0,51.033455,12,1348,-1.576576576576449
2253545,2024-07-27 09:02:50,2024-07-27 08:24:35,27.0,77,False,13.1,1,33,34.276,33,8.146,0.0,91,91,2838.0,14.5,639,3,8,4,3577.438,-9.0,2985027.5,0.551,14.688,0.0,1332,35.779995,0,51.034008,12,1348,-1.576576576576449
2254545,2024-07-27 09:02:50,2024-07-27 08:24:35,27.0,77,False,13.2,1,32,34.966,33,8.35,0.0,91,91,2847.75,14.5,636,3,24,4,3577.465,-19.312,2985689.5,0.175,14.688,0.0,1332,35.779995,0,51.034008,12,1348,-1.576576576576449
2255545,2024-07-27 09:02:50,2024-07-27 08:24:35,27.0,77,False,13.2,1,32,35.195,34,10.143,42.859,91,91,2151.75,14.5,636,3,8,5,3577.488,29.625,2986078.75,1.099,13.5,0.0,1332,35.779995,0,51.034008,12,1348,-1.576576576576449
2256545,2024-07-27 08:24:51,2024-07-27 08:24:38,27.0,77,True,13.0,1,32,34.107,113,57.275,67.224,92,93,2238.5,13.4,636,3,8,5,3577.516,107.25,2988322.75,3.865,9.938,0.0,1332,35.779461,0,51.034588,12,1348,-1.576576576576449
2257545,2024-07-27 08:24:51,2024-07-27 08:24:38,27.0,77,True,13.1,1,32,33.127,156,91.455,44.29,91,95,2286.75,10.8,639,3,8,5,3577.539,138.812,2992166.0,6.669,9.5,0.0,1332,35.779461,0,51.034588,12,1348,-1.576576576576449
2258545,2024-07-27 08:24:51,2024-07-27 08:24:38,27.0,77,True,13.3,1,32,33.03,37,7.635,0.0,91,97,2300.0,14.5,639,3,24,5,3577.566,1.438,2995947.25,0.344,13.125,0.0,1332,35.779461,0,51.034588,12,1348,-1.576576576576449
