time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Electrical_load,Switch,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Estimated_catalyst_temperature,Engine_status,Status_bit,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,Average_fuel_consumption_rate,Pumping_and_rubbing_friction_torque_at_current_condition,RON_factor,altitude,latitude,longitude,satelites,bearing,slope
2629591,2024-08-04 19:09:53,2024-08-04 19:09:25,6,48,TRUE,13.2,1,32,32.823,57,13.689,21.265,87,0,2498.75,14.5,564,3,8,13,4017.328,37.312,2862490.75,1.222,12.625,0,1342,35.812107,50.955502,12,303.23,-0.755450032
2630591,2024-08-04 19:09:53,2024-08-04 19:09:25,6,48,TRUE,13.3,1,32,31.345,57,10.967,17.545,87,5,2024.25,14.5,567,3,8,1,4017.328,31.312,2863599.5,0.958,13.125,0,1342,35.812107,50.955502,12,303.23,-0.755450032
2631591,2024-08-04 19:09:53,2024-08-04 19:09:25,6,48,TRUE,13.4,1,32,30.21,50,8.475,14.783,87,8,1493.75,14.5,564,3,8,1,4017.332,25.812,2864487.5,0.675,16.438,0,1342,35.812107,50.955502,12,303.23,-0.755450032
2659591,2024-08-04 19:09:57,2024-08-04 19:09:55,6,80,TRUE,13.3,97,32,34.435,34,3.809,0,87,7,1103.5,14.5,558,3,24,1,4017.402,-1.75,2875396.25,0.278,19.875,0,1342,35.812454,50.954762,12,300.04,-0.755450032
2660591,2024-08-04 19:09:57,2024-08-04 19:09:55,6,80,TRUE,13.5,97,32,34.443,35,4.107,0,87,7,1095.5,14.5,558,3,24,1,4017.402,-3.188,2875664.75,0.303,19.938,0,1342,35.812454,50.954762,12,300.04,-0.755450032
2661591,2024-08-04 19:09:57,2024-08-04 19:09:55,6,80,TRUE,13.6,97,32,34.449,33,3.725,0,87,6,1086.25,14.5,558,3,24,1,4017.406,-3.812,2875969,0.277,20.25,0,1342,35.812454,50.954762,12,300.04,-0.755450032
2662591,2024-08-04 19:10:00,2024-08-04 19:09:58,6,70,TRUE,13.3,97,32,34.455,32,3.814,0,87,6,1027.5,14.5,558,3,24,1,4017.406,-14.875,2876265.25,0.288,20.625,0,1342,35.812481,50.954704,12,299.86,-0.755450032
2663591,2024-08-04 19:10:00,2024-08-04 19:09:58,6,70,TRUE,12.5,97,32,34.461,42,4.143,0,86,6,879,14.5,558,3,24,1,4017.41,-1.625,2876557.25,0.317,22.062,0,1342,35.812481,50.954704,12,299.86,-0.755450032
2664591,2024-08-04 19:10:00,2024-08-04 19:09:58,6,70,TRUE,13.2,97,32,34.466,45,4.436,0,86,6,872.5,14.5,558,3,24,1,4017.41,-3.375,2876893.25,0.332,21.75,0,1342,35.812481,50.954704,12,299.86,-0.755450032
2665591,2024-08-04 19:10:03,2024-08-04 19:10:01,6,70,TRUE,13.3,97,32,34.47,43,4.168,0,86,5,856.25,14.5,558,3,24,1,4017.41,-0.75,2877246,0.312,22.062,0,1342,35.8125,50.954655,12,295.56,-0.755450032
