time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,0313,0314,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,033d,0345,0348,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,0409,040a,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed
526,2024-08-18 06:42:27,2024-08-18 06:41:59,3,0,TRUE,13.5,97,32,90.588,46,9.561,0,33,0,1326.25,0,300,3,24,1,9203.148,30.938,4226.625,0.881,28,0.528,0,0,0,0,244.91,0.002198688
1526,2024-08-18 06:42:27,2024-08-18 06:41:59,3,0,TRUE,13.3,97,32,90.98,77,20.129,0,33,0,969,12,300,3,24,1,9203.148,61.5,4752.906,1.688,25,0.528,0,0,0,0,244.91,0
2526,2024-08-18 06:42:27,2024-08-18 06:41:59,3,0,TRUE,13.4,97,32,96.471,69,13.594,0,33,0,1189.75,11.7,300,3,24,1,9203.148,52.312,6012.969,1.055,26,0.528,0,0,0,0,244.91,0
3526,2024-08-18 07:04:14,2024-08-18 06:42:02,3,0,FALSE,13.4,97,32,91.765,70,14.787,0,33,0,1180,12.2,300,3,24,1,9203.148,54.125,7195.484,1.142,25.875,0.528,0,0,0,0,244.91,0
4526,2024-08-18 07:04:14,2024-08-18 06:42:02,3,0,FALSE,13.4,97,32,94.118,68,14.727,0,34,0,1209.5,12.5,300,3,24,1,9203.148,50.625,8201.125,1.072,25.938,0.528,0,0,0,0,244.91,0
5526,2024-08-18 07:04:14,2024-08-18 06:42:02,3,0,FALSE,13.5,97,32,93.725,66,13.525,0,34,0,1250.25,12.8,306,3,24,1,9203.148,46.875,9244.406,0.988,26.125,0.528,0,0,0,0,244.91,0
6526,2024-08-18 07:04:15,2024-08-18 06:42:05,3,0,FALSE,13.4,97,32,89.804,65,13.734,0,34,0,1257,13.1,312,3,24,1,9203.148,46.188,10410.656,1.045,26.125,0.528,0,0,0,0,244.91,0
7526,2024-08-18 07:04:15,2024-08-18 06:42:05,3,0,FALSE,13.7,97,32,85.49,63,12.908,0,34,3,1264.5,13.2,315,3,24,1,9203.152,44.688,11301.156,0.949,26.375,0.528,0,0,0,0,244.91,0
8526,2024-08-18 07:04:15,2024-08-18 06:42:05,3,0,FALSE,13.5,97,32,98.824,66,13.691,0,34,3,1253.25,13.5,321,3,24,1,9203.152,46.438,12306.812,1.004,26.062,0.528,0,0,0,0,244.91,0
9526,2024-08-18 07:04:17,2024-08-18 06:42:08,3,0,FALSE,13.6,97,32,96.471,60,11.623,0,34,4,1232.25,13.7,327,3,24,1,9203.152,38.188,13310.172,0.845,26.5,0.528,0,0,0,0,244.91,0
