Speed,Actual,Predicted_sum,Predicted,rate
0,1011.797,440.9764,440.9764,1011.797
0,1931.203,889.8338,448.8574,919.406
0,2595.656,1338.5427,448.70898,664.453
0,3124.375,1785.2827,446.74002,528.719
0,3712.5780000000004,2230.0662,444.78336,588.2030000000004
0,4315.782,2673.4163,443.35016,603.2039999999997
0,4951.828,3116.0776,442.6613,636.0460000000003
0,5535.235,3558.8696,442.79202,583.4069999999992
0,6150.313,4002.2654,443.39575,615.0780000000004
0,6676.235,4446.8096,444.54395,525.9219999999996
0,7348.532,4899.6377,452.82797,672.2970000000005
0,9281.875,5403.1836,503.54608,1933.3430000000008
0,10649.141,6179.4316,776.24805,1367.2659999999996
5,11530.687999999998,6904.148,724.7161,881.5469999999987
8,12814.703,7647.264,743.1161,1284.0150000000012
11,13921.328,8360.141,712.8764,1106.625
13,14966.016,8983.492,623.3516,1044.688
14,16102.265999999998,9519.653,536.1608,1136.2499999999982
14,17049.203,10045.0,525.3464,946.9370000000017
14,17935.766,10570.244,525.24426,886.5629999999983
14,18897.86,11099.404,529.15985,962.094000000001
14,19838.094,11651.116,551.71185,940.2340000000004
14,20810.672000000002,12264.782,613.6664,972.5780000000013
15,21726.922000000002,12781.542,516.7595,916.25
15,22308.782,13243.63,462.0883,581.859999999997
13,22800.422000000002,13687.482,443.85217,491.64000000000306
10,23298.391,14122.713,435.23044,497.9689999999973
7,23615.797000000002,14559.605,436.89273,317.4060000000027
1,23988.953,14999.805,440.19922,373.15599999999904
0,24330.766,15448.249,448.44412,341.8129999999983
0,24676.141,15893.892,445.64255,345.375
0,25056.61,16335.238,441.347,380.46900000000096
0,25442.625,16773.725,438.48596,386.0149999999994
0,25724.766,17210.367,436.64285,282.1409999999996
0,26054.766,17645.795,435.42825,330.0
0,26406.578,18080.387,434.5914,351.8120000000017
0,26733.485,18514.371,433.9841,326.90699999999924
0,27065.969,18947.906,433.53595,332.4840000000004
0,27438.406000000003,19381.129,433.22256,372.4370000000017
0,27774.891,19814.152,433.02277,336.48499999999694
0,28144.219,20247.111,432.9595,369.32800000000134
0,28534.016,20680.162,433.05136,389.79699999999866
0,28883.485,21113.521,433.35892,349.46900000000096
0,29269.844,21547.506,433.9843,386.3590000000004
0,29680.5,21982.586,435.07935,410.65599999999904
0,30053.625,22419.357,436.77136,373.125
0,30444.156000000003,22858.258,438.90128,390.5310000000027
0,30871.86,23299.969,441.71066,427.7039999999979
0,31254.282,23751.102,451.13235,382.42199999999866
0,32125.203,24248.258,497.15594,870.9210000000021
0,32743.891,24965.994,717.7366,618.6879999999983
