Speed,Actual,Predicted_sum,Predicted,rate
0,221.656,447.46378,447.46378,221.656
0,576.047,899.66254,452.19876,354.391
0,869.703,1349.8958,450.23315,293.65599999999995
0,1172.203,1796.6475,446.75165,302.5
0,1513.703,2240.0173,443.3698,341.5
0,1782.953,2680.4724,440.45514,269.25
0,2081.031,3118.529,438.05658,298.078
0,2401.5,3554.656,436.12695,320.46900000000005
0,2683.047,3989.2646,434.6086,281.547
0,2966.422,4422.702,433.4376,283.375
0,3292.156,4855.253,432.5507,325.7339999999999
0,3552.391,5287.1636,431.91077,260.2350000000001
0,3887.312,5718.6567,431.49323,334.9209999999998
0,4185.562,6149.9463,431.2896,298.25
0,4435.625,6581.2573,431.31107,250.0630000000001
0,4721.672,7012.824,431.567,286.04699999999957
0,5077.609,7444.8965,432.07236,355.9370000000008
0,5397.75,7877.913,433.01648,320.1409999999996
0,5745.484,8313.063,435.15018,347.7340000000004
0,6100.781,8753.038,439.97458,355.29699999999957
0,6424.391,9198.116,445.0784,323.6099999999997
0,6754.438,9647.272,449.15668,330.0470000000005
0,7105.328,10099.447,452.1744,350.8900000000003
0,7423.047,10553.766,454.31815,317.71899999999914
0,7740.922,11009.598,455.83182,317.875
0,8091.016,11466.505,456.90692,350.09400000000005
0,8401.125,11924.172,457.66733,310.1090000000004
0,8725.719,12382.385,458.21338,324.59399999999914
0,9089.531,12840.989,458.60477,363.8120000000017
0,9396.906,13299.884,458.89444,307.375
0,9706.25,13758.979,459.09448,309.34399999999914
0,10054.531,14218.217,459.238,348.28100000000086
0,10353.266,14677.556,459.3388,298.73499999999876
0,10681.031,15136.968,459.41257,327.76500000000124
0,11056.078,15596.436,459.4682,375.04699999999866
0,11378.234,16055.956,459.52075,322.15600000000086
0,11712.719,16515.55,459.59406,334.48499999999876
0,12086.531,16975.27,459.7179,373.8120000000017
0,12402.75,17435.164,459.89536,316.21899999999914
0,12956.188,17895.342,460.17834,553.4380000000001
0,13384.156,18356.648,461.3062,427.96800000000076
0,13927.172,18823.229,466.57965,543.0159999999996
0,14586.141,19313.527,490.29886,658.9689999999991
1,15350.875,19805.998,492.47034,764.7340000000004
2,15558.609,20265.486,459.48834,207.73400000000038
3,15841.953,20724.83,459.34393,283.34399999999914
0,16200.280999999999,21189.11,464.279,358.3279999999995
0,16587.391,21656.344,467.23364,387.1100000000006
0,17215.609,22127.623,471.27933,628.2180000000008
1,17682.047,22590.598,462.9752,466.4379999999983
1,18163.422,23059.559,468.96033,481.375
2,18517.438,23518.074,458.51627,354.0159999999996
2,18856.516,23979.732,461.65823,339.07800000000134
1,19206.812,24455.453,475.72107,350.2960000000021
0,20168.969,25033.943,578.4908,962.1569999999992
2,20662.938,25670.924,636.98016,493.9689999999973
5,20885.969,26177.004,506.08075,223.03100000000268
6,21227.078,26664.662,487.6589,341.1090000000004
7,21538.969,27131.096,466.43323,311.8909999999996
7,21809.469,27600.295,469.1986,270.5
5,22101.234,28079.453,479.15854,291.7649999999994
5,22388.906,28563.734,484.28043,287.67199999999866
6,22685.031,29035.246,471.512,296.125
4,22972.438,29553.982,518.7372,287.40699999999924
6,23258.109,30044.77,490.7868,285.6710000000021
6,23784.969,30816.104,771.3338,526.8600000000006
8,24996.984,32214.809,1398.706,1212.0149999999994
14,27435.094,33916.42,1701.6143,2438.1100000000006
19,29932.797,35751.527,1835.1044,2497.7029999999977
24,30415.297,36508.523,756.9976,482.5
24,31229.062,37415.082,906.5587,813.765000000003
25,32289.766,38647.555,1232.4744,1060.703999999998
27,33211.719,39835.734,1188.181,921.9529999999977
28,34511.375,41175.477,1339.7417,1299.6560000000027
30,34946.0,41740.363,564.8864,434.625
29,35047.781,42255.984,515.6229,101.78100000000268
27,35047.781,42769.965,513.97986,0.0
26,35047.781,43274.03,504.06464,0.0
22,35047.781,43806.203,532.17377,0.0
20,36082.312,44578.566,772.3638,1034.5309999999954
21,37426.172,45941.992,1363.4272,1343.8600000000006
23,39590.016,47897.234,1955.2441,2163.8440000000046
28,41262.281,49309.17,1411.9365,1672.2649999999994
30,42140.562,50513.562,1204.3889,878.2809999999954
32,43203.031,51780.93,1267.3658,1062.4690000000046
33,45728.062,53851.035,2070.1052,2525.0309999999954
37,47421.172,55372.617,1521.5812,1693.1100000000006
39,47858.109,56150.48,777.86273,436.9369999999981
38,49440.5,57497.254,1346.7719,1582.3910000000033
40,50310.969,58603.258,1106.0057,870.4689999999973
40,51851.266,60156.973,1553.7141,1540.297000000006
42,53426.938,61595.492,1438.5192,1575.6719999999987
43,55002.734,63236.266,1640.7743,1575.7959999999948
45,56793.75,64782.402,1546.1357,1791.0160000000033
46,58899.297,66981.72,2199.3162,2105.5469999999987
49,61641.141,69413.945,2432.2268,2741.8440000000046
52,65156.938,72284.29,2870.3462,3515.7969999999987
55,71009.688,76468.766,4184.473,5852.749999999993
61,71171.375,77598.32,1129.5563,161.68700000000536
60,72425.25,79137.29,1538.9722,1253.875
61,75273.875,81109.82,1972.5298,2848.625
63,76008.25,82430.3,1320.4781,734.375
