Speed,Actual,Predicted_sum,Predicted,rate
0,1011.797,310.95798,310.95798,1011.797
0,1931.203,626.33154,315.37357,919.406
0,2595.656,940.92725,314.59573,664.453
0,3124.375,1253.4901,312.56284,528.719
0,3712.5780000000004,1565.0038,311.51364,588.2030000000004
0,4315.782,1876.9492,311.9455,603.2039999999997
0,4951.828,2191.0298,314.08063,636.0460000000003
0,5535.235,2509.0256,317.99588,583.4069999999992
0,6150.313,2831.949,322.92334,615.0780000000004
0,6676.235,3159.5261,327.57718,525.9219999999996
0,7348.532,3497.8477,338.32144,672.2970000000005
0,9281.875,3899.6448,401.79703,1933.3430000000008
0,10649.141,4859.78,960.1351,1367.2659999999996
5,11530.687999999998,5784.4556,924.6756,881.5469999999987
8,12814.703,6696.7627,912.307,1284.0150000000012
11,13921.328,7505.52,808.7572,1106.625
13,14966.016,8169.7393,664.2194,1044.688
14,16102.265999999998,8729.776,560.03687,1136.2499999999982
14,17049.203,9283.287,553.5108,946.9370000000017
14,17935.766,9837.186,553.8982,886.5629999999983
14,18897.86,10384.777,547.59186,962.094000000001
14,19838.094,10948.289,563.5114,940.2340000000004
14,20810.672000000002,11603.607,655.3183,972.5780000000013
15,21726.922000000002,12080.479,476.87094,916.25
15,22308.782,12383.053,302.57452,581.859999999997
13,22800.422000000002,12663.055,280.00195,491.64000000000306
10,23298.391,12940.661,277.60617,497.9689999999973
7,23615.797000000002,13217.87,277.20932,317.4060000000027
1,23988.953,13495.642,277.77124,373.15599999999904
0,24330.766,13790.6,294.9584,341.8129999999983
0,24676.141,14084.151,293.55157,345.375
0,25056.61,14374.912,290.76117,380.46900000000096
0,25442.625,14664.677,289.76428,386.0149999999994
0,25724.766,14954.081,289.40433,282.1409999999996
0,26054.766,15243.3125,289.23166,330.0
0,26406.578,15532.471,289.1581,351.8120000000017
0,26733.485,15821.676,289.20505,326.90699999999924
0,27065.969,16111.087,289.41092,332.4840000000004
0,27438.406000000003,16400.918,289.83044,372.4370000000017
0,27774.891,16691.447,290.5296,336.48499999999694
0,28144.219,16983.047,291.59915,369.32800000000134
0,28534.016,17276.174,293.12756,389.79699999999866
0,28883.485,17571.38,295.20648,349.46900000000096
0,29269.844,17869.277,297.8972,386.3590000000004
0,29680.5,18170.502,301.2245,410.65599999999904
0,30053.625,18475.572,305.07077,373.125
0,30444.156000000003,18784.373,308.8008,390.5310000000027
0,30871.86,19095.72,311.34692,427.7039999999979
0,31254.282,19410.98,315.2607,382.42199999999866
0,32125.203,19752.488,341.50836,870.9210000000021
0,32743.891,20405.943,653.456,618.6879999999983
4,33333.812999999995,21086.588,680.64374,589.9219999999987
7,33977.219,21722.193,635.6063,643.4060000000027
9,34894.297,22527.71,805.5182,917.0780000000013
12,35926.265999999996,23227.693,699.98267,1031.9689999999973
14,36281.515999999996,23774.332,546.6381,355.25
14,37321.812999999995,24538.83,764.4987,1040.2969999999987
16,38425.577999999994,25430.518,891.68665,1103.7649999999994
18,40013.985,26592.896,1162.3792,1588.4070000000065
21,41548.812999999995,28024.645,1431.7472,1534.827999999994
25,42987.140999999996,29362.613,1337.9696,1438.3280000000013
28,44395.687999999995,30435.027,1072.4148,1408.5469999999987
30,45491.765999999996,31285.588,850.5608,1096.0780000000013
31,46198.077999999994,31993.777,708.18915,706.3119999999981
31,47220.235,32712.586,718.80774,1022.1570000000065
31,48393.515999999996,33451.4,738.81433,1173.2809999999954
31,49411.0,34191.85,740.4525,1017.484000000004
31,50445.452999999994,34927.008,735.1554,1034.452999999994
31,51539.469,35663.97,736.96094,1094.0160000000033
31,52506.952999999994,36436.918,772.9482,967.4839999999967
31,53545.827999999994,37340.28,903.3641,1038.875
32,54621.937999999995,38070.023,729.7438,1076.1100000000006
32,55548.405999999995,38671.83,601.8042,926.4680000000008
31,56511.562999999995,39381.47,709.64044,963.1569999999992
31,57567.969,40121.58,740.10944,1056.4060000000027
31,58523.812999999995,40854.11,732.53064,955.8439999999973
31,59534.532,41617.477,763.3689,1010.7190000000046
31,60615.032,42517.543,900.0663,1080.5
32,61553.015999999996,43275.69,758.1482,937.9839999999967
32,62574.094,44001.434,725.7406,1021.0780000000013
32,63627.672,44739.08,737.64557,1053.5780000000013
32,64568.765999999996,45481.406,742.3285,941.0939999999973
32,65563.156,46226.887,745.4792,994.3900000000067
32,66623.141,46974.574,747.688,1059.9850000000006
32,67579.266,47684.23,709.65564,956.125
32,68311.375,48176.867,492.6383,732.1089999999967
31,69128.625,48502.305,325.43924,817.25
29,69641.156,48792.242,289.9393,512.5310000000027
26,70095.438,49084.51,292.26947,454.28199999999197
24,70571.28199999999,49367.105,282.5925,475.8439999999973
21,70968.578,49646.523,279.4179,397.2960000000021
18,71310.25,49924.99,278.46616,341.67200000000594
15,71584.78199999999,50203.09,278.10226,274.53199999999197
12,71776.0,50480.88,277.788,191.21800000000803
9,72005.0,50758.67,277.79135,229.0
8,72294.125,51035.234,276.56213,289.125
4,72548.016,51311.145,275.91135,253.89100000000326
0,72920.828,51592.93,281.7845,372.8119999999908
0,73297.453,51882.36,289.42856,376.625
0,73617.344,52169.52,287.162,319.89100000000326
0,73986.0,52455.85,286.3333,368.6560000000027
0,74378.938,52742.156,286.30313,392.93799999999464
0,74730.75,53028.656,286.5007,351.81200000000536
0,75078.156,53315.426,286.7676,347.4060000000027
0,75443.54699999999,53602.523,287.09897,365.3909999999887
0,75793.03199999999,53890.06,287.53683,349.4850000000006
0,76131.719,54178.195,288.13507,338.68700000000536
0,76524.438,54467.164,288.9679,392.7189999999973
0,76874.313,54757.29,290.1238,349.875
0,77250.67199999999,55048.98,291.6927,376.35899999999674
0,77644.641,55342.74,293.75943,393.9690000000119
0,77995.985,55639.113,296.37347,351.3439999999973
0,78337.985,55938.64,299.52777,342.0
0,78712.875,56241.766,303.12595,374.8899999999994
0,79048.969,56548.566,306.8001,336.0939999999973
0,79407.125,56858.598,310.0304,358.1560000000027
0,79811.92199999999,57173.35,314.75266,404.7969999999914
0,80772.625,57509.055,335.70505,960.7030000000086
0,81862.188,58038.297,529.24243,1089.5629999999946
3,82601.313,58778.86,740.5634,739.125
7,83222.156,59382.79,603.93146,620.843000000008
9,84075.656,60039.45,656.6585,853.5
11,85162.844,60810.74,771.289,1087.1879999999946
14,85431.125,61341.414,530.6752,268.2810000000027
14,86123.406,61982.125,640.7114,692.2810000000027
15,87285.953,62934.418,952.29114,1162.5469999999914
18,88175.92199999999,63817.543,883.1239,889.9689999999973
20,89266.844,64706.004,888.4593,1090.922000000006
22,90308.735,65646.88,940.87836,1041.8910000000033
24,91224.79699999999,66596.89,950.0059,916.0619999999908
26,92262.86,67447.695,850.80774,1038.0630000000092
27,93505.578,68525.484,1077.7928,1242.7179999999935
29,94856.594,69738.2,1212.7191,1351.0160000000033
31,96876.67199999999,71038.48,1300.2749,2020.077999999994
34,97564.625,71757.336,718.8607,687.9530000000086
34,98742.594,72601.93,844.59485,1177.9689999999973
35,99851.61,73531.11,929.18256,1109.0160000000033
36,101342.625,74529.01,997.9014,1491.0149999999994
37,102971.313,75800.31,1271.3013,1628.6879999999946
39,104509.53199999999,77159.88,1359.5669,1538.2189999999973
41,106262.719,78568.13,1408.2506,1753.1870000000054
43,107930.156,80044.64,1476.5048,1667.4370000000054
45,109762.688,81506.805,1462.1635,1832.531999999992
47,111385.016,82600.64,1093.8385,1622.3280000000086
48,112542.86,83471.484,870.8412,1157.8439999999973
48,113792.344,84574.65,1103.1676,1249.4839999999967
49,115020.266,85470.42,895.7772,1227.922000000006
49,116126.03199999999,86319.85,849.42664,1105.7659999999887
49,117286.985,87189.195,869.34247,1160.9530000000086
49,118481.985,88067.31,878.1198,1195.0
49,119525.86,88947.38,880.0718,1043.875
49,120637.906,89827.4,880.0123,1112.046000000002
49,121803.828,90708.77,881.3769,1165.9219999999914
49,122853.906,91598.445,889.6685,1050.0780000000086
49,123957.42199999999,92495.8,897.3544,1103.5159999999887
49,125127.42199999999,93335.414,839.61847,1170.0
49,125924.61,93862.48,527.06335,797.1880000000092
48,126658.844,94168.45,305.97714,734.2339999999967
46,127249.438,94446.17,277.71558,590.5939999999973
44,127736.578,94724.61,278.43732,487.1399999999994
42,128225.906,95006.695,282.08713,489.3280000000086
40,128749.938,95293.52,286.83176,524.031999999992
