Speed,Actual,Predicted_sum,Predicted,rate
0,126.23399999999998,347.3664,347.3664,126.23399999999998
0,373.95300000000003,684.2317,336.86533,247.71900000000005
0,687.9369999999999,1014.9076,330.6759,313.9839999999999
0,968.203,1339.6345,324.7269,280.2660000000001
0,1313.703,1659.7587,320.1241,345.5
0,1669.078,1976.4419,316.6833,355.375
0,1935.406,2290.4849,314.04297,266.328
0,2228.234,2602.4238,311.939,292.828
0,2560.562,2912.6416,310.2178,332.328
0,2825.89,3221.4224,308.7807,265.328
0,3111.187,3528.9932,307.5708,285.297
0,3422.719,3835.5425,306.54922,311.53200000000015
0,3688.078,4141.2285,305.686,265.3589999999999
0,3976.4529999999995,4446.191,304.96225,288.37499999999955
0,4277.672,4750.545,304.35406,301.21900000000005
0,4529.25,5054.3965,303.8517,251.57800000000043
0,4780.64,5357.8394,303.443,251.39000000000033
0,5042.937,5660.957,303.11755,262.29699999999957
0,5248.797,5963.8267,302.86978,205.85999999999967
0,5500.031,6266.533,302.70663,251.23400000000038
0,5774.125,6569.1587,302.62527,274.09400000000005
0,6015.515,6871.7974,302.6389,241.39000000000033
0,6292.609,7174.562,302.76474,277.09400000000005
0,6585.781,7477.5957,303.03363,293.17199999999957
0,6806.625,7781.083,303.4875,220.84400000000005
0,7065.172,8085.27,304.1871,258.54699999999957
0,7362.156,8390.487,305.21695,296.9840000000004
0,7594.797,8697.188,306.70087,232.64099999999962
0,7860.25,9005.999,308.81033,265.45300000000043
0,8184.124999999999,9317.665,311.66586,323.8749999999991
0,8452.765,9632.703,315.03818,268.64000000000124
0,8784.453,9950.899,318.19583,331.6880000000001
0,9152.765,10272.498,321.59888,368.3119999999999
0,9442.624999999998,10605.059,332.56094,289.85999999999876
0,9946.812,11021.559,416.50012,504.1870000000017
2,10410.062,11557.236,535.6779,463.25
5,10691.405999999999,11949.942,392.70615,281.34399999999914
6,10882.233999999999,12289.735,339.7931,190.82799999999952
6,11145.374999999998,12610.347,320.61102,263.1409999999996
5,11360.858999999999,12961.06,350.71292,215.48400000000038
5,11799.749999999998,13421.576,460.5164,438.8909999999996
6,12525.874999999998,14152.936,731.3594,726.125
9,13139.719,14719.5625,566.62683,613.844000000001
10,13780.187,15325.243,605.6805,640.4680000000008
11,14658.437,16184.822,859.57904,878.25
13,15524.374999999998,17025.885,841.06305,865.9379999999983
14,16506.561999999998,17923.402,897.51666,982.1869999999999
16,17029.859,18414.627,491.22458,523.2970000000023
14,17405.172,18952.17,537.5427,375.3129999999983
13,18575.14,20077.082,1124.9127,1169.9680000000008
15,20152.375,21408.05,1330.9681,1577.2350000000006
18,21327.047,22644.766,1236.7155,1174.6719999999987
20,23004.343,23794.748,1149.9829,1677.296000000002
22,23402.875,24665.729,870.9813,398.53199999999924
22,24349.875,25744.617,1078.8889,947.0
23,25744.077999999998,27111.88,1367.2631,1394.2029999999977
25,27274.39,28632.021,1520.1412,1530.3120000000017
28,28294.422,29854.053,1222.0315,1020.0319999999992
29,29420.484,31052.918,1198.8662,1126.0620000000017
30,30644.0,32252.37,1199.4513,1223.5159999999996
31,31691.343,33333.363,1080.9943,1047.3430000000008
31,32843.077999999994,34855.367,1522.0042,1151.734999999997
32,36184.76499999999,37405.363,2549.9963,3341.686999999998
37,39820.984,40575.504,3170.1418,3636.2190000000046
42,40189.672,41682.754,1107.249,368.6880000000019
41,42133.87499999999,43349.04,1666.2844,1944.202999999994
43,43905.38999999999,45263.82,1914.7803,1771.5149999999994
45,46529.655999999995,47135.26,1871.4404,2624.2660000000033
47,47826.202999999994,48773.832,1638.5692,1296.5469999999987
48,50292.530999999995,50750.15,1976.3173,2466.3280000000013
50,52929.609,53006.484,2256.3376,2637.0780000000013
52,55443.077999999994,55711.71,2705.2263,2513.4689999999973
