speed,act_trip_fuel_cons,pred_trip_fuel_cons,act_diff_trip_fuel_cons,pred_diff_trip_fuel_cons,MAE,MSE,RMSE,MAPE,slope
19,687.1879999999983,749.6904,687.1879999999983,749.6904,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
20,1070.0469999999987,1361.3324,382.8590000000004,611.64197,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
20,1948.344000000001,2268.5967,878.2970000000023,907.26416,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
22,2676.969000000001,2859.5366,728.625,590.93994,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
22,3337.844000000001,3517.389,660.875,657.85236,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
23,3772.5780000000013,3897.3584,434.7340000000004,379.96936,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
22,3807.6569999999992,4176.3315,35.078999999997905,278.9733,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
21,3807.6569999999992,4415.762,0.0,239.43076,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
19,3807.6569999999992,4675.061,0.0,259.29895,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
18,3807.6569999999992,4934.0264,0.0,258.96558,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
16,3807.6569999999992,5206.4883,0.0,272.462,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
15,3986.2659999999996,5483.734,178.60900000000038,277.24557,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
13,4372.437999999998,5768.617,386.17199999999866,284.88354,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
12,4761.985000000001,6054.8237,389.5470000000023,286.20657,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
11,5114.671999999999,6349.4326,352.6869999999981,294.60886,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
9,5443.985000000001,6643.3237,329.3130000000019,293.89117,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
8,5872.578000000001,6948.921,428.59300000000076,305.5974,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
8,6212.656999999999,7258.7163,340.0789999999979,309.7952,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
6,6542.860000000001,7580.844,330.20300000000134,322.12802,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
2,6882.719000000001,7891.497,339.8590000000004,310.65292,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
0,7664.391,8273.495,781.6719999999987,381.99774,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
1,8145.391,8691.286,481.0,417.79092,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
3,8473.687999999998,9015.374,328.29699999999866,324.08832,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
2,8826.297000000002,9336.1,352.609000000004,320.72607,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
1,9457.766,9709.8125,631.4689999999973,373.71277,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
1,10289.094000000001,10294.92,831.3280000000013,585.10706,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
4,10635.077999999998,10748.018,345.98399999999674,453.0972,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
6,10939.984999999997,11084.856,304.90699999999924,336.83868,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
5,11269.469000000001,11408.549,329.484000000004,323.69223,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
4,11602.907000000003,11751.86,333.4380000000019,343.31116,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
3,11938.954000000002,12322.066,336.04699999999866,570.2061,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
5,12535.844000000001,13042.136,596.8899999999994,720.069,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
8,13351.172000000002,13774.379,815.3280000000013,732.2429,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
11,13822.077999999998,14257.365,470.9059999999954,482.98648,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
12,14132.282000000003,14610.653,310.2040000000052,353.28815,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
10,14267.907000000003,14939.347,135.625,328.6931,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
8,14370.844000000001,15263.294,102.93699999999808,323.94766,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
7,14624.344000000001,15587.366,253.5,324.0721,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
6,14928.282000000003,15917.546,303.9380000000019,330.18002,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
5,15245.047000000002,16299.895,316.7649999999994,382.34854,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
5,15535.827999999998,16817.934,290.7809999999954,518.0388,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
6,16118.749999999996,17563.59,582.9219999999987,745.6565,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
8,17167.859999999997,18675.455,1049.1100000000006,1111.866,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
12,19202.844,20628.145,2034.984000000004,1952.6891,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
18,23550.282000000003,24506.428,4347.438000000002,3878.284,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
28,24057.313,25766.904,507.0309999999954,1260.4767,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
29,25190.344,27386.404,1133.0310000000027,1619.4999,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,26299.922000000002,28758.893,1109.5780000000013,1372.489,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
34,26848.297000000002,29502.592,548.375,743.69934,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
34,27166.391,29981.693,318.0939999999973,479.10065,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
33,27166.391,30460.854,0.0,479.16068,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,27166.391,31148.91,0.0,688.05597,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,27428.891,31872.82,262.5,723.911,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,28229.969,32572.691,801.0780000000013,699.87085,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,28767.859999999997,33203.383,537.890999999996,630.6903,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,28833.766,33734.668,65.90600000000268,531.28503,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
31,29376.077999999998,34581.984,542.3119999999981,847.3168,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,30051.484999999997,35328.66,675.4069999999992,746.67413,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,30670.359999999997,36150.523,618.875,821.8643,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
33,31179.813,36660.117,509.45300000000134,509.5919,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,31179.813,37251.406,0.0,591.28723,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,31865.124999999996,37825.086,685.3119999999981,573.67896,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,32053.438,38233.87,188.31300000000192,408.78506,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
31,32053.438,38683.582,0.0,449.7111,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
31,32053.438,38899.863,0.0,216.28108,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
29,32053.438,39091.766,0.0,191.90327,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
25,32053.438,39428.914,0.0,337.15036,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
25,32053.438,39730.96,0.0,302.04843,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
23,32053.438,40095.2,0.0,364.23975,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
23,32053.438,40385.75,0.0,290.55176,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
20,32053.438,40687.336,0.0,301.58743,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
19,32053.438,40994.27,0.0,306.93448,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
18,32053.438,41358.875,0.0,364.60562,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
17,32725.547000000002,42114.4,672.109000000004,755.52203,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
19,33572.547000000006,42923.99,847.0,809.5912,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
20,35479.625,44395.305,1907.077999999994,1471.3184,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
24,37781.86,46471.203,2302.2350000000006,2075.8984,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
29,40919.57800000001,49175.8,3137.718000000008,2704.598,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
35,43763.235,51607.754,2843.656999999992,2431.9536,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
39,46725.704,53860.254,2962.4689999999973,2252.5012,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
43,47295.28200000001,54543.02,569.5780000000086,682.764,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
43,49401.469,56014.055,2106.186999999991,1471.0356,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
45,51804.485,57678.46,2403.0160000000033,1664.4071,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
47,53850.625,59117.766,2046.1399999999994,1439.3048,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
49,54365.719,59571.484,515.0939999999973,453.72043,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
48,55036.391,59878.594,670.6720000000059,307.11005,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
48,55093.18800000001,59944.223,56.79700000000594,65.62781,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
45,56028.5,60182.586,935.3119999999908,238.36368,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
45,56637.922000000006,60343.652,609.4220000000059,161.0649,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
44,56793.11,60397.82,155.18799999999464,54.167316,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
42,56793.11,60449.63,0.0,51.808544,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
40,56793.11,60514.617,0.0,64.98814,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
37,56793.11,60620.527,0.0,105.9092,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
33,57553.25,60904.86,760.1399999999994,284.3327,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
33,58122.40700000001,61310.34,569.1570000000065,405.47986,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
32,59177.594,62279.96,1055.1869999999908,969.6197,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
33,60860.90700000001,63648.27,1683.3130000000092,1368.3104,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
35,62629.766,64843.55,1768.8589999999967,1195.283,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
37,62918.53200000001,65257.594,288.76600000000326,414.0435,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,-1.868131868
36,63509.875,65882.92,591.3429999999935,625.32715,220.16611966249855,117723.27605856129,343.1082570538944,1.4495992313009072e+17,0.0
