speed,act_trip_fuel_cons,pred_trip_fuel_cons,act_diff_trip_fuel_cons,pred_diff_trip_fuel_cons,MAE,MSE,RMSE,MAPE,slope
19,687.1879999999983,557.9249,687.1879999999983,557.9249,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
20,1070.0469999999987,1065.7534,382.8590000000004,507.82855,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
20,1948.344000000001,1806.3662,878.2970000000023,740.61285,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
22,2676.969000000001,2227.6648,728.625,421.2986,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
22,3337.844000000001,2687.4412,660.875,459.77637,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
23,3772.5780000000013,2935.561,434.7340000000004,248.12,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
22,3807.6569999999992,3137.5422,35.078999999997905,201.98122,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
21,3807.6569999999992,3344.3643,0.0,206.82195,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
19,3807.6569999999992,3563.2026,0.0,218.83846,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
18,3807.6569999999992,3803.5183,0.0,240.31566,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
16,3807.6569999999992,4050.8423,0.0,247.324,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
15,3986.2659999999996,4320.5547,178.60900000000038,269.71228,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
13,4372.437999999998,4586.6885,386.17199999999866,266.13354,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
12,4761.985000000001,4852.011,389.5470000000023,265.32275,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
11,5114.671999999999,5151.6177,352.6869999999981,299.60626,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
9,5443.985000000001,5438.634,329.3130000000019,287.01633,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
8,5872.578000000001,5709.443,428.59300000000076,270.80908,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
8,6212.656999999999,5987.798,340.0789999999979,278.35474,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
6,6542.860000000001,6318.449,330.20300000000134,330.65125,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
2,6882.719000000001,6641.3022,339.8590000000004,322.85315,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
0,7664.391,7009.414,781.6719999999987,368.11203,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
1,8145.391,7388.75,481.0,379.33603,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
3,8473.687999999998,7704.3037,328.29699999999866,315.5536,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
2,8826.297000000002,8030.499,352.609000000004,326.19547,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
1,9457.766,8412.205,631.4689999999973,381.7056,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
1,10289.094000000001,8996.586,831.3280000000013,584.3806,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
