speed,act_trip_fuel_cons,pred_trip_fuel_cons,act_diff_trip_fuel_cons,pred_diff_trip_fuel_cons,MAE,MSE,RMSE,MAPE,slope
0,189.73499999999999,259.52484,189.73499999999999,259.52484,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,541.2660000000001,601.5489,351.53100000000006,342.02405,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,1117.953,949.1184,576.6869999999999,347.5695,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,1625.5,1330.6034,507.547,381.48502,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,2663.297,1799.5051,1037.797,468.9018,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
1,3275.25,2288.2117,611.953,488.70654,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
3,3561.672,2678.3086,286.422,390.09686,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
4,4065.1560000000004,3076.1094,503.4840000000004,397.8009,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,4459.7029999999995,3479.426,394.54699999999957,403.3167,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
6,4790.4529999999995,3875.76,330.75,396.33395,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
7,5169.843999999999,4245.051,379.3909999999996,369.29077,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
7,5593.281,4675.1743,423.4370000000008,430.12338,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
8,6007.735,5128.9795,414.4539999999997,453.8054,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
9,6468.9529999999995,5608.732,461.21799999999985,479.7523,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
10,6946.641,6102.719,477.6880000000001,493.98712,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
11,7305.968999999999,6515.0186,359.3279999999995,412.29956,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
11,7494.3279999999995,6844.141,188.35900000000038,329.12244,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
10,7617.75,7150.059,123.42200000000048,305.91812,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
8,7874.3279999999995,7474.6875,256.5779999999995,324.62854,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
8,8265.969000000001,7775.905,391.64100000000053,301.2171,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
7,8730.672,8072.415,464.7029999999995,296.51013,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,9218.735,8396.4375,488.0630000000001,324.02234,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
1,9790.719000000001,8698.493,571.9840000000004,302.05542,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,10563.594000000001,9018.836,772.875,320.34314,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,11388.203000000001,9379.402,824.6090000000004,360.56635,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
1,11996.219000000001,9743.517,608.0159999999996,364.11423,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
2,12336.922,10131.291,340.7029999999995,387.7747,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
3,12837.922,10568.892,501.0,437.6007,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,13084.75,10931.634,246.82799999999952,362.74173,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
6,13415.391,11257.8,330.6409999999996,326.16556,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,13713.297,11582.516,297.90600000000086,324.71564,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,14059.766,11889.068,346.46899999999914,306.5532,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,14435.297,12197.728,375.53100000000086,308.65897,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
3,14794.922,12501.72,359.625,303.99228,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
3,15316.0,12836.487,521.0779999999995,334.76733,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
2,16665.078,13398.042,1349.0779999999995,561.5549,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
