Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE
19,687.1879999999983,667.9201,667.9201,687.1879999999983,241.52722928961563,127398.71647098793,65.1128179839125
20,1070.0469999999987,1150.188,482.26794,382.8590000000004,241.52722928961563,127398.71647098793,65.1128179839125
20,1948.344000000001,1855.5492,705.3612,878.2970000000023,241.52722928961563,127398.71647098793,65.1128179839125
22,2676.969000000001,2336.1448,480.59552,728.625,241.52722928961563,127398.71647098793,65.1128179839125
22,3337.844000000001,2878.8857,542.741,660.875,241.52722928961563,127398.71647098793,65.1128179839125
23,3772.5780000000013,3226.067,347.1812,434.7340000000004,241.52722928961563,127398.71647098793,65.1128179839125
22,3807.6569999999992,3549.9937,323.92676,35.078999999997905,241.52722928961563,127398.71647098793,65.1128179839125
21,3807.6569999999992,3834.4863,284.49268,0.0,241.52722928961563,127398.71647098793,65.1128179839125
19,3807.6569999999992,4147.2007,312.7144,0.0,241.52722928961563,127398.71647098793,65.1128179839125
18,3807.6569999999992,4424.1675,276.9667,0.0,241.52722928961563,127398.71647098793,65.1128179839125
16,3807.6569999999992,4727.4736,303.30627,0.0,241.52722928961563,127398.71647098793,65.1128179839125
15,3986.2659999999996,5000.6577,273.18405,178.60900000000038,241.52722928961563,127398.71647098793,65.1128179839125
13,4372.437999999998,5306.029,305.37122,386.17199999999866,241.52722928961563,127398.71647098793,65.1128179839125
12,4761.985000000001,5596.7812,290.7522,389.5470000000023,241.52722928961563,127398.71647098793,65.1128179839125
11,5114.671999999999,5866.606,269.82465,352.6869999999981,241.52722928961563,127398.71647098793,65.1128179839125
9,5443.985000000001,6177.7905,311.18475,329.3130000000019,241.52722928961563,127398.71647098793,65.1128179839125
8,5872.578000000001,6517.16,339.3697,428.59300000000076,241.52722928961563,127398.71647098793,65.1128179839125
8,6212.656999999999,6775.453,258.29315,340.0789999999979,241.52722928961563,127398.71647098793,65.1128179839125
6,6542.860000000001,7036.0044,260.55148,330.20300000000134,241.52722928961563,127398.71647098793,65.1128179839125
2,6882.719000000001,7351.332,315.32758,339.8590000000004,241.52722928961563,127398.71647098793,65.1128179839125
0,7664.391,7771.8193,420.48734,781.6719999999987,241.52722928961563,127398.71647098793,65.1128179839125
1,8145.391,8215.48,443.6611,481.0,241.52722928961563,127398.71647098793,65.1128179839125
3,8473.687999999998,8505.742,290.26172,328.29699999999866,241.52722928961563,127398.71647098793,65.1128179839125
2,8826.297000000002,8827.257,321.5147,352.609000000004,241.52722928961563,127398.71647098793,65.1128179839125
1,9457.766,9217.642,390.38492,631.4689999999973,241.52722928961563,127398.71647098793,65.1128179839125
1,10289.094000000001,9807.292,589.6501,831.3280000000013,241.52722928961563,127398.71647098793,65.1128179839125
4,10635.077999999998,10290.194,482.9019,345.98399999999674,241.52722928961563,127398.71647098793,65.1128179839125
6,10939.984999999997,10594.621,304.4263,304.90699999999924,241.52722928961563,127398.71647098793,65.1128179839125
5,11269.469000000001,10915.757,321.136,329.484000000004,241.52722928961563,127398.71647098793,65.1128179839125
4,11602.907000000003,11277.592,361.83496,333.4380000000019,241.52722928961563,127398.71647098793,65.1128179839125
3,11938.954000000002,11850.129,572.5372,336.04699999999866,241.52722928961563,127398.71647098793,65.1128179839125
5,12535.844000000001,12547.6875,697.5588,596.8899999999994,241.52722928961563,127398.71647098793,65.1128179839125
8,13351.172000000002,13231.357,683.67017,815.3280000000013,241.52722928961563,127398.71647098793,65.1128179839125
11,13822.077999999998,13665.822,434.46487,470.9059999999954,241.52722928961563,127398.71647098793,65.1128179839125
12,14132.282000000003,13947.347,281.5242,310.2040000000052,241.52722928961563,127398.71647098793,65.1128179839125
10,14267.907000000003,14248.842,301.4953,135.625,241.52722928961563,127398.71647098793,65.1128179839125
8,14370.844000000001,14585.312,336.46973,102.93699999999808,241.52722928961563,127398.71647098793,65.1128179839125
