Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE
0,221.656,307.30942,307.30942,221.656,561.8919124422271,668612.0767259337,39.87021644986682
0,576.047,579.028,271.7186,354.391,561.8919124422271,668612.0767259337,39.87021644986682
0,869.703,871.7072,292.6792,293.65599999999995,561.8919124422271,668612.0767259337,39.87021644986682
0,1172.203,1176.2605,304.5533,302.5,561.8919124422271,668612.0767259337,39.87021644986682
0,1513.703,1483.6602,307.3996,341.5,561.8919124422271,668612.0767259337,39.87021644986682
0,1782.953,1791.1785,307.51837,269.25,561.8919124422271,668612.0767259337,39.87021644986682
0,2081.031,2098.6885,307.50995,298.078,561.8919124422271,668612.0767259337,39.87021644986682
0,2401.5,2405.494,306.80548,320.46900000000005,561.8919124422271,668612.0767259337,39.87021644986682
0,2683.047,2710.7764,305.28235,281.547,561.8919124422271,668612.0767259337,39.87021644986682
0,2966.422,3015.116,304.3397,283.375,561.8919124422271,668612.0767259337,39.87021644986682
0,3292.156,3318.6536,303.5376,325.7339999999999,561.8919124422271,668612.0767259337,39.87021644986682
0,3552.391,3621.4868,302.83325,260.2350000000001,561.8919124422271,668612.0767259337,39.87021644986682
0,3887.312,3923.6987,302.21204,334.9209999999998,561.8919124422271,668612.0767259337,39.87021644986682
0,4185.562,4225.425,301.7259,298.25,561.8919124422271,668612.0767259337,39.87021644986682
0,4435.625,4526.99,301.56528,250.0630000000001,561.8919124422271,668612.0767259337,39.87021644986682
0,4721.672,4828.944,301.9534,286.04699999999957,561.8919124422271,668612.0767259337,39.87021644986682
0,5077.609,5131.224,302.2803,355.9370000000008,561.8919124422271,668612.0767259337,39.87021644986682
0,5397.75,5434.064,302.84003,320.1409999999996,561.8919124422271,668612.0767259337,39.87021644986682
0,5745.484,5735.0693,301.00525,347.7340000000004,561.8919124422271,668612.0767259337,39.87021644986682
0,6100.781,6046.8423,311.77283,355.29699999999957,561.8919124422271,668612.0767259337,39.87021644986682
0,6424.391,6368.2583,321.41617,323.6099999999997,561.8919124422271,668612.0767259337,39.87021644986682
0,6754.438,6696.4644,328.20587,330.0470000000005,561.8919124422271,668612.0767259337,39.87021644986682
0,7105.328,7028.6294,332.16492,350.8900000000003,561.8919124422271,668612.0767259337,39.87021644986682
0,7423.047,7363.073,334.4439,317.71899999999914,561.8919124422271,668612.0767259337,39.87021644986682
0,7740.922,7698.865,335.79178,317.875,561.8919124422271,668612.0767259337,39.87021644986682
0,8091.016,8035.4736,336.60825,350.09400000000005,561.8919124422271,668612.0767259337,39.87021644986682
0,8401.125,8372.584,337.10986,310.1090000000004,561.8919124422271,668612.0767259337,39.87021644986682
0,8725.719,8710.01,337.4257,324.59399999999914,561.8919124422271,668612.0767259337,39.87021644986682
0,9089.531,9047.658,337.6487,363.8120000000017,561.8919124422271,668612.0767259337,39.87021644986682
0,9396.906,9385.522,337.8643,307.375,561.8919124422271,668612.0767259337,39.87021644986682
0,9706.25,9723.695,338.1728,309.34399999999914,561.8919124422271,668612.0767259337,39.87021644986682
0,10054.531,10062.402,338.7068,348.28100000000086,561.8919124422271,668612.0767259337,39.87021644986682
0,10353.266,10402.045,339.64258,298.73499999999876,561.8919124422271,668612.0767259337,39.87021644986682
0,10681.031,10743.247,341.20248,327.76500000000124,561.8919124422271,668612.0767259337,39.87021644986682
0,11056.078,11086.914,343.66653,375.04699999999866,561.8919124422271,668612.0767259337,39.87021644986682
0,11378.234,11434.281,347.36676,322.15600000000086,561.8919124422271,668612.0767259337,39.87021644986682
