Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
24,908.625,1423.7319,934.90985,908.625
27,2032.937999999965,2850.9626,1427.2306999999998,1124.312999999965
27,2700.0620000000345,3505.621,654.6584000000003,667.1240000000694
27,3103.875,3926.2441,420.6230999999998,403.81299999996554
26,3474.8120000000345,4238.1094,311.8653000000004,370.93700000003446
26,4228.5,4917.2515,679.1421,753.6879999999655
29,6138.8120000000345,6528.437,1611.1854999999996,1910.3120000000345
32,7854.25,8257.711,1729.2739999999994,1715.4379999999655
33,8848.625,9268.003,1010.2920000000013,994.375
33,9605.062000000034,10025.483,757.4799999999996,756.4370000000345
33,10385.312000000034,10721.049,695.5660000000007,780.25
32,11006.75,11159.618,438.5689999999995,621.4379999999655
30,11645.75,11443.392,283.77399999999943,639.0
29,12202.437999999966,11719.804,276.41200000000026,556.6879999999655
23,12644.437999999966,11908.944,189.13999999999942,442.0
22,12926.125,12365.999,457.0550000000003,281.68700000003446
24,13911.5,13364.75,998.7510000000002,985.375
24,14178.5,13976.477,611.7270000000008,267.0
24,14701.625,14512.205,535.7279999999992,523.125
24,15179.062000000034,14946.334,434.1290000000008,477.43700000003446
22,15579.937999999966,15398.62,452.28600000000006,400.8759999999311
26,17193.125,17089.172,1690.5519999999979,1613.1870000000345
30,18688.75,19084.336,1995.1640000000007,1495.625
32,19659.68799999997,20464.914,1380.5780000000013,970.9379999999692
36,21768.062000000034,22822.281,2357.3669999999984,2108.3740000000653
40,24047.43799999997,25709.36,2887.0790000000015,2279.3759999999347
40,24418.375,26412.545,703.1849999999977,370.9370000000308
39,24781.5,26716.012,303.46700000000055,363.125
38,25284.5,26987.17,271.15799999999945,503.0
36,25728.18799999997,27100.97,113.80000000000291,443.6879999999692
32,26191.5,27116.578,15.608000000000175,463.3120000000308
30,26609.68799999997,27485.709,369.1309999999976,418.1879999999692
33,27983.25,29157.834,1672.125,1373.5620000000308
36,29625.68799999997,31236.35,2078.5159999999996,1642.4379999999692
