Speed,gear,Predicted_sum,Predicted
0.0,0.0,183.96869,183.96869
0.0,0.0,439.4052,255.43652
0.0,0.0,690.39404,250.9888
0.0,0.0,928.9354,238.54138
0.0,0.0,1157.1047,228.16931
0.0,0.0,1378.0072,220.90248
0.0,0.0,1594.0385,216.03128
0.0,0.0,1806.6934,212.65486
0.0,0.0,2016.8203,210.127
0.0,0.0,2225.693,208.87282
0.0,0.0,2442.936,217.2429
0.0,0.0,2758.853,315.91696
1.605119978,0.0,3380.0762,621.2231
5.137815241,1.0,4206.861,826.78467
8.245713496,1.0,5081.994,875.13336
11.70045045,1.0,5801.634,719.63965
13.31084071,1.0,6373.115,571.4813
14.32366071,1.0,6878.9863,505.87112
14.98458059,1.0,7340.1606,461.17426
15.25566925,1.0,7772.5015,432.34064
15.48549107,2.0,8175.702,403.20078
15.62609649,2.0,8540.019,364.3168
15.20333241,2.0,8869.583,329.56467
14.6615767,2.0,9169.379,299.7955
13.95213964,2.0,9441.162,271.78287
11.20996958,2.0,9706.826,265.6641
8.548188606,1.0,9974.693,267.86707
6.078263274,1.0,10234.82,260.12714
2.658761161,0.0,10490.639,255.81873
0.0,0.0,10745.418,254.7796
0.0,0.0,10990.781,245.36328
0.0,0.0,11225.046,234.2647
0.0,0.0,11451.092,226.04555
0.0,0.0,11671.573,220.48134
0.0,0.0,11888.474,216.90012
0.0,0.0,12103.135,214.66069
0.0,0.0,12316.416,213.28143
0.0,0.0,12528.852,212.4352
0.0,0.0,12740.763,211.91109
0.0,0.0,12952.339,211.5765
0.0,0.0,13163.688,211.34969
0.0,0.0,13374.867,211.1784
0.0,0.0,13585.89,211.02228
0.0,0.0,13796.724,210.83388
0.0,0.0,14007.261,210.53696
0.0,0.0,14217.269,210.0076
0.0,0.0,14426.328,209.05983
0.0,0.0,14633.767,207.43816
0.0,0.0,14838.709,204.94275
0.0,0.0,15041.582,202.87263
0.0,0.0,15259.986,218.40399
0.019003378,0.0,15679.066,419.08
3.72559458,1.0,16348.875,669.8082
6.892857143,1.0,17112.555,763.6799
9.974888393,1.0,17911.758,799.20306
12.60665458,1.0,18762.82,851.06226
15.03076604,1.0,19745.432,982.6113
18.14644886,1.0,20810.064,1064.6332
20.98890904,1.0,21905.191,1095.126
23.67151989,1.0,22992.818,1087.6274
26.1509009,1.0,23988.756,995.93823
27.6375,1.0,24926.266,937.51074
