Speed,Actual,Predicted_sum,Predicted,rate
12,926.2659999999996,1284.0499,1284.0499,926.2659999999996
14,3868.7969999999987,3251.1233,1967.0734,2942.530999999999
22,6157.953999999998,4842.0303,1590.9069,2289.1569999999992
27,6844.484999999997,5569.98,727.9496,686.530999999999
26,7919.5,6272.57,702.58984,1075.015000000003
27,9996.546999999999,7374.3486,1101.7786,2077.0469999999987
30,11209.312999999998,8408.52,1034.171,1212.7659999999996
32,12036.875999999997,9101.351,692.83136,827.5629999999983
32,12931.594000000001,9745.404,644.05365,894.7180000000044
32,14703.249999999996,10577.273,831.8693,1771.6559999999954
33,15836.094000000001,11469.948,892.6746,1132.8440000000046
34,16949.484999999997,12194.2295,724.2816,1113.390999999996
34,17664.406999999996,12788.283,594.05334,714.9219999999987
34,18383.296999999995,13242.0625,453.7791,718.8899999999994
33,18679.641,13603.151,361.08847,296.3440000000046
31,18679.641,13927.275,324.12408,0.0
29,18679.641,14229.886,302.61066,0.0
27,18679.641,14517.717,287.8315,0.0
25,18679.641,14789.377,271.65976,0.0
20,18679.641,15065.589,276.21188,0.0
16,18875.796999999995,15347.485,281.89612,196.1559999999954
12,19243.156999999996,15646.294,298.80905,367.3600000000006
11,19709.859999999997,15997.922,351.62784,466.70300000000134
11,20822.859999999997,16777.479,779.5558,1113.0
13,22523.626,18430.207,1652.7281,1700.7660000000033
18,25012.766,20542.588,2112.3801,2489.1399999999994
23,29353.999999999996,22937.129,2394.5415,4341.233999999997
31,32203.829,24819.598,1882.4679,2849.829000000005
36,32600.516,25646.266,826.66876,396.6869999999981
36,33181.516,25993.957,347.69104,581.0
34,33789.532,26322.9,328.94406,608.015999999996
32,34760.719000000005,26748.426,425.52612,971.1870000000054
32,35910.891,27280.428,532.0024,1150.1719999999987
32,36874.126000000004,27801.31,520.88324,963.2350000000006
32,37340.704000000005,28207.758,406.44727,466.57800000000134
30,38205.376000000004,28609.771,402.0142,864.6719999999987
29,38761.172,29028.588,418.81668,555.7959999999948
29,39259.407,29349.045,320.45657,498.2350000000006
27,39329.735,29627.732,278.68826,70.32800000000134
23,39329.735,29899.047,271.31357,0.0
18,39399.797,30173.18,274.1323,70.06199999999808
13,39766.5,30459.602,286.42245,366.70300000000134
11,40092.126000000004,30743.154,283.5518,325.62600000000384
8,40415.204000000005,31027.344,284.1888,323.07800000000134
6,40762.391,31317.0,289.65692,347.1869999999981
5,41211.329000000005,31732.648,415.64783,448.9380000000019
7,42113.907,32455.998,723.349,902.5779999999941
10,43162.376000000004,33337.24,881.2416,1048.4690000000046
13,44099.0,34168.047,830.80774,936.6239999999962
15,45587.297,34920.66,752.6148,1488.2969999999987
17,47028.219000000005,35556.082,635.42365,1440.922000000006
19,47571.563,35966.414,410.33148,543.3439999999973
18,48318.297,36346.58,380.16574,746.7339999999967
17,49505.265999999996,36896.82,550.2424,1186.9689999999973
19,50668.73500000001,37511.957,615.13544,1163.4690000000119
20,51213.48500000001,38049.695,537.73956,544.75
20,51949.954000000005,38636.363,586.66864,736.4689999999973
20,52984.75000000001,39498.23,861.8684,1034.796000000002
22,53793.75000000001,40375.387,877.1556,809.0
24,54346.438,40870.98,495.59494,552.6879999999946
24,54431.11000000001,41192.44,321.46252,84.67200000000594
22,54431.11000000001,41474.727,282.28513,0.0
19,54431.11000000001,41745.15,270.4217,0.0
14,54673.954000000005,42052.863,307.71295,242.84399999999732
14,55262.61000000001,42591.992,539.12775,588.6560000000027
15,56606.063,43850.49,1258.4976,1343.452999999994
18,58204.844000000005,45729.348,1878.8601,1598.7810000000027
23,60264.938,47749.516,2020.1696,2060.0939999999973
27,62586.579000000005,49790.992,2041.475,2321.6410000000033
32,64629.438,51505.4,1714.4073,2042.8589999999967
36,64931.11000000001,52527.465,1022.06604,301.67200000000594
36,65918.141,53476.883,949.41876,987.0309999999881
37,66985.157,54786.02,1309.1367,1067.0160000000033
39,68791.407,56197.523,1411.5049,1806.25
41,69758.43800000001,57457.7,1260.1772,967.0310000000027
42,70566.126,58684.887,1227.1892,807.6879999999946
43,72070.391,60017.73,1332.8439,1504.2649999999994
