Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE,"c_FC_Dil_vec
[liter]",Ac,Acc
0,1235.5625,402.87653,402.87653,1235.5625,260.2361751,127588.6507,36.91109304,3.17E-05,31.69254815,31.69254815
0,1877.765625,811.7528,408.8763,642.203125,260.2361751,127588.6507,36.91109304,5.67E-05,56.72162161,88.41416976
0,3134.9375,1219.2388,407.4859,1257.171875,260.2361751,127588.6507,36.91109304,0.000138722,138.7219821,227.1361519
0,3666.703125,1627.6775,408.43875,531.765625,260.2361751,127588.6507,36.91109304,0.000268715,268.7148228,495.8509747
0,4695.046875,2036.9297,409.2522,1028.34375,260.2361751,127588.6507,36.91109304,0.000364198,364.1983349,860.0493096
0,5183.109375,2446.6746,409.7449,488.0625,260.2361751,127588.6507,36.91109304,0.000422146,422.146118,1282.195428
0,6271.046875,2857.378,410.70346,1087.9375,260.2361751,127588.6507,36.91109304,0.000478303,478.3025801,1760.498008
0,6798.3125,3270.1533,412.7755,527.265625,260.2361751,127588.6507,36.91109304,0.000508003,508.0030809,2268.501089
0,7312.0625,3687.4773,417.32407,513.75,260.2361751,127588.6507,36.91109304,0.000530762,530.762396,2799.263485
0,8234.234375,4116.5806,429.1031,922.171875,260.2361751,127588.6507,36.91109304,0.000540527,540.5271449,3339.790629
0,8716,4578.179,461.59857,481.765625,260.2361751,127588.6507,36.91109304,0.000547676,547.6759091,3887.466539
0,9732.84375,5145.75,567.5707,1016.84375,260.2361751,127588.6507,36.91109304,0.000590099,590.0989479,4477.565486
1.125,10267.15625,5923.1567,777.4067,534.3125,260.2361751,127588.6507,36.91109304,0.000623714,623.7135456,5101.279032
4.296875,11707.17188,6846.02,922.86316,1440.01563,260.2361751,127588.6507,36.91109304,0.000783258,783.2577256,5884.536758
8.09375,12426.3125,7878.211,1032.1912,719.14062,260.2361751,127588.6507,36.91109304,0.000945812,945.8122333,6830.348991
11.4609375,13863.10938,8941.081,1062.8699,1436.79688,260.2361751,127588.6507,36.91109304,0.000970543,970.5432908,7800.892282
14.46875,14505.59375,9714.741,773.6598,642.48437,260.2361751,127588.6507,36.91109304,0.000907034,907.0341452,8707.926427
15.625,15087.70313,10273.154,558.4133,582.10938,260.2361751,127588.6507,36.91109304,0.000860777,860.7771515,9568.703578
15.625,16251.5625,10765.424,492.26993,1163.85937,260.2361751,127588.6507,36.91109304,0.000841912,841.9118797,10410.61546
15.25,16849.60938,11260.653,495.2292,598.04688,260.2361751,127588.6507,36.91109304,0.000837482,837.4823718,11248.09783
14.875,18268.3125,11825.883,565.2291,1418.70312,260.2361751,127588.6507,36.91109304,0.000800874,800.8744699,12048.9723
15.1171875,19004.73438,12442.148,616.26556,736.42188,260.2361751,127588.6507,36.91109304,0.000765023,765.0225112,12813.99481
15.625,19744.34375,13004.286,562.1373,739.60937,260.2361751,127588.6507,36.91109304,0.0007434,743.3999583,13557.39477
15.75,20967.6875,13444.972,440.6858,1223.34375,260.2361751,127588.6507,36.91109304,0.000649226,649.225986,14206.62076
14.875,21499.60938,13801.681,356.70914,531.92188,260.2361751,127588.6507,36.91109304,0.000559956,559.9561011,14766.57686
13.3984375,22274.70313,14094.586,292.90573,775.09375,260.2361751,127588.6507,36.91109304,0.000461498,461.4978392,15228.0747
10.375,22622.67188,14361.68,267.0941,347.96875,260.2361751,127588.6507,36.91109304,0.000414571,414.5709431,15642.64564
6.6484375,23111.35938,14620.811,259.1308,488.6875,260.2361751,127588.6507,36.91109304,0.000406747,406.7469148,16049.39255
3.015625,23805.5625,14888.692,267.8818,694.20312,260.2361751,127588.6507,36.91109304,0.000416157,416.1566802,16465.54923
0.25,24115.70313,15227.6875,338.9948,310.14063,260.2361751,127588.6507,36.91109304,0.00041232,412.3200379,16877.86927
0,24776.64063,15606.077,378.3901,660.9375,260.2361751,127588.6507,36.91109304,0.00041473,414.7300059,17292.59928
0,25097.64063,15980.55,374.47296,321,260.2361751,127588.6507,36.91109304,0.000402731,402.730563,17695.32984
0,25722.54688,16351.46,370.91046,624.90625,260.2361751,127588.6507,36.91109304,0.000389951,389.950872,18085.28071
0,26059.71875,16721.28,369.81873,337.17187,260.2361751,127588.6507,36.91109304,0.000375522,375.5216912,18460.8024
0,26399.71875,17090.22,368.94077,340,260.2361751,127588.6507,36.91109304,0.000364862,364.8622237,18825.66463
0,27051.25,17458.627,368.40598,651.53125,260.2361751,127588.6507,36.91109304,0.000359802,359.8021992,19185.46683
