Speed,Actual,Predicted
0,0.0,5.39355
0,63.5619999999999,158.365
0,151.07800000000043,340.2837
0,238.1880000000001,532.4169
0,331.4380000000001,726.28314
0,408.57800000000043,915.9626
0,494.7970000000005,1101.5575
0,582.1409999999996,1285.1945
0,678.2029999999995,1467.7944
0,758.3590000000004,1649.6824
0,846.7340000000004,1831.1621
0,935.5310000000009,2012.4352
0,1030.4220000000005,2193.5808
0,1108.5159999999996,2374.6494
0,1188.875,2555.6929
0,1266.7970000000005,2736.7498
0,1347.1409999999996,2917.8398
0,1420.2189999999991,3098.9692
0,1500.8909999999996,3280.1348
0,1574.9840000000004,3461.3257
0,1664.562,3642.5276
0,1739.7340000000004,3824.0667
0,1823.0,4005.837
0,1907.4220000000005,4187.7754
0,2007.4060000000009,4369.542
0,2077.093999999999,4551.2183
0,2163.031000000001,4733.181
0,2251.1090000000004,4915.304
0,2349.343999999999,5097.5444
0,2429.625,5279.9253
0,2518.156000000001,5462.0854
0,2607.312,5644.4688
0,2713.5,5827.0244
0,2787.6090000000004,6009.7075
0,2878.3279999999995,6192.5645
0,2966.938,6375.629
0,3063.062,6558.934
0,3142.6720000000005,6742.538
0,3230.7659999999996,6926.5146
0,3320.4840000000004,7110.9453
0,3435.2970000000005,7295.9517
0,3500.0,7481.7764
0,3588.2970000000005,7668.822
0,3676.0470000000005,7857.2163
0,3781.562,8045.4907
0,3899.281000000001,8229.92
0,4025.156000000001,8406.897
0,4154.625,8569.857
0,4312.781000000001,8710.711
0,4418.281000000001,8865.043
0,4550.484,9027.472
0,4681.843999999999,9191.168
0,4821.281000000001,9356.886
0,5033.281000000001,9525.877
0,5726.656000000001,9696.919
0,6361.1720000000005,9870.068
0,6455.7029999999995,10050.798
0,6557.641,10243.814
0,6690.843999999999,10453.604
0,6811.516,10655.888
0,7344.0779999999995,10851.053
0,7676.016,11044.701
0,7827.891,11238.977
0,8111.938,11434.047
0,8467.516,11631.99
0,8727.094000000001,11834.662
0,9286.921999999999,12048.374
0,9713.155999999999,12295.538
0,10237.125,12609.058
3,10685.016,12927.905
4,10896.625,13134.469
4,10990.984,13307.714
4,11234.030999999999,13511.187
5,11522.671999999999,13723.817
5,11858.062000000002,13885.288
4,11889.780999999999,14033.035
0,11967.766,14198.198
0,12048.296999999999,14385.545
0,12153.046999999999,14580.559
0,12354.421999999999,14773.29
0,12616.812000000002,14988.653
0,12689.234,15269.115
2,12781.703000000001,15607.423
3,12945.921999999999,15871.367
3,13162.905999999999,16066.808
3,13245.984,16253.766
3,13360.75,16431.393
0,13481.969000000001,16615.05
0,13651.155999999999,16814.03
0,13763.703000000001,17051.965
0,13898.796999999999,17295.307
0,14051.203000000001,17550.436
0,15081.171999999999,17908.846
0,16241.234,18479.486
2,17269.047,19179.33
4,18058.969,19857.967
7,18713.719,20437.97
7,18878.516,20663.604
7,19117.188,20917.482
8,19503.0,21510.258
11,20251.078,22327.367
14,20925.094,23281.904
18,21765.562,24542.084
20,22579.094,25467.125
23,23432.281,26462.871
24,23942.703,27084.479
24,24540.656,27628.287
24,25061.422,28219.424
25,25699.391000000003,28869.316
25,26022.218999999997,29453.555
25,26451.891000000003,29982.393
25,26824.547,30458.916
24,27179.858999999997,30905.49
24,27475.781000000003,31374.129
24,27815.233999999997,31796.213
23,28129.108999999997,32093.922
21,28405.375,32341.1
20,28513.938000000002,32537.104
17,28640.891000000003,32735.709
14,28756.922,32937.0
11,28884.953,33137.1
10,28966.547,33325.473
9,29065.938000000002,33518.094
9,29352.188000000002,33725.324
9,30309.203,34005.797
9,31260.983999999997,34349.777
10,31562.906000000003,34684.668
9,31766.016000000003,34898.023
6,32036.75,35103.36
5,32214.468999999997,35292.547
4,32418.358999999997,35487.53
4,32605.0,35681.47
3,32808.234,35886.29
3,33069.078,36205.914
5,33978.578,36882.0
7,35068.781,37522.72
10,35219.047,38057.137
10,35513.688,38388.67
11,35962.234,38705.074
11,36191.406,38950.62
9,36407.562,39176.21
9,36598.391,39414.184
10,37023.891,39832.742
11,37706.312,40413.93
12,38631.766,41035.645
13,39540.891,41846.516
15,40811.469,42884.305
17,41998.703,43624.82
19,42509.078,44161.836
19,42576.266,44335.83
18,42734.031,44503.387
18,43025.547,44676.203
18,43327.875,44851.645
17,43401.219,45024.51
16,43504.688,45202.176
16,43604.828,45376.48
15,43755.641,45549.98
15,43886.172,45721.18
14,44057.203,45895.445
14,44211.969,46068.97
13,44336.125,46245.14
13,44425.859,46421.883
12,44598.406,46606.46
12,44869.156,46833.508
13,45173.562,47122.035
13,45275.438,47333.633
12,45363.844,47525.07
11,45460.297,47716.594
10,45588.281,47903.094
10,45690.875,48097.79
10,45806.516,48307.734
10,46052.812,48521.28
10,46422.078,48731.7
10,46676.75,48965.562
11,46960.797,49348.76
10,47079.359,49550.016
9,47153.609,49758.12
8,47237.422,49963.566
8,47597.188,50264.633
9,48283.344,50699.703
10,48913.688,51030.14
9,48975.438,51246.312
8,49066.891,51457.12
6,49185.656,51666.215
4,49335.906,51868.36
4,49420.5,52067.97
3,49578.844,52263.98
2,49945.375,52453.07
0,50262.359,52639.56
0,50378.844,52825.062
0,50500.234,53017.953
0,51214.531,53215.598
0,51724.891,53412.51
0,51724.891,53608.125
0,51836.203,53803.74
0,51986.891,53999.605
0,52122.734,54195.45
0,52223.219,54391.176
0,52335.812,54586.49
0,52457.969,54780.426
0,52604.375,54974.887
0,52707.406,55170.008
0,52819.469,55365.71
0,52937.906,55561.293
0,53058.156,55756.383
0,53413.656,55951.145
0,54463.594,56145.496
0,54931.391,56339.24
0,54982.031,56532.56
0,55111.047,56725.688
0,55272.5,56918.61
0,55420.938,57111.348
0,55577.766,57303.945
0,55694.172,57496.42
