Speed,Actual,Predicted
0.0,0.0,59.081818
0.0,413.3068182,262.01166
0.0,889.0375171999999,501.12738
0.0,1479.1112692,749.92554
0.0,2093.5007522,997.78876
0.0,2581.5733622000002,1241.0269
0.0,2999.2402422,1480.1149
0.0,3437.0880682,1717.2113
0.0,3789.0171892000003,1954.0505
0.0,4181.769318199999,2191.7534
0.0,4526.003376199999,2431.0884
0.0,4894.3224432,2672.577
0.0,5324.4943182,2916.5183
0.0,5704.3803472,3163.0435
0.0,6066.0667822,3412.2024
0.0,6395.4819102,3664.1475
0.0,6706.7225792,3919.5793
0.0,7178.5568182,4180.5117
0.0,7533.3902282,4451.0605
0.0,7864.4063122,4738.691
0.0,8206.680057200001,5062.869
0.0,8511.1724902,5483.0903
0.0,8859.3536932,6136.0776
0.356884058,9415.6471712,7076.159
2.227145522,10117.2881632,8050.526
5.255803571,10704.7740132,8836.078
7.460371377,11296.2336732,9485.197
9.111240672,11936.6661932,10148.87
11.12441698,12610.3770232,10904.073
13.02215485,13253.6876532,11682.732
14.4035681,13988.8655932,12357.763
15.45422363,14789.591003200001,12914.584
16.00585938,15666.2130732,13365.9
15.81675092,16547.8203732,13757.172
15.23774038,17134.4753332,14133.576
15.01702425,17856.4789332,14521.234
14.859375,18611.6989032,14929.798
14.72289299,19385.7646732,15358.864
14.87902462,20370.5724432,15806.267
14.96780303,21194.1910532,16265.104
15.06996269,21964.688583199997,16726.586
15.14891827,22728.039513199998,17187.258
15.10634328,23406.8380732,17649.52
15.125,24404.9943232,18116.486
15.07089552,25094.4847532,18580.455
15.08815299,25830.4297232,19023.57
14.76899038,26459.3609132,19443.42
14.02083333,26942.3536932,19841.527
13.37310606,27612.743143199998,20210.545
12.76119403,28067.8665232,20544.725
11.06226679,28479.710743199998,20844.09
7.916819853,28822.1043832,21112.686
5.926923077,29271.7130732,21371.258
5.44542739,29609.0303932,21635.775
4.905803571,29870.5322632,21895.973
2.996783088,30111.5862332,22147.246
0.54076087,30359.6899732,22403.682
0.045242537,30605.9943232,22673.768
0.0,30838.8836132,22951.342
0.0,31066.0762932,23225.48
0.0,31281.889473199997,23497.7
0.0,31495.3458832,23770.582
0.0,31725.0568232,24043.775
0.0,31999.100303199997,24316.705
0.0,32205.2168132,24589.854
0.0,32411.0371132,24863.83
0.0,32623.195073199997,25138.822
0.0,32852.8536932,25414.75
0.0,33089.2224432,25691.45
0.0,33287.0866932,25968.71
0.0,33495.456053199996,26246.312
0.0,33692.0815432,26524.064
0.0,33926.6349432,26801.836
0.0,34170.369093199995,27079.555
0.0,34373.2738132,27357.2
0.0,34559.5591232,27634.785
0.0,34764.1434332,27912.36
0.0,34959.0255732,28189.996
0.0,35209.5414232,28467.785
0.0,35409.2206632,28745.832
0.0,35601.189633199996,29024.25
0.0,35790.3779432,29303.156
0.0,36017.9313632,29582.664
0.0,36266.0724432,29862.877
0.0,36465.9047132,30143.89
0.0,36656.9720032,30425.787
0.0,36862.6836332,30708.635
0.0,37067.0140232,30992.512
0.0,37303.9630732,31277.582
0.0,37513.325573199996,31564.154
0.0,37707.8617332,31852.633
0.0,37918.1450632,32143.693
0.0,38112.9583132,32439.441
0.0,38374.7911932,32745.105
0.0,38596.9107632,33068.652
0.0,38789.7486232,33423.78
0.0,38976.1455132,33867.137
0.0,39184.4911032,34591.812
0.0,39437.5880732,35919.594
1.607244318,40207.0920932,37558.055
5.855813419,40844.685033199996,38833.465
8.218405331,41287.6763032,39635.332
9.549360795,41581.7542632,40323.88
11.10097064,41897.5724432,41014.527
12.45663496,42345.1646132,41683.31
13.06923077,42545.8794232,42302.895
13.65636837,42906.9670932,42958.047
14.50757576,43430.2012332,43669.805
15.36153846,44040.0880732,44358.418
15.41346154,44062.2202832,44921.504
15.3229944,44255.7713732,45411.227
15.80888526,44526.7629832,45894.406
16.33099724,44801.4391732,46476.11
16.97201493,45318.5568232,47191.08
17.83733675,45766.2564432,47983.36
19.05340485,46265.5066832,48839.86
20.38389423,46832.6217232,49758.516
21.76298254,47379.906083199996,50724.664
23.15423769,48016.5099432,51712.64
24.62026515,48689.8352332,52714.098
26.08815299,49337.2237932,53704.203
27.59647817,49975.0612832,54668.445
28.93376866,50581.5540232,55591.78
30.25976563,51350.7443232,56486.566
31.44093277,52143.3832832,57305.67
32.07539683,52595.5362332,57973.94
32.39230769,52946.0421532,58509.37
32.14331055,53260.6036932,58977.38
31.90848214,53521.6036932,59423.402
31.75559701,54007.9061732,59878.457
31.7109375,54395.885923199996,60348.043
31.63867188,54780.577333199995,60829.46
31.63221154,55203.2111532,61314.176
31.58866004,55612.4900632,61801.83
31.56522817,56061.1974432,62289.867
31.55192308,56461.7580232,62777.008
31.54038462,56844.0373432,63263.94
31.5,57194.0260432,63757.61
31.54807692,57560.0089832,64263.465
31.76264881,58174.2286932,64781.02
31.93329327,58611.6517732,65307.098
32.10192308,59052.1849432,65830.73
32.16210938,59466.6701032,66353.55
32.27734375,59887.8663932,66872.5
32.41153846,60354.6974432,67385.62
32.47692308,60855.5748532,67890.58
32.38888889,61215.1724032,68387.914
32.38461538,61566.6205232,68875.125
32.28799716,61933.756153199996,69363.15
32.28769841,62415.2286932,69849.34
32.25,62809.1301332,70336.195
32.21825397,63177.6726432,70821.086
32.12744141,63548.381043199995,71307.32
32.09002404,63903.6818232,71793.016
32.11931818,64407.6818232,72276.2
32.01802885,64783.7443232,72761.49
31.96337891,65146.6220032,73245.42
31.94140625,65488.748223200004,73730.77
31.925,65881.8068232,74218.39
31.90504808,66376.4005732,74706.875
31.87620192,66742.9111532,75195.4
31.84533691,67080.6974532,75684.586
31.8125,67462.5594232,76175.73
31.82043651,67877.4161932,76668.5
31.79459135,68304.8594632,77166.125
31.78341346,68670.2661932,77669.4
31.83269231,69039.8611432,78177.93
31.83333333,69422.4005732,78685.63
31.8125,69887.4005732,79166.17
31.7369403,70277.7734732,79597.96
31.12304688,70601.8283032,79984.1
30.57307692,70928.0205232,80334.06
30.0135498,71235.7763032,80618.91
29.26995192,71673.3068232,80792.16
27.26655784,72035.6715632,80896.71
24.94867788,72374.3630732,80973.88
24.00384964,72700.1922432,81066.13
22.96969697,73021.9815432,81169.03
21.63485577,73391.5411932,81278.17
20.13154871,73691.1514832,81402.37
18.52355239,73951.0552132,81549.22
16.88778409,74188.8769032,81723.5
15.12695313,74435.6818232,81921.734
13.20697464,74636.9318232,82132.95
11.36379076,74844.8108932,82347.03
10.02079665,74985.7317732,82561.04
9.323076923,75138.6210032,82773.18
8.520606884,75285.2062732,82981.49
6.855060634,75408.3693232,83194.08
4.249433877,75586.8204132,83402.68
1.91953125,75722.8568232,83609.414
0.457720588,75855.3380732,83824.86
0.035211268,75995.4025532,84036.13
0.0,76125.3536932,84243.66
0.0,76264.6138032,84450.28
0.0,76385.0400932,84655.84
0.0,76489.5344332,84859.18
0.0,76599.7746532,85059.61
0.0,76726.4005732,85257.3
0.0,76869.8933232,85452.77
0.0,76971.2231832,85646.46
0.0,77085.9886832,85838.55
0.0,77189.5140232,86029.07
0.0,77329.5099432,86218.01
0.0,77446.7979932,86405.336
0.0,77561.0434332,86591.07
0.0,77676.7351332,86775.29
0.0,77775.7065032,86958.1
0.0,77890.5724432,87139.63
0.0,78017.1887132,87320.02
0.0,78121.9168732,87499.42
0.0,78222.0176432,87677.97
0.0,78332.8487832,87855.82
0.0,78433.7995732,88033.125
0.0,78561.8693232,88210.04
0.0,78659.6815932,88386.72
0.0,78762.6988032,88563.33
0.0,78865.8919632,88740.02
0.0,78968.3693232,88916.945
0.0,79099.9499332,89094.234
0.0,79209.8921932,89272.01
0.0,79313.0213032,89450.35
0.0,79418.6288332,89629.33
0.0,79526.6068232,89808.97
0.0,79655.0255732,89989.305
0.0,79771.5545632,90170.375
0.0,79887.4784632,90352.28
0.0,79994.5706032,90535.3
0.0,80097.7286932,90720.26
0.0,80238.4080532,90909.086
0.0,80351.5848532,91105.22
0.0,80465.2010732,91316.21
0.0,80567.9297232,91569.91
0.0,80678.2599432,91961.39
0.0,80856.8481832,92695.164
0.311594203,81173.1616632,93730.98
