Speed,Actual,Predicted
0,0.0,-19.455273
0,63.5619999999999,67.45152
0,151.07800000000043,204.3544
0,238.1880000000001,356.86633
0,331.4380000000001,518.0712
0,408.57800000000043,684.1096
0,494.7970000000005,851.36646
0,582.1409999999996,1017.4397
0,678.2029999999995,1180.949
0,758.3590000000004,1341.0344
0,846.7340000000004,1497.1067
0,935.5310000000009,1648.7861
0,1030.4220000000005,1795.8239
0,1108.5159999999996,1938.0104
0,1188.875,2075.1316
0,1266.7970000000005,2206.966
0,1347.1409999999996,2333.297
0,1420.2189999999991,2453.9243
0,1500.8909999999996,2568.6768
0,1574.9840000000004,2677.4243
0,1664.562,2780.0872
0,1739.7340000000004,2876.643
0,1823.0,2967.1345
0,1907.4220000000005,3051.6716
0,2007.4060000000009,3130.4346
0,2077.093999999999,3203.6702
0,2163.031000000001,3271.6875
0,2251.1090000000004,3334.8496
0,2349.343999999999,3393.5652
0,2429.625,3448.2786
0,2518.156000000001,3499.464
0,2607.312,3547.6204
0,2713.5,3593.2678
0,2787.6090000000004,3636.944
0,2878.3279999999995,3679.2026
0,2966.938,3720.6145
0,3063.062,3761.7634
0,3142.6720000000005,3803.2095
0,3230.7659999999996,3845.4465
0,3320.4840000000004,3888.9648
0,3435.2970000000005,3934.395
0,3500.0,3982.313
0,3588.2970000000005,4032.4414
0,3676.0470000000005,4083.8716
0,3781.562,4137.5303
0,3899.281000000001,4196.7837
0,4025.156000000001,4256.6807
0,4154.625,4303.5264
0,4312.781000000001,4350.5854
0,4418.281000000001,4398.958
0,4550.484,4446.3174
0,4681.843999999999,4501.1387
0,4821.281000000001,4568.012
0,5033.281000000001,4650.0254
0,5726.656000000001,4749.662
0,6361.1720000000005,4866.657
0,6455.7029999999995,5003.2056
0,6557.641,5168.8677
0,6690.843999999999,5372.0806
0,6811.516,5591.4116
0,7344.0779999999995,5803.678
0,7676.016,6016.201
0,7827.891,6237.884
0,8111.938,6470.4185
0,8467.516,6708.289
0,8727.094000000001,6945.0254
0,9286.921999999999,7191.7324
0,9713.155999999999,7503.5186
0,10237.125,7950.564
3,10685.016,8420.545
4,10896.625,8722.75
4,10990.984,8992.9375
4,11234.030999999999,9307.65
5,11522.671999999999,9653.562
5,11858.062000000002,9930.147
4,11889.780999999999,10131.253
0,11967.766,10327.495
0,12048.296999999999,10544.013
0,12153.046999999999,10800.043
0,12354.421999999999,11065.987
0,12616.812000000002,11357.952
0,12689.234,11728.768
2,12781.703000000001,12187.419
3,12945.921999999999,12576.898
3,13162.905999999999,12893.937
3,13245.984,13160.681
3,13360.75,13399.967
0,13481.969000000001,13618.009
0,13651.155999999999,13860.369
0,13763.703000000001,14172.9375
0,13898.796999999999,14505.624
0,14051.203000000001,14821.917
0,15081.171999999999,15190.242
0,16241.234,15691.81
2,17269.047,16319.311
4,18058.969,16957.75
7,18713.719,17575.191
7,18878.516,17921.55
7,19117.188,18370.107
8,19503.0,19188.705
11,20251.078,20274.816
14,20925.094,21547.42
18,21765.562,23107.072
20,22579.094,24290.236
23,23432.281,25502.734
24,23942.703,26315.832
24,24540.656,27008.316
24,25061.422,27759.402
25,25699.391000000003,28592.205
25,26022.218999999997,29360.924
25,26451.891000000003,30036.799
25,26824.547,30649.213
24,27179.858999999997,31238.797
24,27475.781000000003,31875.5
24,27815.233999999997,32471.656
23,28129.108999999997,32932.027
21,28405.375,33274.047
20,28513.938000000002,33541.48
17,28640.891000000003,33794.227
14,28756.922,34030.117
11,28884.953,34255.58
10,28966.547,34486.66
9,29065.938000000002,34737.902
9,29352.188000000002,35041.883
9,30309.203,35438.8
9,31260.983999999997,35866.477
10,31562.906000000003,36232.543
9,31766.016000000003,36468.37
6,32036.75,36674.734
5,32214.468999999997,36898.066
4,32418.358999999997,37150.043
4,32605.0,37416.418
3,32808.234,37680.758
3,33069.078,38069.38
5,33978.578,38813.77
7,35068.781,39643.137
10,35219.047,40375.48
10,35513.688,40730.49
11,35962.234,41069.188
11,36191.406,41350.88
9,36407.562,41566.83
9,36598.391,41812.027
10,37023.891,42310.38
11,37706.312,43003.473
12,38631.766,43695.23
13,39540.891,44525.594
15,40811.469,45584.41
17,41998.703,46381.887
19,42509.078,46907.434
19,42576.266,47057.27
18,42734.031,47225.902
18,43025.547,47414.473
18,43327.875,47610.38
17,43401.219,47801.953
16,43504.688,47985.64
16,43604.828,48168.918
15,43755.641,48349.094
15,43886.172,48526.227
14,44057.203,48700.22
14,44211.969,48873.145
13,44336.125,49042.613
13,44425.859,49210.668
12,44598.406,49382.113
12,44869.156,49583.7
13,45173.562,49835.848
13,45275.438,50030.195
12,45363.844,50192.453
11,45460.297,50350.008
10,45588.281,50509.89
10,45690.875,50680.85
