Speed,Actual,Predicted
0.0,0.0,86.484604
0.0,0.0,235.28615
0.0,0.0,397.43317
0.0,0.0,540.54065
0.0,0.0,673.971
0.0,0.0,804.7163
0.0,0.0,933.7406
0.0,0.0,1060.5406
0.0,0.0,1185.1936
0.0,0.0,1308.6165
0.0,0.0,1431.8396
0.0,0.0,1555.4199
0.0,0.0,1679.3868
0.0,0.0,1803.5597
0.0,0.0,1928.0897
0.0,0.0,2053.8271
0.0,0.0,2181.9895
0.0,0.0,2313.2197
0.0,0.0,2447.4016
0.0,28.05586283,2585.349
0.0,502.8454093,2730.3022
0.0,2199.895879,2886.0044
0.0,3902.091261,3049.99
0.0,5650.745575,3214.3918
0.0,6896.563883,3380.8445
0.0,8109.698285,3563.4697
0.0,9223.547152,3770.5833
0.0,10393.04038,3964.9138
0.0,11648.52019,4126.2446
0.0,13189.13136,4291.5894
0.349211836,14536.18128,4689.8384
4.707065819,16068.72207,5351.372
7.030143805,17205.16164,5767.947
7.955613938,18314.82011,5905.5015
8.695035951,18920.93473,6168.7803
11.00076051,20237.47884,6707.752
12.77876106,21614.91911,7292.5244
13.57252489,23417.48797,7566.679
13.6171875,24893.95561,7746.381
13.3431969,26188.34845,7941.2627
13.27668695,27605.09831,8154.5044
13.35287611,28984.80241,8379.179
13.42699115,30583.38122,8593.05
13.47856748,31921.46585,8777.24
12.39926715,33029.38772,8936.906
9.748064159,33460.4122,9072.213
6.654867257,34200.82937,9188.289
4.634679204,34978.69856,9294.214
1.531664823,35819.33393,9383.522
0.026548673,36562.46045,9475.582
0.0,37271.10509,9575.398
0.0,37842.12016,9671.291
0.0,38370.88178,9759.077
0.0,38865.62168,9841.776
0.0,39407.42658,9921.878
0.0,39873.28789,9999.5
0.0,40438.22995,10074.159
0.0,40950.65998,10146.084
0.0,41481.37237,10216.214
0.0,42008.47027,10285.746
0.0,42562.09859,10355.984
0.0,43108.04466,10428.426
0.0,43643.05227,10504.61
0.0,44204.56333,10585.53
0.0,44753.64671,10671.329
0.0,45315.81388,10762.381
0.0,45828.90514,10860.703
0.0,46392.33476,10967.815
0.0,46906.67105,11078.155
0.0,47469.97027,11183.701
0.0,47932.37832,11302.352
0.90161781,48262.79231,11500.045
2.994330752,48654.49972,11855.539
4.644081858,49050.87154,12310.534
7.233061394,49847.92132,12899.234
10.61843197,50897.8508,13662.808
14.31229259,52352.6846,14605.266
18.07708794,53954.84098,15668.27
20.95056692,55270.80213,16648.047
22.71792035,56280.54729,17612.521
24.38965708,57346.88468,18838.791
26.6772677,58913.0531,20397.059
28.95706582,60241.60772,21956.525
31.0210177,61650.60329,23179.58
31.99336283,62518.52088,23975.484
32.07190265,63127.27378,24609.951
31.84955752,63633.81762,25142.86
31.57411504,64114.51632,25615.914
31.30088496,64710.87887,26073.635
31.11456029,65257.30199,26541.799
30.91689712,65913.01881,27022.79
30.7920354,66443.29231,27515.283
30.65203263,67104.94718,28023.291
30.625,67691.67575,28551.764
30.625,68377.30752,29094.404
30.625,68987.77876,29646.25
30.625,69623.71612,30213.518
30.67809735,70249.21834,30804.312
30.85619469,70950.90445,31412.285
30.94358407,71614.09264,32019.252
31.0,72242.08048,32621.16
31.03761062,72927.81886,33223.703
31.10985896,73535.53595,33834.484
31.14988938,74231.31485,34461.945
31.20381637,74827.99157,35109.055
31.25,75493.14076,35726.785
31.12894082,76088.35232,36223.71
30.10723175,76525.93874,36622.246
27.35259956,76701.66496,36967.273
24.75442478,76719.64063,37267.28
21.64180033,76729.74281,37526.984
18.42097622,76963.96322,37750.99
16.06208518,77225.13814,37944.19
13.9663302,77468.79231,38108.086
11.26603982,77640.1698,38250.773
8.331374447,77838.67298,38382.336
4.521086836,78037.18238,38496.2
1.201949668,78310.61186,38591.105
0.024681969,78552.10523,38698.082
0.0,78754.16759,38810.785
0.0,78969.63924,38910.887
0.0,79166.83117,38995.527
0.0,79384.2453,39071.14
0.0,79586.88675,39141.883
0.0,79805.54909,39208.18
0.0,79999.37279,39269.473
0.0,80202.16773,39326.0
0.0,80404.41814,39378.902
0.0,80576.80296,39429.703
0.0,80792.41662,39479.902
0.0,80975.30379,39530.85
0.0,81197.34859,39583.883
0.0,81381.69953,39640.76
0.0,81594.25747,39703.61
0.0,81794.35205,39773.617
0.0,81994.28844,39850.664
0.0,82208.60454,39936.3
0.0,82414.1203,40036.31
0.0,82628.57329,40150.758
0.0,82818.65169,40268.363
0.164477323,83058.38274,40398.12
1.503318584,83352.98783,40667.74
3.168487279,83808.13067,41246.676
6.62963219,84566.56305,42056.848
8.779867257,85475.43238,42644.34
10.73160951,86274.57218,43078.754
12.69365321,87341.04522,43587.305
14.70132743,88201.90072,44174.418
16.49557522,89157.80572,44715.934
18.3803927,90023.99558,45236.957
20.17284292,91026.92091,45874.656
22.09983407,91980.05738,46661.133
23.86144912,93163.9393,47292.797
25.52488938,94107.20617,47696.566
27.08476217,95170.78236,48152.465
28.61946903,96132.05973,48757.824
30.23990597,97238.1297,49488.7
31.82860896,98281.51162,50312.56
33.71059181,99540.00277,51265.984
35.75926438,100886.1081,52244.875
37.50331858,102175.4599,53047.95
38.98748617,103619.1088,53743.695
40.38779038,104870.717,54479.508
41.80565542,106309.7967,55370.95
43.64159292,107731.1181,56509.95
45.61386892,109525.122,57837.547
47.68846792,111130.4046,59104.383
49.15286228,112719.9092,59890.312
49.29728982,113533.1402,60259.168
49.09637721,114179.3211,60473.594
48.7680448,114651.1177,60666.906
48.54646018,115283.9194,60877.438
48.38398783,115925.7996,61109.066
48.28159569,116662.1998,61358.11
48.29639104,117406.4469,61626.086
48.37582965,118181.4295,61917.074
48.45326327,119002.8446,62224.61
48.4940542,119656.3819,62515.152
48.33268805,120354.3868,62751.97
47.76631637,120755.0835,62944.965
