Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
51,647.0630000000237,900.8635,592.80124,647.0630000000237
51,1278.3760000000475,1479.1705,578.3069999999999,631.3130000000237
51,1663.9070000000063,1976.4641,497.29359999999997,385.5309999999588
51,2089.5320000000065,2551.939,575.4748999999999,425.6250000000002
52,2629.063000000024,3309.1394,757.2004000000002,539.5310000000177
52,3559.938000000024,4105.6924,796.5529999999999,930.875
53,4382.5,4872.4043,766.7119000000002,822.5619999999758
53,5217.876000000048,5640.465,768.0607,835.3760000000484
54,5940.813000000024,6395.628,755.1629999999996,722.9369999999753
54,6655.063000000024,7011.0264,615.3984,714.25
54,7196.376000000048,7526.2134,515.1869999999999,541.3130000000247
54,7750.0,8001.6816,475.46820000000025,553.6239999999516
54,8280.219000000041,8476.811,475.1293999999998,530.219000000041
54,8858.094000000041,9013.323,536.5120000000006,577.875
54,9523.0,9749.993,736.6700000000001,664.905999999959
55,10521.876000000047,10799.34,1049.3469999999998,998.8760000000475
56,11520.34400000004,11911.738,1112.3979999999992,998.4679999999917
56,12365.438000000024,12837.841,926.103000000001,845.0939999999846
57,12828.126000000047,13680.96,843.1189999999988,462.68800000002375
57,13372.938000000024,14431.585,750.625,544.8119999999763
57,13974.876000000047,15064.027,632.4420000000009,601.9380000000237
57,14392.376000000047,15559.457,495.4300000000003,417.5
56,14702.532000000008,15974.845,415.387999999999,310.15599999996084
56,15094.063000000024,16503.393,528.5480000000007,391.5310000000154
57,15946.71900000004,17355.402,852.0089999999982,852.6560000000154
57,17033.657000000007,18467.18,1111.778000000002,1086.9379999999674
58,17898.657000000007,19516.273,1049.0930000000008,865.0
58,18358.438000000024,20201.855,685.5819999999985,459.78100000001723
58,18708.376000000047,20728.502,526.6470000000008,349.93800000002375
58,19041.813000000024,21230.395,501.89300000000003,333.43699999997625
58,19224.188000000024,21701.076,470.6810000000005,182.375
58,19450.438000000024,22115.06,413.9840000000004,226.25
57,19663.563000000024,22498.268,383.2079999999987,213.125
57,20077.626000000047,22936.568,438.2999999999993,414.06300000002375
57,20446.46900000004,23518.984,582.4160000000011,368.8429999999935
58,20920.282000000007,24133.97,614.9860000000008,473.81299999996554
58,21238.188000000024,24604.275,470.3050000000003,317.90600000001723
57,21499.5,24998.303,394.0279999999984,261.31199999997625
57,21688.282000000007,25393.693,395.3899999999994,188.78200000000652
57,21880.657000000007,25813.271,419.57800000000134,192.375
57,22085.21900000004,26268.488,455.21700000000055,204.56200000003446
57,22354.09400000004,26763.863,495.375,268.875
57,22783.157000000007,27314.328,550.4650000000001,429.06299999996554
57,23460.938000000024,28058.826,744.4979999999996,677.7810000000172
58,24197.313000000024,29130.455,1071.6290000000008,736.375
59,24963.657000000007,30185.861,1055.405999999999,766.3439999999828
59,25144.876000000047,30766.025,580.1640000000007,181.21900000004098
59,25342.626000000047,31136.535,370.5099999999984,197.75
58,25532.563000000024,31455.56,319.02500000000146,189.93699999997625
58,25695.25,31745.46,289.8999999999978,162.68699999997625
58,25840.282000000007,31996.1,250.63999999999942,145.03200000000652
57,25984.188000000024,32219.404,223.3040000000001,143.90600000001723
57,26130.313000000024,32430.336,210.9320000000007,146.125
56,26307.157000000007,32633.43,203.09400000000096,176.84399999998277
56,26433.376000000047,32843.207,209.77700000000186,126.21900000004098
55,26625.313000000024,33067.5,224.29299999999785,191.93699999997625
55,26927.25,33291.1,223.59999999999854,301.93699999997625
55,27245.25,33481.16,190.06000000000495,318.0
54,27461.376000000047,33642.8,161.63999999999942,216.1260000000475
53,27714.813000000024,33786.895,144.0949999999939,253.43699999997625
53,28008.5,33906.29,119.39500000000407,293.68699999997625
52,28322.563000000024,33999.867,93.5769999999975,314.06300000002375
51,28545.876000000047,34083.785,83.91800000000512,223.31300000002375
49,28797.438000000024,34179.895,96.1099999999933,251.56199999997625
47,29076.376000000047,34291.65,111.75500000000466,278.93800000002375
46,29453.0,34415.703,124.05299999999988,376.6239999999525
45,29663.5,34549.844,134.14099999999598,210.5
43,29920.938000000024,34689.98,140.13600000000588,257.43800000002375
41,30188.34400000004,34838.44,148.45999999999913,267.40600000001723
39,30464.563000000024,34991.785,153.34500000000116,276.21899999998277
37,30650.5,35144.566,152.7809999999954,185.93699999997625
37,30881.626000000047,35321.004,176.43800000000192,231.1260000000475
36,31105.626000000047,35500.99,179.98599999999715,224.0
35,31365.25,35676.523,175.53300000000309,259.6239999999525
34,31546.876000000047,35843.246,166.72299999999814,181.6260000000475
33,31750.34400000004,35995.68,152.4340000000011,203.46799999999348
32,31966.75,36131.883,136.20300000000134,216.40599999995902
30,32185.376000000047,36258.05,126.16700000000128,218.6260000000475
29,32360.688000000024,36401.465,143.4149999999936,175.31199999997625
29,32542.813000000024,36602.316,200.8510000000024,182.125
29,32731.657000000007,36873.285,270.9690000000046,188.84399999998277
29,32950.12600000005,37143.23,269.9449999999997,218.46900000004098
29,33082.938000000024,37296.707,153.47699999999895,132.81199999997625
29,33184.46900000004,37404.418,107.71099999999569,101.53100000001723
29,33265.938000000024,37569.938,165.52000000000407,81.46899999998277
28,33474.688000000024,37878.8,308.862000000001,208.75
29,33811.37600000005,38482.676,603.8759999999966,336.68800000002375
30,34342.563000000024,39261.21,778.5339999999997,531.1869999999763
31,34978.5,40114.19,852.9800000000032,635.9369999999763
33,35640.34400000004,41220.41,1106.2200000000012,661.844000000041
34,35903.313000000024,42215.832,995.4219999999987,262.96899999998277
35,36255.90700000001,42834.74,618.9079999999958,352.59399999998277
36,36581.06300000002,43417.758,583.0180000000037,325.15600000000995
36,36915.25,44012.707,594.9490000000005,334.1869999999835
37,37136.78200000001,44605.945,593.2379999999976,221.53200000000652
37,37407.18800000002,45218.164,612.2189999999973,270.40600000000995
38,37662.93800000002,45922.277,704.1130000000048,255.75
39,37942.56300000002,46607.188,684.9110000000001,279.625
