Speed,Actual,Predicted
0.0,0.0,99.39916
0.0,0.0,230.9053
0.0,0.0,368.33746
0.0,0.0,494.53177
0.0,0.0,616.09235
0.0,0.0,737.4691
0.0,0.0,859.01483
0.0,0.0,982.4402
0.0,0.0,1109.4828
0.0,0.0,1238.6953
0.0,0.0,1367.9862
0.0,0.0,1498.8893
0.0,0.0,1633.6456
0.0,0.0,1770.2378
0.0,0.0,1904.582
0.0,0.0,2038.7434
0.0,0.0,2178.0967
0.0,0.0,2322.039
0.0,0.0,2462.5889
0.0,28.05586283,2600.329
0.0,502.8454093,2746.2588
0.0,2199.895879,2904.975
0.0,3902.091261,3064.3994
0.0,5650.745575,3213.147
0.0,6896.563883,3368.5254
0.0,8109.698285,3543.3027
0.0,9223.547152,3727.3936
0.0,10393.04038,3874.793
0.0,11648.52019,4007.7605
0.0,13189.13136,4172.9697
0.349211836,14536.18128,4498.0044
4.707065819,16068.72207,4975.495
7.030143805,17205.16164,5249.7686
7.955613938,18314.82011,5469.256
8.695035951,18920.93473,5776.8
11.00076051,20237.47884,6217.7876
12.77876106,21614.91911,6615.9844
13.57252489,23417.48797,6866.891
13.6171875,24893.95561,7079.857
13.3431969,26188.34845,7287.923
13.27668695,27605.09831,7511.5146
13.35287611,28984.80241,7750.687
13.42699115,30583.38122,7991.3467
13.47856748,31921.46585,8209.153
12.39926715,33029.38772,8399.212
9.748064159,33460.4122,8570.716
6.654867257,34200.82937,8725.989
4.634679204,34978.69856,8866.225
1.531664823,35819.33393,8998.067
0.026548673,36562.46045,9132.547
0.0,37271.10509,9275.632
0.0,37842.12016,9409.912
0.0,38370.88178,9530.324
0.0,38865.62168,9648.716
0.0,39407.42658,9765.354
0.0,39873.28789,9876.766
0.0,40438.22995,9985.032
0.0,40950.65998,10093.965
0.0,41481.37237,10203.973
0.0,42008.47027,10313.638
0.0,42562.09859,10423.727
0.0,43108.04466,10537.856
0.0,43643.05227,10658.786
0.0,44204.56333,10786.201
0.0,44753.64671,10917.827
0.0,45315.81388,11053.794
0.0,45828.90514,11195.671
0.0,46392.33476,11339.64
0.0,46906.67105,11474.404
0.0,47469.97027,11595.844
0.0,47932.37832,11722.441
0.90161781,48262.79231,11907.659
2.994330752,48654.49972,12243.851
4.644081858,49050.87154,12742.31
7.233061394,49847.92132,13340.018
10.61843197,50897.8508,14058.398
14.31229259,52352.6846,14953.538
18.07708794,53954.84098,15938.023
20.95056692,55270.80213,16655.328
22.71792035,56280.54729,17302.219
24.38965708,57346.88468,18133.016
26.6772677,58913.0531,19208.258
28.95706582,60241.60772,20280.635
31.0210177,61650.60329,20908.982
31.99336283,62518.52088,21328.867
32.07190265,63127.27378,21681.627
