Speed,Actual,Predicted
0,0.0,74.24304
0,208.01599999999996,170.37827
0,295.90599999999995,267.1968
0,433.53099999999995,353.60287
0,577.281,435.1727
0,748.781,515.24493
0,883.9369999999999,594.2779
0,1019.5160000000001,673.3355
0,1143.609,754.03687
0,1300.375,836.96576
0,1381.937,921.8021
0,1499.016,1008.29755
0,1609.672,1096.4403
0,1744.219,1186.0809
0,1831.406,1276.9321
0,1949.422,1368.7982
0,2058.016,1461.58
0,2180.937,1555.1404
0,2265.422,1649.2886
0,2372.813,1743.8433
0,2477.375,1838.6436
0,2596.047,1933.5211
0,2680.297,2028.3019
0,2786.672,2122.831
0,2892.344,2216.9814
0,3015.031,2310.6455
0,3106.891,2403.735
0,3206.828,2496.1863
0,3313.828,2587.9592
0,3434.875,2679.0332
0,3526.266,2769.4023
0,3624.6409999999996,2859.0745
0,3731.125,2948.0696
0,3858.0,3036.4163
0,3938.8280000000004,3124.1482
0,4034.687,3211.3025
0,4137.063,3297.919
0,4252.375,3384.039
0,4331.234,3469.704
0,4432.187,3554.9526
0,4539.547,3639.8213
0,4661.281,3724.3452
0,4743.25,3808.5586
0,4844.781,3892.4915
0,4945.406,3976.1677
0,5061.547,4059.6094
0,5151.078,4142.839
0,5256.437,4225.876
0,5362.281,4308.7324
0,5481.187,4391.414
0,5569.813,4473.9307
0,5666.187,4556.2954
0,5772.063,4638.512
0,5907.25,4720.5723
0,5981.125,4802.471
0,6082.625,4884.2183
0,6185.656,4965.8203
0,6305.516,5047.2593
0,6395.859,5128.5103
0,6500.281,5209.5757
0,6603.141,5290.475
0,6714.156,5371.194
0,6804.906,5451.6743
0,6918.734,5531.888
0,7025.422,5611.8677
0,7141.094,5691.6235
0,7227.375,5771.066
0,7323.125,5850.089
0,7426.313,5928.703
0,7545.531,6006.964
0,7635.313,6084.757
0,7741.266,6161.8184
0,7855.781000000001,6238.042
0,7974.8279999999995,6313.565
0,8171.3279999999995,6388.379
0,8919.422,6462.0757
0,9162.0,6534.2686
0,9276.313,6605.112
0,9376.719,6674.8804
0,9483.953,6743.2095
0,9592.828,6809.512
0,9717.859,6874.3564
0,9801.094,6939.3833
0,9906.516,7005.4414
0,10012.016,7071.974
0,10132.687,7139.1167
0,10352.078,7209.904
0,10910.797,7287.3374
0,10995.516,7371.18
0,11220.25,7459.6567
0,11316.969,7554.303
0,11430.437,7660.296
0,11540.813,7785.3574
0,12006.563,7932.426
3,12598.828,8067.654
4,12713.656,8183.271
5,12997.313,8306.832
6,13339.156,8436.578
7,13435.25,8591.33
7,13634.484,8836.112
9,14054.875,9166.417
11,14459.906,9424.811
11,14715.687,9646.018
12,15106.672,9908.992
13,15508.703,10216.877
14,15945.062999999998,10520.727
15,16340.062999999998,10820.677
17,16869.641,11236.109
19,17613.187,11974.396
22,18605.859,12946.758
23,19210.141,13411.794
23,19544.0,13521.294
23,19775.078,13616.838
23,19958.391,13750.646
23,20156.5,13950.696
24,20740.453,14274.539
25,21146.937,14713.224
26,21590.141,15033.796
26,21955.234,15283.183
27,22361.984,15582.354
27,22739.047,15988.861
28,23340.578,16531.643
29,23739.328,17140.484
30,24248.844,17814.04
31,24931.563,18637.545
33,25785.813,19590.844
34,26330.297,20444.023
35,27134.563,20991.04
35,27450.937,21503.18
35,27671.187,21883.3
35,27790.344,22125.164
34,27951.469,22378.117
35,28593.344,22885.174
36,29230.813,23607.068
36,29375.859,23930.213
35,29487.156,24108.172
34,29612.891,24272.473
34,29804.469,24472.105
34,30098.719,24748.64
34,30567.219,25106.7
35,30938.766,25461.99
35,31251.922,25732.148
35,31412.719,25951.705
35,31673.437,26128.385
35,31922.297,26266.393
34,32076.25,26385.422
34,32192.703,26497.035
33,32362.813000000002,26599.877
33,32537.436999999998,26692.807
32,32718.016000000003,26780.557
31,32835.125,26868.492
31,32971.75,26968.275
30,33111.906,27101.984
30,33560.781,27371.79
31,34275.625,27916.219
32,34621.031,28390.857
31,34794.031,28655.854
32,35491.844,29037.45
33,36226.281,29621.406
34,36686.453,30205.008
35,37156.453,30692.832
35,37477.766,30962.268
34,37575.313,31162.041
34,37704.313,31336.191
33,37832.859,31495.822
32,37995.766,31642.533
31,38095.203,31775.729
30,38214.953,31895.627
28,38328.25,32008.479
29,38535.625,32197.268
29,39007.234,32734.117
30,39768.953,33560.76
31,40095.687,34281.605
31,40335.859,34679.203
32,40537.234,35151.004
33,41159.672,35920.277
34,41884.656,36643.97
35,42203.391,37073.63
35,42479.422,37584.52
36,43124.563,38415.44
38,43997.531,39498.934
39,44553.859,40581.598
40,44964.453,41283.047
41,45586.656,41658.465
41,46007.344,42113.688
42,46420.969,42838.926
43,46881.813,43769.953
44,47637.891,44414.445
44,47909.453,44701.312
43,48076.859,44954.918
43,48225.797,45206.37
43,48403.875,45463.75
42,48583.328,45717.996
42,48796.75,45997.117
42,48983.328,46345.203
42,49310.375,46792.29
43,49762.406,47378.07
43,50306.031,48061.793
44,50702.469,48719.414
44,51133.219,49272.86
45,51517.047,49668.066
45,52036.109,50218.492
46,52491.5,50721.125
46,53164.063,51234.34
47,53741.016,51862.887
47,54358.906,52569.645
48,54705.375,53066.684
47,55027.672,53375.105
47,55214.234,53633.86
46,55418.203,53879.098
45,55570.313,54131.11
45,55742.594,54421.418
45,55983.187,54866.4
45,56774.172,55733.094
47,57605.437,56946.176
48,58343.344,57866.85
48,58967.391,58277.875
49,59583.953,58678.453
48,59947.766,59016.594
