Speed,Actual,Predicted
12,0.0,141.27158
12,248.60899999999674,347.70612
11,553.7339999999967,556.8003
10,758.2649999999849,719.08215
8,1003.0460000000021,854.57544
6,1233.1089999999967,984.3323
5,1430.8589999999967,1133.7588
6,1517.2809999999881,1339.3445
6,1626.3280000000086,1608.8206
7,1816.125,1955.1737
8,2151.796000000002,2388.9575
10,2405.4530000000086,2786.3987
10,2548.3429999999935,3026.8086
10,2659.7339999999967,3229.228
9,2793.4530000000086,3420.8865
8,2896.014999999985,3609.2266
7,3007.2339999999967,3805.9456
7,3118.2179999999935,4018.8416
7,3252.6719999999914,4239.3755
7,3337.530999999988,4448.7935
7,3439.796000000002,4646.895
6,3536.5,4841.2856
6,3641.3589999999967,5037.3315
6,3721.155999999988,5238.27
6,3814.905999999988,5441.078
6,3904.4839999999967,5639.0454
6,4028.9370000000054,5836.4526
5,4176.2179999999935,6047.124
6,4354.75,6289.016
6,4532.9679999999935,6559.823
6,4744.5929999999935,6790.1875
6,4892.187000000005,6974.1465
3,5069.483999999997,7149.3745
0,5247.812000000005,7329.0894
0,5487.7179999999935,7528.399
0,5661.453000000009,7735.3984
0,5874.25,7923.3994
0,6092.062000000005,8111.4326
0,6355.687000000005,8304.062
0,6511.187000000005,8494.607
0,6732.187000000005,8680.527
0,6959.155999999988,8866.089
0,7216.421999999991,9053.774
0,7404.358999999997,9242.909
0,7629.453000000009,9431.382
0,7859.905999999988,9619.169
0,8140.233999999997,9809.154
0,8324.655999999988,10003.337
0,8550.875,10198.869
0,8780.562000000005,10389.653
0,9041.562000000005,10575.817
0,9235.108999999997,10764.446
0,9472.030999999988,10965.514
0,9704.733999999997,11187.993
2,10097.592999999993,11439.259
3,10615.687000000005,11739.533
5,11094.328000000009,12105.201
7,11413.280999999988,12472.972
9,11822.375,12752.97
9,12093.625,12999.313
10,12354.155999999988,13237.558
10,12614.608999999997,13461.537
10,12914.453000000009,13680.643
10,13085.046000000002,13903.209
10,13316.467999999993,14125.186
10,13529.828000000009,14341.203
10,13782.5,14555.748
9,13946.530999999988,14770.99
9,14082.655999999988,14981.527
8,14187.437000000005,15186.562
7,14311.062000000005,15390.489
6,14389.203000000009,15599.219
6,14478.875,15815.73
6,14566.671999999991,16032.512
6,14668.937000000005,16248.573
6,14740.671999999991,16467.541
6,14825.483999999997,16687.383
6,14911.796000000002,16907.21
6,15013.437000000005,17132.54
6,15095.014999999985,17366.412
6,15193.639999999985,17597.553
6,15285.312000000005,17811.295
4,15413.875,18015.734
3,15491.983999999997,18216.709
0,15731.296000000002,18423.25
0,15962.108999999997,18647.11
0,16138.046000000002,18881.512
0,16273.280999999988,19113.986
0,16425.233999999997,19345.398
0,16596.983999999997,19574.924
0,16804.45300000001,19800.21
0,16938.17199999999,20020.904
0,17256.655999999988,20238.875
0,17559.139999999985,20455.854
0,17822.530999999988,20671.742
0,18026.717999999993,20884.621
0,18263.625,21094.404
0,18508.062000000005,21305.045
0,18784.57800000001,21521.559
0,18963.796000000002,21742.85
0,19185.030999999988,21963.785
0,19405.389999999985,22193.02
0,19813.405999999988,22459.762
0,20319.014999999985,22796.848
3,20568.20300000001,23151.625
4,20829.07800000001,23438.367
4,21172.5,23701.71
5,21345.0,23955.516
5,21560.639999999985,24177.72
3,21779.0,24381.4
0,22005.889999999985,24586.604
