Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
23,374.0,684.01404,456.76761,374.0
24,908.625,1401.0856,717.0715600000001,534.625
25,1437.0,2280.1633,879.0777,528.375
27,2032.937999999965,2941.1985,661.0351999999998,595.9379999999651
27,2350.687999999965,3252.9636,311.7651000000001,317.75
27,2700.0620000000345,3536.4197,283.4560999999999,349.3740000000694
27,2884.25,3838.0356,301.61590000000024,184.18799999996554
27,3103.875,4152.6304,314.59479999999985,219.625
27,3259.3120000000345,4436.677,284.04659999999967,155.43700000003446
26,3474.8120000000345,4689.2227,252.54570000000058,215.5
26,3750.875,4943.8413,254.6185999999998,276.06299999996554
26,4228.5,5290.255,346.41370000000006,477.625
27,4951.25,6043.3726,753.1175999999996,722.75
29,6138.8120000000345,7008.1694,964.7968000000001,1187.5620000000345
31,6999.875,7907.91,899.7406000000001,861.0629999999655
32,7854.25,8569.06,661.1499999999996,854.375
33,8342.625,9305.022,735.9620000000014,488.375
33,8848.625,9923.346,618.3239999999987,506.0
33,9214.625,10341.878,418.53200000000106,366.0
33,9605.062000000034,10713.199,371.3209999999999,390.43700000003446
33,9977.25,11131.253,418.0540000000001,372.18799999996554
33,10385.312000000034,11567.511,436.2579999999998,408.06200000003446
32,10656.125,11979.976,412.46500000000015,270.81299999996554
32,11006.75,12372.066,392.09000000000015,350.625
31,11324.937999999966,12732.286,360.21999999999935,318.18799999996554
30,11645.75,13088.845,356.5589999999993,320.81200000003446
30,11908.812000000034,13462.519,373.6740000000009,263.06200000003446
29,12202.437999999966,13806.656,344.1370000000006,293.6259999999311
27,12464.687999999966,14115.42,308.7639999999992,262.25
23,12644.437999999966,14393.989,278.5689999999995,179.75
23,12758.125,14663.415,269.4260000000013,113.68700000003446
22,12926.125,14961.722,298.3069999999989,168.0
23,13354.687999999966,15508.61,546.8880000000008,428.56299999996554
24,13911.5,16216.566,707.9560000000001,556.8120000000345
24,14036.312000000034,16574.062,357.496000000001,124.81200000003446
24,14178.5,16848.27,274.2079999999987,142.18799999996554
23,14340.875,17131.002,282.73199999999997,162.375
24,14701.625,17497.186,366.1840000000011,360.75
24,15027.0,17855.09,357.90399999999863,325.375
24,15179.062000000034,18124.506,269.4160000000011,152.06200000003446
22,15331.312000000034,18352.43,227.92399999999907,152.25
22,15579.937999999966,18632.953,280.52300000000105,248.62599999993108
24,16222.5,19414.498,781.5449999999983,642.5620000000345
26,17193.125,20565.65,1151.1520000000019,970.625
28,18057.5,21593.234,1027.583999999999,864.375
30,18688.75,22378.506,785.2720000000008,631.25
31,19088.5,22967.0,588.4939999999988,399.75
32,19659.68799999997,23624.28,657.2799999999988,571.1879999999692
33,20457.5,24629.2,1004.9200000000019,797.8120000000308
36,21768.062000000034,26159.467,1530.2669999999998,1310.5620000000345
38,22965.93799999997,28893.111,2733.6440000000002,1197.8759999999347
40,24047.43799999997,31048.348,2155.237000000001,1081.5
40,24216.125,31590.053,541.7049999999981,168.68700000003082
40,24418.375,31954.924,364.8709999999992,202.25
39,24554.375,32305.258,350.33400000000256,136.0
39,24781.5,32675.256,369.9979999999996,227.125
39,25022.875,32982.188,306.9320000000007,241.375
38,25284.5,33216.703,234.51499999999942,261.625
38,25498.68799999997,33439.7,222.99699999999575,214.18799999996918
36,25728.18799999997,33670.53,230.83000000000175,229.5
34,25961.0,33886.742,216.21199999999953,232.81200000003082
32,26191.5,34066.402,179.6600000000035,230.5
31,26387.75,34212.555,146.15299999999843,196.25
30,26609.68799999997,34448.527,235.97200000000157,221.93799999996918
31,27021.375,35144.742,696.2149999999965,411.6870000000308
33,27983.25,36000.58,855.8380000000034,961.875
35,28725.625,36878.934,878.3539999999994,742.375
36,29625.68799999997,37619.34,740.4059999999954,900.0629999999692
37,30267.5,38267.223,647.8830000000016,641.8120000000308
39,31443.0,39069.94,802.7170000000042,1175.5
40,32376.0,40100.59,1030.6499999999942,933.0
