Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
0,121.92200000000004,484.60876,121.92200000000004,252.40036
0,272.125,710.01605,150.20299999999997,225.40728999999993
0,558.3910000000001,923.3018,286.2660000000001,213.28575
0,960.547,1132.221,402.15599999999995,208.91920000000005
0,1070.813,1336.8131,110.26600000000008,204.59210000000007
0,1195.297,1534.253,124.48399999999992,197.43989999999985
0,1387.953,1723.958,192.65599999999995,189.70500000000015
0,1680.1099999999997,1913.868,292.1569999999997,189.90999999999985
0,1817.688,2115.6165,137.57800000000043,201.74850000000015
0,2022.313,2319.4905,204.625,203.8739999999998
0,2207.907,2519.153,185.59400000000005,199.6624999999999
0,2614.516,2697.0242,406.6089999999999,177.87120000000004
0,3648.281,2881.2532,1033.7649999999999,184.22900000000027
0,4875.875,3191.321,1227.594,310.0677999999998
0,5814.797,3854.191,938.9219999999996,662.8699999999999
4,6468.11,4612.5107,653.3130000000001,758.3197
5,6563.828,4745.2026,95.71800000000076,132.6918999999998
5,6733.86,4966.5044,170.03199999999924,221.30180000000018
6,7137.875000000001,5224.563,404.01500000000124,258.0586000000003
8,7775.219,5613.382,637.3439999999991,388.8189999999995
8,7889.125000000001,5813.473,113.90600000000086,200.09100000000035
7,7978.11,6018.3594,88.98499999999876,204.88640000000032
7,8144.703,6221.9507,166.59300000000076,203.59130000000005
6,8429.235,6430.006,284.53200000000015,208.0553
6,8684.703000000001,6633.2134,255.46800000000076,203.20739999999932
6,8880.344000000001,6867.882,195.64099999999962,234.66859999999997
7,9093.297,7143.15,212.95299999999952,275.26800000000003
7,9333.062999999998,7457.741,239.7659999999978,314.59100000000035
8,9516.875,7711.785,183.81200000000172,254.04399999999987
9,9727.031,7928.4565,210.15600000000086,216.67150000000038
9,9930.594,8167.982,203.56299999999828,239.52549999999974
9,10183.641,8333.302,253.04700000000048,165.3199999999997
9,10342.516,8517.271,158.875,183.96900000000096
9,10563.172,8724.265,220.65600000000086,206.99399999999878
9,10768.547,8940.75,205.375,216.48500000000058
10,11076.547,9301.213,308.0,360.46299999999974
11,11339.016,9932.181,262.46899999999914,630.9680000000008
13,11650.172,10742.057,311.15600000000086,809.8760000000002
14,11943.062999999998,11404.427,292.8909999999978,662.369999999999
15,12146.578,11809.654,203.51500000000124,405.22700000000077
15,12294.141,12040.6045,147.5630000000001,230.950499999999
16,12494.281,12229.991,200.14000000000124,189.38650000000052
16,12677.187999999998,12356.785,182.90699999999742,126.79399999999987
16,12884.0,12467.221,206.81200000000172,110.4359999999997
15,13039.875,12628.998,155.875,161.77700000000004
15,13224.687999999998,12789.87,184.81299999999828,160.8720000000012
16,13408.094,12979.801,183.40600000000086,189.93099999999868
16,13615.031,13132.972,206.93700000000172,153.17100000000028
16,13806.266,13332.331,191.23499999999876,199.35900000000038
17,14263.797000000002,13594.008,457.5310000000027,261.6769999999997
17,14874.985,13745.824,611.1879999999983,151.8160000000007
17,15605.766,13890.8955,730.780999999999,145.07150000000001
17,16178.172000000002,14076.746,572.4060000000027,185.85049999999865
18,16856.281000000003,14289.3,678.1090000000004,212.5540000000001
18,17608.969,14456.676,752.6879999999983,167.3760000000002
18,18313.016,14633.514,704.0469999999987,176.83799999999974
18,18851.922,14962.91,538.905999999999,329.39600000000064
19,19589.36,15406.725,737.4380000000019,443.8150000000005
19,20223.531000000003,15800.981,634.1710000000021,394.2559999999994
20,20841.203,16148.282,617.6719999999987,347.3009999999995
20,21217.688,16348.611,376.48499999999694,200.32900000000154
20,21365.781000000003,16526.111,148.0930000000044,177.5
20,21529.375,16693.33,163.59399999999732,167.21900000000096
20,21910.344,16885.975,380.96900000000096,192.6449999999968
20,22334.703,17110.293,424.3590000000004,224.31800000000294
20,22598.531000000003,17380.756,263.82800000000134,270.46299999999974
21,22836.719,17661.662,238.18799999999828,280.90599999999904
21,23252.157,17849.873,415.4379999999983,188.21099999999933
20,23397.922,18036.611,145.76499999999942,186.7380000000012
