Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
86,261.0,671.70764,261.0,423.62033999999994
86,974.0,1263.1357,713.0,591.4280600000001
87,2153.0,2062.49,1179.0,799.3542999999997
87,3255.0,2721.5522,1102.0,659.0622000000003
87,3598.0,3155.0852,343.0,433.5329999999999
87,4008.0,3513.5173,410.0,358.4321
87,4551.0,3861.8364,543.0,348.31910000000016
87,4796.0,4155.048,245.0,293.21159999999963
87,4821.0,4307.004,25.0,151.95600000000013
86,4821.0,4347.3237,0.0,40.31970000000001
81,4821.0,4172.866,0.0,58.41820000000007
81,4821.0,4354.64,0.0,181.77400000000034
81,4994.0,4686.4253,173.0,331.78529999999955
81,5471.0,5169.7637,477.0,483.33840000000055
81,6784.0,5965.7607,1313.0,795.9969999999994
82,7858.0,7253.7744,1074.0,1288.0137000000004
83,9357.0,8770.221,1499.0,1516.4465999999993
84,11160.0,10156.386,1803.0,1386.1650000000009
84,11622.0,10587.412,462.0,431.02599999999984
84,11752.0,10681.431,130.0,94.01900000000023
83,11822.0,10709.811,70.0,28.3799999999992
81,11863.0,10779.16,41.0,91.91899999999987
81,12157.0,11072.094,294.0,292.9339999999993
81,12633.0,11692.733,476.0,620.639000000001
82,13545.0,12638.866,912.0,946.1329999999998
82,13808.0,13424.44,263.0,785.5740000000005
82,14201.0,14247.264,393.0,822.8239999999987
83,15320.0,15514.505,1119.0,1267.241
84,16954.0,17025.332,1634.0,1510.8269999999993
85,18248.0,18401.953,1294.0,1376.6210000000028
85,19510.0,19224.068,1262.0,822.114999999998
86,20070.0,19815.152,560.0,591.0839999999989
86,20361.0,20047.64,291.0,232.4880000000012
85,20437.0,20205.787,76.0,158.14700000000084
85,20633.0,20430.916,196.0,225.12900000000081
85,21068.0,21115.678,435.0,684.7619999999988
86,22244.0,22360.48,1176.0,1244.8019999999997
87,23277.0,23955.953,1033.0,1595.4730000000018
88,24803.0,25463.402,1526.0,1507.4489999999969
88,25565.0,26032.88,762.0,569.4780000000028
88,25979.0,26288.271,414.0,255.39099999999962
88,26239.0,26543.883,260.0,255.612000000001
88,26603.0,26926.773,364.0,382.8899999999994
88,27303.0,27584.424,700.0,657.650999999998
89,28369.0,28573.06,1066.0,988.6360000000022
89,29223.0,29645.46,854.0,1072.3999999999978
90,29927.0,30674.72,704.0,1029.260000000002
90,30485.0,31200.04,558.0,525.3199999999997
90,30865.0,31501.07,380.0,301.02999999999884
90,31089.0,31771.934,224.0,270.8640000000014
90,31353.0,32145.574,264.0,373.6399999999994
90,31959.0,32789.723,606.0,644.1489999999976
91,33351.0,33779.56,1392.0,989.8369999999995
91,34681.0,34968.81,1330.0,1189.25
