Speed,Actual,Predicted
0,0.0,177.03096
0,90.21899999999732,324.76123
0,188.54699999999139,457.58704
0,287.68799999999464,594.5233
0,393.75,736.45245
0,486.56299999999464,879.55566
0,587.406999999992,1021.79846
0,689.0310000000027,1163.0055
0,805.2660000000033,1303.5957
0,892.9850000000006,1443.9309
0,996.1410000000033,1584.2416
0,1107.4850000000006,1724.6956
0,1219.5939999999973,1865.4255
0,1317.656999999992,2006.5269
0,1423.2810000000027,2148.0574
0,1529.375,2290.0452
0,1651.8439999999973,2432.4993
0,1749.125,2575.4158
0,1849.6879999999946,2718.783
0,1957.8129999999946,2862.5789
0,2063.156999999992,3006.7676
0,2144.2969999999914,3151.3022
0,2232.0469999999914,3296.1387
0,2317.5160000000033,3441.2417
0,2406.2189999999973,3586.5676
0,2479.625,3732.0527
0,2559.4379999999946,3877.6514
0,2640.25,4023.3804
0,2737.4219999999914,4169.2593
0,2805.9689999999973,4315.193
0,2889.7660000000033,4461.0938
0,2966.6879999999946,4607.3037
0,3083.6100000000006,4754.6816
0,3190.5,4903.7817
0,3308.2350000000006,5054.101
0,3430.9219999999914,5205.2207
0,3593.656999999992,5358.5005
0,3748.6410000000033,5515.0107
0,4061.9219999999914,5672.1504
0,4601.625,5828.744
0,5119.516000000003,6000.466
0,5532.0,6237.721
3,5995.141000000003,6563.2114
4,6528.187999999995,6832.718
5,6981.093999999997,7037.959
6,7225.281000000003,7219.7217
6,7452.562999999995,7385.917
6,7692.5,7551.885
6,7963.766000000003,7726.284
6,8228.766000000003,7917.6387
7,8551.187999999995,8121.125
7,8862.281000000003,8316.247
8,9191.906999999992,8517.833
8,9520.656999999992,8728.82
9,9911.421999999991,8961.314
10,10351.671999999991,9191.989
10,10880.077999999994,9413.029
11,11354.202999999994,9621.76
11,11840.141000000003,9794.699
10,12081.531000000003,9954.706
9,12392.952999999994,10120.723
9,12683.0,10307.256
9,13100.406999999992,10508.663
10,13601.235,10695.408
9,13861.641000000003,10856.686
9,14102.156999999992,11028.197
9,14433.156999999992,11217.58
9,14803.391000000003,11431.336
10,15204.593999999997,11640.16
10,15478.702999999994,11809.591
9,15757.985,11971.379
9,16081.171999999991,12150.959
9,16435.25,12339.732
9,16736.906999999992,12519.575
9,16995.11,12684.653
8,17239.843999999997,12847.058
8,17536.812999999995,13025.619
8,17777.781000000003,13209.118
8,18061.17199999999,13390.385
8,18366.54699999999,13579.373
8,18729.593999999997,13790.2295
9,19021.141000000003,14010.888
9,19271.75,14207.064
9,19499.952999999994,14392.541
9,19724.156999999992,14572.965
9,19920.656999999992,14741.861
8,20118.702999999994,14896.98
8,20337.235,15045.395
6,20585.79699999999,15181.902
5,20773.735,15319.426
4,20982.781000000003,15453.2
3,21178.843999999997,15587.213
3,21386.17199999999,15718.958
2,21561.312999999995,15834.031
2,21800.5,15945.026
0,22068.391000000003,16069.574
1,22346.156999999992,16252.49
2,22548.343999999997,16443.48
2,22795.156999999992,16598.07
2,23045.218999999997,16746.816
3,23333.86,16956.564
3,23556.077999999994,17136.668
3,23816.735,17296.57
3,24085.75,17456.158
3,24399.92199999999,17618.873
3,24643.577999999994,17791.79
3,24908.656999999992,17978.734
4,25188.952999999994,18151.867
3,25484.812999999995,18297.098
2,25738.985,18439.78
0,26001.312999999995,18586.404
0,26273.5,18750.863
