Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
23,374.0,645.4163,339.37415999999996,374.0
24,908.625,1122.9607,477.5444000000001,534.625
25,1437.0,1768.122,645.1613,528.375
27,2032.937999999965,2369.0352,600.9131999999997,595.9379999999651
27,2350.687999999965,2723.1008,354.06560000000036,317.75
27,2700.0620000000345,3017.13,294.02919999999995,349.3740000000694
27,2884.25,3328.3909,311.26089999999976,184.18799999996554
27,3103.875,3625.7466,297.35570000000007,219.625
27,3259.3120000000345,3871.8096,246.0630000000001,155.43700000003446
26,3474.8120000000345,4094.5657,222.75610000000006,215.5
26,3750.875,4353.199,258.6332999999995,276.06299999996554
26,4228.5,4752.59,399.39100000000053,477.625
27,4951.25,5479.1504,726.5604000000003,722.75
29,6138.8120000000345,6567.6357,1088.4852999999994,1187.5620000000345
31,6999.875,7701.646,1134.0103,861.0629999999655
32,7854.25,8472.819,771.1729999999998,854.375
33,8342.625,9004.416,531.5969999999998,488.375
33,8848.625,9459.028,454.612000000001,506.0
33,9214.625,9890.344,431.3159999999989,366.0
33,9605.062000000034,10307.049,416.70500000000175,390.43700000003446
33,9977.25,10694.556,387.5069999999996,372.18799999996554
33,10385.312000000034,11038.666,344.10999999999876,408.06200000003446
32,10656.125,11343.736,305.0700000000015,270.81299999996554
32,11006.75,11625.309,281.5729999999985,350.625
31,11324.937999999966,11890.035,264.72600000000057,318.18799999996554
30,11645.75,12180.545,290.5100000000002,320.81200000003446
30,11908.812000000034,12477.713,297.16799999999967,263.06200000003446
29,12202.437999999966,12718.912,241.19900000000052,293.6259999999311
27,12464.687999999966,12927.7,208.78800000000047,262.25
23,12644.437999999966,13124.44,196.73999999999978,179.75
23,12758.125,13348.181,223.74099999999999,113.68700000003446
22,12926.125,13659.796,311.6149999999998,168.0
23,13354.687999999966,14165.6,505.8040000000001,428.56299999996554
24,13911.5,14694.637,529.0370000000003,556.8120000000345
24,14036.312000000034,15003.827,309.1899999999987,124.81200000003446
24,14178.5,15240.861,237.03400000000147,142.18799999996554
23,14340.875,15542.836,301.97499999999854,162.375
24,14701.625,15950.405,407.5690000000013,360.75
24,15027.0,16263.369,312.96399999999994,325.375
24,15179.062000000034,16469.572,206.20299999999952,152.06200000003446
22,15331.312000000034,16670.37,200.79799999999886,152.25
22,15579.937999999966,17037.434,367.0640000000021,248.62599999993108
24,16222.5,17825.56,788.1260000000002,642.5620000000345
26,17193.125,18971.332,1145.7719999999972,970.625
28,18057.5,20153.627,1182.295000000002,864.375
30,18688.75,20967.848,814.2210000000014,631.25
31,19088.5,21491.193,523.3449999999975,399.75
32,19659.68799999997,22109.34,618.1470000000008,571.1879999999692
33,20457.5,23130.2,1020.8600000000006,797.8120000000308
36,21768.062000000034,24640.393,1510.1929999999993,1310.5620000000345
38,22965.93799999997,26328.684,1688.291000000001,1197.8759999999347
40,24047.43799999997,27557.488,1228.804,1081.5
40,24216.125,28004.686,447.1980000000003,168.68700000003082
40,24418.375,28245.758,241.07200000000012,202.25
39,24554.375,28460.215,214.45699999999852,136.0
39,24781.5,28687.943,227.72799999999916,227.125
39,25022.875,28909.85,221.90699999999924,241.375
38,25284.5,29103.033,193.1830000000009,261.625
38,25498.68799999997,29270.549,167.51599999999962,214.18799999996918
36,25728.18799999997,29419.293,148.74400000000242,229.5
34,25961.0,29565.3,146.0069999999978,232.81200000003082
32,26191.5,29707.195,141.89500000000044,230.5
31,26387.75,29845.436,138.2410000000018,196.25
30,26609.68799999997,30048.8,203.36399999999776,221.93799999996918
31,27021.375,30589.338,540.5380000000005,411.6870000000308
33,27983.25,31523.572,934.2340000000004,961.875
35,28725.625,32447.514,923.9419999999991,742.375
36,29625.68799999997,33060.86,613.3460000000014,900.0629999999692
37,30267.5,33603.76,542.9000000000015,641.8120000000308
39,31443.0,34291.85,688.0899999999965,1175.5
40,32376.0,35168.043,876.1929999999993,933.0
42,33737.125,36385.598,1217.5550000000003,1361.125
44,35165.562000000034,37911.7,1526.101999999999,1428.4370000000345
47,36625.875,39434.555,1522.8550000000032,1460.3129999999655
47,37003.5,40202.867,768.3119999999981,377.625
48,37309.25,40499.75,296.88300000000163,305.75
47,37492.062000000034,40700.703,200.95300000000134,182.81200000003446
47,37523.187999999966,40877.805,177.10199999999895,31.125999999931082
46,37523.187999999966,41041.375,163.5699999999997,0.0
46,37523.187999999966,41208.617,167.24199999999837,0.0
45,37523.187999999966,41373.453,164.83600000000297,0.0
45,37523.187999999966,41531.23,157.77700000000186,0.0
44,37523.187999999966,41675.836,144.60599999999977,0.0
43,37523.187999999966,41821.63,145.7939999999944,0.0
43,37523.187999999966,41978.45,156.8199999999997,0.0
42,37661.937999999966,42210.87,232.42000000000553,138.75
43,38004.375,42746.152,535.2819999999992,342.43700000003446
44,38944.75,43697.613,951.4609999999957,940.375
46,40098.312000000034,44819.97,1122.3570000000036,1153.5620000000345
47,41163.937999999966,45745.004,925.0339999999997,1065.625999999931
48,41618.312000000034,46399.77,654.765999999996,454.3740000000689
49,42068.875,47024.418,624.648000000001,450.56299999996554
