Speed,Actual,Predicted
0.0,0.0,154.73264
0.0,0.0,323.84485
0.0,0.0,493.00037
0.0,0.0,652.3229
0.0,0.0,806.2338
0.0,0.0,959.4039
0.0,0.0,1112.9026
0.0,0.0,1266.1594
0.0,0.0,1418.6985
0.0,0.0,1570.5427
0.0,0.0,1721.926
0.0,0.0,1873.0056
0.0,0.0,2023.8
0.0,0.0,2174.2808
0.0,0.0,2324.4595
0.0,0.0,2474.356
0.0,0.0,2623.884
0.0,0.0,2772.868
0.0,0.0,2921.3176
0.0,28.05586283,3069.679
0.0,502.8454093,3218.5496
0.0,2199.895879,3367.9768
0.0,3902.091261,3517.4568
0.0,5650.745575,3667.496
0.0,6896.563883,3820.4053
0.0,8109.698285,3976.3992
0.0,9223.547152,4131.9937
0.0,10393.04038,4284.0527
0.0,11648.52019,4435.5796
0.0,13189.13136,4625.8203
0.349211836,14536.18128,4978.2354
4.707065819,16068.72207,5549.461
7.030143805,17205.16164,6045.2817
7.955613938,18314.82011,6339.074
8.695035951,18920.93473,6665.8467
11.00076051,20237.47884,7139.999
12.77876106,21614.91911,7633.92
13.57252489,23417.48797,7958.0825
13.6171875,24893.95561,8173.6255
13.3431969,26188.34845,8372.367
13.27668695,27605.09831,8582.349
13.35287611,28984.80241,8808.001
13.42699115,30583.38122,9024.696
13.47856748,31921.46585,9199.835
12.39926715,33029.38772,9344.27
9.748064159,33460.4122,9482.571
6.654867257,34200.82937,9624.219
4.634679204,34978.69856,9766.714
1.531664823,35819.33393,9899.883
0.026548673,36562.46045,10037.312
0.0,37271.10509,10189.396
0.0,37842.12016,10346.945
0.0,38370.88178,10498.97
0.0,38865.62168,10644.753
0.0,39407.42658,10788.104
0.0,39873.28789,10931.494
0.0,40438.22995,11075.392
0.0,40950.65998,11219.424
0.0,41481.37237,11363.225
0.0,42008.47027,11506.717
0.0,42562.09859,11650.091
0.0,43108.04466,11793.618
0.0,43643.05227,11937.441
0.0,44204.56333,12081.665
0.0,44753.64671,12226.949
0.0,45315.81388,12374.881
0.0,45828.90514,12526.622
0.0,46392.33476,12680.862
0.0,46906.67105,12835.491
0.0,47469.97027,12994.129
0.0,47932.37832,13174.466
0.90161781,48262.79231,13408.6455
2.994330752,48654.49972,13738.04
4.644081858,49050.87154,14206.998
7.233061394,49847.92132,14904.336
10.61843197,50897.8508,15899.424
14.31229259,52352.6846,17119.004
18.07708794,53954.84098,18301.258
20.95056692,55270.80213,19153.713
22.71792035,56280.54729,19806.18
24.38965708,57346.88468,20613.174
26.6772677,58913.0531,21731.338
28.95706582,60241.60772,22957.686
31.0210177,61650.60329,23855.012
31.99336283,62518.52088,24283.459
32.07190265,63127.27378,24589.203
31.84955752,63633.81762,24899.328
31.57411504,64114.51632,25216.416
31.30088496,64710.87887,25532.088
31.11456029,65257.30199,25845.16
30.91689712,65913.01881,26158.926
30.7920354,66443.29231,26479.084
30.65203263,67104.94718,26810.547
30.625,67691.67575,27154.701
30.625,68377.30752,27507.564
30.625,68987.77876,27867.262
30.625,69623.71612,28239.03
30.67809735,70249.21834,28627.613
30.85619469,70950.90445,29026.113
30.94358407,71614.09264,29419.695
31.0,72242.08048,29803.883
31.03761062,72927.81886,30186.484
31.10985896,73535.53595,30579.477
31.14988938,74231.31485,30992.08
31.20381637,74827.99157,31413.607
31.25,75493.14076,31788.99
31.12894082,76088.35232,32068.676
30.10723175,76525.93874,32284.736
27.35259956,76701.66496,32478.447
24.75442478,76719.64063,32665.258
21.64180033,76729.74281,32841.906
18.42097622,76963.96322,33002.992
16.06208518,77225.13814,33150.574
13.9663302,77468.79231,33288.734
11.26603982,77640.1698,33422.344
8.331374447,77838.67298,33553.95
4.521086836,78037.18238,33676.125
1.201949668,78310.61186,33788.36
0.024681969,78552.10523,33912.76
0.0,78754.16759,34058.42
0.0,78969.63924,34212.492
0.0,79166.83117,34360.477
0.0,79384.2453,34500.86
0.0,79586.88675,34638.293
0.0,79805.54909,34775.91
0.0,79999.37279,34914.367
0.0,80202.16773,35053.28
0.0,80404.41814,35192.223
0.0,80576.80296,35330.992
0.0,80792.41662,35469.617
0.0,80975.30379,35608.297
0.0,81197.34859,35747.234
0.0,81381.69953,35886.438
0.0,81594.25747,36025.88
0.0,81794.35205,36166.14
0.0,81994.28844,36308.266
0.0,82208.60454,36451.78
0.0,82414.1203,36594.477
0.0,82628.57329,36736.09
0.0,82818.65169,36882.312
0.164477323,83058.38274,37053.97
1.503318584,83352.98783,37316.453
3.168487279,83808.13067,37740.957
6.62963219,84566.56305,38300.914
8.779867257,85475.43238,38820.332
10.73160951,86274.57218,39250.53
12.69365321,87341.04522,39688.566
14.70132743,88201.90072,40190.94
16.49557522,89157.80572,40754.066
18.3803927,90023.99558,41363.17
20.17284292,91026.92091,42011.703
22.09983407,91980.05738,42688.96
23.86144912,93163.9393,43362.41
25.52488938,94107.20617,43999.348
27.08476217,95170.78236,44619.92
28.61946903,96132.05973,45286.883
30.23990597,97238.1297,46058.766
31.82860896,98281.51162,46975.293
33.71059181,99540.00277,48029.54
35.75926438,100886.1081,49116.617
37.50331858,102175.4599,50081.383
38.98748617,103619.1088,50901.266
40.38779038,104870.717,51726.9
41.80565542,106309.7967,52743.434
43.64159292,107731.1181,54074.84
45.61386892,109525.122,55667.49
47.68846792,111130.4046,57242.69
49.15286228,112719.9092,58214.58
49.29728982,113533.1402,58580.31
49.09637721,114179.3211,58860.414
48.7680448,114651.1177,59142.44
48.54646018,115283.9194,59430.996
48.38398783,115925.7996,59729.848
48.28159569,116662.1998,60054.574
48.29639104,117406.4469,60423.668
48.37582965,118181.4295,60835.008
48.45326327,119002.8446,61248.59
48.4940542,119656.3819,61604.617
48.33268805,120354.3868,61874.43
47.76631637,120755.0835,62080.85
46.34015487,120880.2825,62259.73
44.58655973,120881.2031,62432.76
41.73237002,120881.2031,62603.344
38.94821626,120881.2031,62769.277
36.84935011,120881.2031,62927.863
35.28097345,120881.2031,63079.277
34.17685288,121244.9596,63236.156
33.75442478,121773.8182,63428.54
33.79756637,122519.5307,63685.707
33.95167312,123188.7027,64001.957
34.06768529,123887.8476,64334.652
34.31747788,124607.8468,64650.797
34.46591538,125247.9614,64951.055
34.64677821,125980.16,65249.4
34.77931416,126600.7174,65550.73
34.8924917,127311.5801,65856.086
34.98416759,127883.7165,66166.125
35.0282771,128532.0214,66451.63
35.02502765,129132.9683,66665.625
34.62126659,129646.2208,66828.984
31.66046737,129884.6806,66975.16
29.26673119,129964.7544,67116.82
27.07411504,130154.3675,67255.41
24.47801438,130405.1159,67390.29
21.67740597,130564.117,67521.86
18.65251659,130746.4994,67647.98
15.20443861,130900.1135,67764.64
11.09195243,131092.9939,67872.19
8.09056969,131242.8931,67976.81
5.387721239,131428.7665,68076.58
1.881014934,131630.0159,68165.086
0.082204093,131872.021,68252.586
0.0,132096.2767,68363.55
0.0,132330.486,68496.19
0.0,132534.9363,68632.41
0.0,132749.2373,68760.984
0.0,132943.4285,68883.78
0.0,133146.3534,69005.88
0.0,133353.7204,69129.77
0.0,133552.6141,69255.875
0.0,133750.6735,69384.234
0.0,133960.4209,69515.125
0.0,134144.661,69648.79
0.0,134368.2369,69785.6
0.0,134564.5214,69927.305
0.0,134775.6983,70076.77
0.0,134967.207,70232.41
0.0,135186.1787,70386.17
0.0,135374.6774,70534.805
0.0,135590.6706,70685.64
0.0,135788.9672,70867.21
0.984305863,136066.2918,71162.51
3.330959624,136519.7808,71717.15
6.750898783,137282.1269,72629.305
9.915237832,138289.0737,73780.69
13.62368639,139663.7362,74797.055
15.43839878,140526.2588,75259.266
15.37762721,140893.7507,75467.64
14.80123064,141193.0223,75662.3
14.30530973,141497.3219,75872.766
13.9957135,141819.4152,76109.98
13.86946903,142151.5402,76343.5
13.50290376,142454.9079,76530.72
11.35460454,142759.7551,76696.555
6.920146571,142968.2694,76854.18
3.003733407,143216.5065,77001.516
1.135577987,143434.8704,77143.445
0.019081858,143714.0651,77287.84
0.0,143945.8146,77445.44
0.0,144180.4056,77607.83
0.0,144356.3032,77764.09
0.0,144549.5257,77913.36
0.0,144741.8505,78059.42
0.0,144935.4299,78204.84
0.0,145141.2443,78350.21
0.0,145331.6233,78495.28
0.0,145533.19,78639.79
0.0,145721.9694,78783.64
0.0,145923.0275,78926.91
0.0,146131.2286,79069.82
0.0,146320.0979,79212.67
0.0,146534.7309,79355.64
0.0,146712.5897,79498.945
0.0,146943.1943,79643.516
0.0,147130.9968,79791.25
0.0,147344.7535,79942.68
0.0,147538.7064,80094.65
0.0,147753.9223,80244.445
0.0,147946.3075,80396.5
0.02855365,148183.5339,80566.945
1.261061947,148433.078,80811.74
2.771985619,148809.4956,81219.09
5.726769912,149416.1864,81875.77
8.920353982,150387.5152,82769.445
12.10965155,151502.1999,83780.516
15.73326881,152801.1626,84727.54
18.68881361,153974.7176,85444.72
20.10066372,154732.0658,86043.78
21.97345133,155752.0261,86790.38
24.29355642,156940.586,87824.01
26.62506914,158248.341,89046.26
28.95132743,159599.1813,90122.836
30.62479259,160643.7335,90752.17
31.27931416,161409.5561,91126.84
31.39677821,161978.5918,91479.98
31.42270465,162542.9335,91852.43
31.5,163142.5001,92234.56
31.53982301,163741.7147,92614.83
31.69150996,164439.6131,92988.79
31.75,165025.6757,93353.23
31.75,165701.8505,93707.98
31.73561947,166262.5364,94055.86
31.67381084,166861.6668,94401.44
31.62707412,167426.4587,94751.125
31.625,168029.0897,95109.52
31.625,168641.2394,95474.984
31.625,169224.3529,95840.01
31.625,169843.0696,96197.64
31.55862832,170420.2476,96547.8
31.5,170994.4374,96894.43
31.42920354,171537.0839,97237.27
31.25884956,172087.7441,97577.03
31.20996958,172635.4722,97927.15
31.06927544,173195.052,98295.64
30.96978706,173745.1009,98637.875
30.84955752,174321.2876,98899.484
29.46342644,174752.8939,99110.76
26.05731471,174973.152,99299.555
24.05842091,175005.9375,99476.12
22.16710454,175012.349,99643.31
20.35204646,175183.2796,99802.11
18.43667035,175577.77,99953.73
14.98306139,175792.3226,100096.195
10.49854812,175985.0065,100229.41
7.163647677,176152.9917,100358.055
4.564643252,176356.1821,100480.44
1.581512721,176571.0448,100593.31
0.041344027,176824.0762,100714.945
0.0,177054.3746,100856.96
0.0,177288.1684,101009.34
0.0,177499.7287,101157.54
0.0,177716.9038,101298.695
0.0,177925.483,101436.78
0.0,178147.0904,101574.945
0.0,178346.6409,101714.0
0.0,178561.8518,101853.64
0.0,178753.2667,101993.48
0.0,178974.6315,102133.305
0.0,179167.2786,102273.15
0.0,179394.9783,102413.195
0.0,179579.3832,102553.64
0.0,179795.2803,102694.52
0.0,179981.5325,102835.86
0.0,180211.2483,102978.27
0.0,180402.7092,103122.94
0.0,180614.4462,103269.586
0.0,180803.4765,103415.81
0.0,181003.4184,103561.02
0.0,181215.1515,103710.914
0.096238938,181397.9643,103885.516
1.397746128,181693.7344,104130.984
2.894358407,181995.0035,104520.5
5.895810288,182638.745,105105.43
8.623893805,183423.8132,105780.7
10.96792035,184322.8025,106349.31
13.14746958,185221.7165,106752.59
14.10266869,185796.9632,107086.29
14.82591261,186367.0288,107460.32
16.12244192,186962.8256,107977.44
18.14221515,187889.7167,108722.875
20.54134403,188904.7981,109679.625
23.2060979,190106.9523,110702.52
25.5096792,191278.8862,111635.445
27.66330199,192413.4255,112460.51
29.43521847,193469.5884,113299.3
31.25815819,194561.0759,114271.7
33.01292865,195661.6968,115367.95
34.78353153,196898.9945,116449.89
36.37486173,198031.6155,117377.555
37.58490044,199217.0245,118170.22
