Speed,Actual,Predicted
0,0.0,132.44673
0,101.9369999999999,265.81586
0,235.53099999999995,398.01855
0,368.578,530.6903
0,515.781,664.5563
0,630.6399999999999,798.29846
0,749.719,930.39685
0,880.375,1060.6401
0,1028.484,1189.7705
0,1122.359,1318.5527
0,1240.734,1447.5234
0,1359.016,1577.1818
0,1499.594,1708.0653
0,1586.734,1840.6522
0,1701.0,1975.3092
0,1832.609,2112.3538
0,2211.922,2252.1292
0,2318.453,2394.9778
0,2423.0620000000004,2541.0044
0,2528.4060000000004,2689.5637
0,2653.109,2838.7937
0,2736.5620000000004,2986.414
0,2854.0939999999996,3133.505
0,3028.9060000000004,3291.5208
0,3428.047,3489.686
3,3641.5939999999996,3753.566
3,3780.3120000000004,3939.0657
3,3904.4689999999996,4097.078
4,4045.359,4254.414
3,4146.687,4403.0244
3,4471.4220000000005,4568.3545
4,4849.8279999999995,4746.905
4,4958.8279999999995,4912.5234
4,5049.562,5068.9434
4,5189.781000000001,5224.913
4,5413.734,5396.239
5,5733.062,5610.248
6,6014.281000000001,5871.524
7,6314.6720000000005,6165.8643
9,6513.437,6456.917
9,6727.421999999999,6687.3203
10,6873.516,6910.3115
10,7063.562,7122.598
10,7233.593999999999,7344.966
11,7483.609,7584.1724
11,7682.375,7815.6123
12,7922.687,8056.16
12,8185.421999999999,8301.264
13,8507.780999999999,8602.69
13,8695.546999999999,8854.105
13,8872.625,9080.492
13,9048.905999999999,9281.301
13,9166.766,9461.435
13,9260.234,9662.969
13,9442.89,9917.311
14,9618.578,10194.745
14,9829.921999999999,10419.698
14,9964.625,10639.558
15,10114.094,10875.186
15,10251.578,11087.431
15,10410.687,11273.597
15,10497.984,11444.244
15,10617.844,11613.74
16,10726.937,11801.067
16,10854.453,11968.543
16,10944.75,12117.327
16,11049.453,12257.086
16,11153.14,12392.953
15,11322.937,12528.668
15,11398.89,12678.19
14,11505.64,12824.209
13,11613.030999999999,12968.276
11,11740.64,13107.722
10,11821.875,13247.653
9,11924.530999999999,13386.482
8,12029.405999999999,13518.322
5,12151.875,13640.37
4,12233.687,13760.676
0,12328.546999999999,13868.798
0,12433.219,13982.958
0,12549.469,14092.517
0,12643.64,14196.274
0,12754.671999999999,14292.492
0,12858.296999999999,14385.773
0,12964.921999999999,14479.1045
0,13037.375,14572.405
0,13120.094,14665.218
0,13198.0,14757.888
0,13299.655999999999,14850.847
0,13370.14,14944.253
0,13456.734,15038.268
0,13543.780999999999,15133.178
0,13636.828,15229.044
0,13713.796999999999,15325.198
0,13789.64,15420.214
0,13872.516,15513.21
0,13972.625,15607.27
0,14041.859,15714.285
0,14127.171999999999,15850.503
0,14213.078,15990.532
0,14305.25,16121.648
0,14373.609,16253.536
0,14455.969,16383.993
0,14539.296999999999,16514.514
0,14639.437,16645.617
0,14701.233999999999,16775.816
0,14786.828,16903.504
0,14870.344,17028.414
0,14960.656,17151.205
0,15027.922,17272.52
0,15110.422,17392.752
0,15195.094,17512.246
0,15295.890000000001,17631.375
0,15365.953,17750.44
0,15442.547,17869.62
0,15525.672,17989.018
0,15615.890000000001,18108.709
0,15690.203,18228.74
0,15766.687,18349.117
0,15851.124999999998,18469.812
0,15951.687,18590.78
0,16021.531,18711.963
0,16105.812,18833.297
0,16188.594,18954.713
0,16278.249999999998,19076.137
0,16345.483999999999,19197.5
0,16429.812,19318.736
0,16506.625,19439.785
0,16599.187,19560.596
0,16675.625,19681.127
0,16757.906000000003,19801.348
0,16839.562,19921.242
0,16927.984,20040.809
0,16995.797000000002,20160.06
0,17079.547000000002,20279.021
0,17163.953,20397.725
0,17255.937,20516.207
0,17331.390000000003,20634.504
0,17406.078,20752.64
0,17487.969,20870.637
0,17585.656000000003,20988.486
0,17654.516,21106.08
0,17731.687,21223.025
0,17816.312,21338.395
0,17915.234,21450.75
0,17982.094,21559.22
0,18063.266,21666.562
0,18145.172000000002,21783.914
0,18233.687,21927.426
0,18301.609,22073.166
0,18385.094,22204.283
0,18469.016,22336.172
0,18567.016,22466.629
0,18626.516,22597.148
0,18707.953,22728.252
0,18789.781000000003,22858.451
0,18881.062,22986.139
0,18950.156000000003,23111.049
0,19034.781000000003,23233.84
0,19116.109,23355.154
0,19203.359,23475.387
0,19268.562,23594.88
0,19349.859,23714.01
0,19432.859,23833.074
0,19531.578,23952.254
0,19599.437,24071.652
0,19680.703,24191.344
0,19754.25,24311.375
0,19849.062,24431.752
0,19916.719,24552.447
0,19992.0,24673.414
0,20075.125,24794.598
0,20171.156000000003,24915.932
0,20237.422000000002,25037.348
0,20318.0,25158.771
