Speed,Actual,Predicted
23,0.0,290.40955
23,374.0,657.6365
24,908.625,1229.776
25,1437.0,2015.1377
27,2032.9379999999655,2775.9717
27,2350.6879999999655,3196.877
27,2700.0620000000345,3537.2239
27,2884.25,3871.6682
27,3103.875,4203.7646
27,3259.3120000000345,4497.7676
26,3474.8120000000345,4745.8765
26,3750.875,5016.4927
26,4228.5,5430.4907
27,4951.25,6168.276
29,6138.8120000000345,7172.8745
31,6999.875,8201.984
32,7854.25,8927.793
33,8342.625,9444.517
33,8848.625,9868.371
33,9214.625,10267.266
33,9605.062000000034,10663.868
33,9977.25,11045.587
33,10385.312000000034,11372.6
32,10656.125,11637.376
32,11006.75,11875.265
31,11324.937999999966,12085.307
30,11645.75,12295.838
30,11908.812000000034,12522.751
29,12202.437999999966,12741.09
27,12464.687999999966,12948.805
23,12644.437999999966,13148.64
23,12758.125,13365.822
22,12926.125,13682.1
23,13354.687999999966,14237.774
24,13911.5,14783.592
24,14036.312000000034,15122.539
24,14178.5,15393.615
23,14340.875,15664.889
24,14701.625,15987.066
24,15027.0,16288.307
24,15179.062000000034,16516.746
22,15331.312000000034,16707.104
22,15579.937999999966,16981.148
24,16222.5,17611.357
26,17193.125,18484.664
28,18057.5,19464.105
30,18688.75,20334.414
31,19088.5,20936.9
32,19659.687999999966,21515.066
33,20457.5,22045.867
36,21768.062000000034,23153.049
38,22965.937999999966,24356.816
40,24047.437999999966,25285.504
40,24216.125,25513.387
40,24418.375,25685.645
39,24554.375,25829.164
39,24781.5,25971.818
39,25022.875,26119.893
38,25284.5,26269.777
38,25498.687999999966,26420.936
36,25728.187999999966,26557.709
34,25961.0,26683.201
32,26191.5,26789.639
31,26387.75,26881.824
30,26609.687999999966,27059.562
31,27021.375,27596.166
33,27983.25,28474.787
35,28725.625,29480.215
36,29625.687999999966,30308.744
37,30267.5,31009.94
39,31443.0,31843.436
40,32376.0,32774.02
42,33737.125,33981.23
44,35165.562000000034,35430.043
47,36625.875,36954.637
47,37003.5,37508.28
48,37309.25,37836.137
47,37492.062000000034,38077.65
47,37523.187999999966,38283.605
46,37523.187999999966,38470.562
46,37523.187999999966,38669.453
45,37523.187999999966,38872.664
45,37523.187999999966,39077.688
44,37523.187999999966,39256.65
43,37523.187999999966,39415.133
43,37523.187999999966,39573.91
42,37661.937999999966,39828.87
43,38004.375,40444.93
44,38944.75,41388.76
46,40098.312000000034,42469.88
47,41163.937999999966,43350.04
48,41618.312000000034,44027.293
49,42068.875,44687.305
50,42531.937999999966,45423.383
51,43534.062000000034,46284.26
52,44616.875,47333.297
54,45825.25,48627.066
55,46969.375,49796.832
56,47727.062000000034,50705.46
57,48101.875,51439.414
57,48272.875,51711.9
56,48336.125,51984.21
56,48618.312000000034,52276.742
56,48770.187999999966,52576.957
56,48910.812000000034,52887.035
56,49175.375,53220.246
56,49454.187999999966,53583.465
56,49672.812000000034,53964.867
56,49923.687999999966,54317.73
56,50149.812000000034,54588.004
55,50402.125,54776.703
55,50609.687999999966,54922.695
54,50820.75,55019.426
53,51023.812000000034,55092.34
51,51247.75,55156.098
50,51414.25,55221.152
48,51581.25,55289.43
46,51763.437999999966,55370.684
45,51974.875,55474.113
43,52160.562000000034,55605.074
41,52462.937999999966,55767.336
38,52840.312000000034,55947.11
35,53231.875,56135.51
33,53530.25,56327.25
30,53826.562000000034,56519.996
26,54104.125,56714.273
22,54376.062000000034,56904.133
21,54573.625,57090.438
20,54786.312000000034,57314.277
20,55077.75,57687.688
20,55876.937999999966,58272.094
22,56597.75,59110.492
23,57484.75,59946.21
24,58390.687999999966,60658.19
25,58769.25,61167.79
25,58969.062000000034,61547.723
25,59273.937999999966,61903.562
25,59661.0,62279.094
25,60235.437999999966,62718.28
26,60583.0,63214.74
26,60837.437999999966,63645.402
26,61143.562000000034,64012.734
26,61550.375,64339.824
26,61761.187999999966,64619.71
25,61963.5,64846.24
24,62106.687999999966,65045.195
23,62269.812000000034,65224.848
22,62404.937999999966,65391.77
21,62537.25,65547.914
19,62669.25,65661.46
18,62806.375,65778.32
16,62894.0,65893.67
13,62990.187999999966,66013.336
12,63082.375,66136.86
10,63290.187999999966,66252.39
9,63530.625,66375.86
9,63780.312000000034,66580.484
10,64252.625,66971.8
12,65231.937999999966,67530.07
14,65964.18799999997,68199.266
17,67205.375,69101.234
20,68875.5,70260.73
24,70468.5,71566.06
25,71193.25,72078.0
24,71603.43799999997,72353.516
23,72058.68799999997,72601.23
21,72475.875,72831.83
20,72811.0,73062.64
19,73154.06200000003,73294.305
18,73465.93799999997,73523.125
16,73779.81200000003,73743.086
14,74033.75,73959.84
13,74315.25,74186.56
13,74686.125,74449.016
13,75174.875,74739.57
13,75679.125,75105.16
14,76179.75,75748.984
16,76795.43799999997,76872.086
20,78068.625,78554.66
23,79125.81200000003,80463.65
26,80548.81200000003,82148.45
26,80779.875,82516.88
26,81005.125,82777.0
