Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
51,647.0630000000237,1147.4781,647.0630000000237,598.3389000000001
51,1278.3760000000475,1642.7952,631.3130000000237,495.3171
51,1663.9070000000063,2117.8687,385.5309999999588,475.07349999999997
51,2089.5320000000065,2689.614,425.6250000000002,571.7453
52,2629.063000000024,3402.759,539.5310000000177,713.145
52,3559.938000000024,4181.959,930.875,779.1999999999998
53,4382.5,4976.542,822.5619999999758,794.5830000000005
53,5217.876000000048,5722.3086,835.3760000000484,745.7665999999999
54,5940.813000000024,6432.538,722.9369999999753,710.2293999999993
54,6655.063000000024,7042.0986,714.25,609.5606000000007
54,7196.376000000048,7583.6387,541.3130000000247,541.5401000000002
54,7750.0,8097.5664,553.6239999999516,513.9276999999993
54,8280.219000000041,8622.543,530.219000000041,524.9766
54,8858.094000000041,9205.333,577.875,582.7900000000009
54,9523.0,9922.833,664.905999999959,717.5
55,10521.876000000047,10829.39,998.8760000000475,906.5569999999989
56,11520.34400000004,11755.917,998.4679999999917,926.527
56,12365.438000000024,12517.846,845.0939999999846,761.9290000000001
57,12828.126000000047,13216.517,462.68800000002375,698.6710000000003
57,13372.938000000024,13796.32,544.8119999999763,579.8029999999999
57,13974.876000000047,14254.005,601.9380000000237,457.6849999999995
57,14392.376000000047,14602.507,417.5,348.5020000000004
56,14702.532000000008,14951.852,310.15599999996084,349.34500000000116
56,15094.063000000024,15425.032,391.5310000000154,473.1799999999985
57,15946.71900000004,16110.171,852.6560000000154,685.139000000001
57,17033.657000000007,16893.094,1086.9379999999674,782.9230000000007
58,17898.657000000007,17579.824,865.0,686.7299999999996
58,18358.438000000024,18124.793,459.78100000001723,544.969000000001
58,18708.376000000047,18607.707,349.93800000002375,482.91399999999703
58,19041.813000000024,19019.45,333.43699999997625,411.7430000000022
58,19224.188000000024,19349.62,182.375,330.16999999999825
58,19450.438000000024,19628.434,226.25,278.8140000000021
57,19663.563000000024,19918.215,213.125,289.78099999999904
57,20077.626000000047,20286.367,414.06300000002375,368.1519999999982
57,20446.46900000004,20800.473,368.8429999999935,514.1060000000034
58,20920.282000000007,21389.824,473.81299999996554,589.3509999999987
58,21238.188000000024,21800.543,317.90600000001723,410.71900000000096
57,21499.5,22112.76,261.31199999997625,312.2169999999969
57,21688.282000000007,22428.932,188.78200000000652,316.1720000000023
57,21880.657000000007,22768.443,192.375,339.5109999999986
57,22085.21900000004,23118.611,204.56200000003446,350.1680000000015
57,22354.09400000004,23461.021,268.875,342.40999999999985
