Speed,Actual,Predicted
0,0.0,136.72945
0,101.9369999999999,283.4807
0,235.53099999999995,428.01416
0,368.578,572.1144
0,515.781,715.1116
0,630.6399999999999,855.9887
0,749.719,995.35004
0,880.375,1134.5084
0,1028.484,1274.5796
0,1122.359,1416.3375
0,1240.734,1560.3254
0,1359.016,1706.899
0,1499.594,1856.4231
0,1586.734,2009.6011
0,1701.0,2167.302
0,1832.609,2329.7026
0,2211.922,2495.8442
0,2318.453,2665.171
0,2423.0620000000004,2839.21
0,2528.4060000000004,3020.0117
0,2653.109,3206.1565
0,2736.5620000000004,3393.3894
0,2854.0939999999996,3587.5115
0,3028.9060000000004,3807.5483
0,3428.047,4099.0054
3,3641.5939999999996,4454.8696
3,3780.3120000000004,4674.9644
3,3904.4689999999996,4878.0137
4,4045.359,5091.599
3,4146.687,5313.7275
3,4471.4220000000005,5557.828
4,4849.8279999999995,5815.8745
4,4958.8279999999995,6052.5967
4,5049.562,6282.5796
4,5189.781000000001,6522.642
4,5413.734,6787.9023
5,5733.062,7115.234
6,6014.281000000001,7521.9844
7,6314.6720000000005,7987.5327
9,6513.437,8413.471
9,6727.421999999999,8678.523
10,6873.516,8932.369
10,7063.562,9193.632
10,7233.593999999999,9462.838
11,7483.609,9729.473
11,7682.375,9978.369
12,7922.687,10223.468
12,8185.421999999999,10469.154
13,8507.780999999999,10722.138
13,8695.546999999999,10950.795
13,8872.625,11167.93
13,9048.905999999999,11375.735
13,9166.766,11550.087
13,9260.234,11756.048
13,9442.89,12049.726
14,9618.578,12360.154
14,9829.921999999999,12582.262
14,9964.625,12804.485
15,10114.094,13049.807
15,10251.578,13268.0205
15,10410.687,13462.523
15,10497.984,13646.312
15,10617.844,13826.992
16,10726.937,14005.205
16,10854.453,14159.68
16,10944.75,14295.901
16,11049.453,14410.5625
16,11153.14,14506.264
15,11322.937,14598.27
15,11398.89,14690.619
14,11505.64,14775.142
13,11613.030999999999,14852.704
11,11740.64,14932.095
10,11821.875,15017.453
9,11924.530999999999,15109.249
8,12029.405999999999,15205.465
5,12151.875,15305.345
4,12233.687,15409.997
0,12328.546999999999,15517.518
0,12433.219,15637.752
0,12549.469,15772.659
0,12643.64,15896.788
0,12754.671999999999,16005.304
0,12858.296999999999,16109.422
0,12964.921999999999,16211.8955
0,13037.375,16309.335
0,13120.094,16400.205
0,13198.0,16486.002
0,13299.655999999999,16569.006
0,13370.14,16651.176
0,13456.734,16734.594
0,13543.780999999999,16822.055
0,13636.828,16916.422
0,13713.796999999999,17018.7
0,13789.64,17126.713
0,13872.516,17238.107
0,13972.625,17353.748
0,14041.859,17478.168
0,14127.171999999999,17619.361
0,14213.078,17774.271
0,14305.25,17902.29
0,14373.609,18040.074
0,14455.969,18175.26
0,14539.296999999999,18309.748
0,14639.437,18443.357
0,14701.233999999999,18575.03
0,14786.828,18704.963
0,14870.344,18834.002
0,14960.656,18962.744
0,15027.922,19091.336
0,15110.422,19219.746
0,15195.094,19348.064
0,15295.890000000001,19476.58
0,15365.953,19605.691
0,15442.547,19735.766
0,15525.672,19867.04
0,15615.890000000001,19999.584
0,15690.203,20133.324
0,15766.687,20268.092
0,15851.124999999998,20403.684
0,15951.687,20539.906
0,16021.531,20676.61
0,16105.812,20813.7
0,16188.594,20951.133
0,16278.249999999998,21088.906
0,16345.483999999999,21227.033
0,16429.812,21365.533
0,16506.625,21504.422
0,16599.187,21643.693
0,16675.625,21783.297
0,16757.906000000003,21923.133
0,16839.562,22063.088
0,16927.984,22203.072
0,16995.797000000002,22343.002
0,17079.547000000002,22482.758
0,17163.953,22622.258
0,17255.937,22761.592
0,17331.390000000003,22901.033
0,17406.078,23040.816
0,17487.969,23180.959
0,17585.656000000003,23321.44
0,17654.516,23462.492
0,17731.687,23604.334
0,17816.312,23746.338
0,17915.234,23886.762
0,17982.094,24024.473
0,18063.266,24160.018
0,18145.172000000002,24294.314
0,18233.687,24430.451
0,18301.609,24572.193
0,18385.094,24700.21
0,18469.016,24837.996
0,18567.016,24973.182
0,18626.516,25107.67
0,18707.953,25241.28
0,18789.781000000003,25372.951
0,18881.062,25502.885
0,18950.156000000003,25631.924
0,19034.781000000003,25760.666
0,19116.109,25889.258
0,19203.359,26017.668
0,19268.562,26145.986
0,19349.859,26274.502
0,19432.859,26403.613
0,19531.578,26533.688
0,19599.437,26664.96
0,19680.703,26797.506
0,19754.25,26931.246
0,19849.062,27066.014
0,19916.719,27201.605
0,19992.0,27337.828
0,20075.125,27474.531
0,20171.156000000003,27611.621
0,20237.422000000002,27749.055
0,20318.0,27886.828
0,20391.859,28024.955
0,20488.953,28163.455
0,20556.984,28302.344
0,20640.875,28441.615
0,20724.0,28581.219
0,20819.969,28721.055
0,20878.890000000003,28861.01
0,20959.640000000003,29000.994
0,21041.516,29140.924
0,21146.625,29280.68
0,21206.937,29420.18
0,21281.734,29559.514
0,21363.156000000003,29698.955
0,21458.078,29838.738
0,21525.140000000003,29978.88
0,21607.859,30119.361
0,21683.219,30260.414
0,21773.547000000002,30402.256
0,21847.109,30544.26
0,21928.0,30684.684
0,22000.359,30822.395
0,22087.531000000003,30957.94
0,22161.672000000002,31092.236
0,22244.062,31228.373
0,22326.344,31370.115
0,22415.5,31498.133
0,22481.031000000003,31635.918
0,22561.328,31771.104
0,22641.390000000003,31905.592
0,22731.375,32039.201
0,22798.953,32170.873
0,22881.922000000002,32300.807
0,22965.5,32429.846
0,23054.5,32558.588
0,23127.344,32687.18
0,23199.812,32815.59
0,23279.031000000003,32943.91
0,23367.062,33072.426
0,23441.437,33201.54
0,23516.375,33331.613
0,23599.531000000003,33462.887
0,23688.969,33595.43
0,23762.016,33729.168
0,23841.812,33863.934
0,23921.406000000003,33999.523
0,24008.890000000003,34135.746
0,24075.75,34272.45
0,24157.906000000003,34409.54
0,24240.687,34546.973
0,24330.703,34684.746
0,24404.140000000003,34822.875
0,24484.172000000002,34961.375
0,24556.687,35100.266
0,24644.187,35239.54
0,24718.797000000002,35379.145
0,24801.5,35518.98
0,24884.062,35658.938
0,24964.078,35798.92
0,25037.203,35938.85
0,25117.078,36078.61
0,25197.828,36218.11
0,25296.297000000002,36357.445
0,25363.969,36496.887
0,25437.719,36636.67
0,25518.094,36776.812
0,25605.531000000003,36917.293
0,25678.359,37058.344
0,25752.719,37200.188
0,25835.016,37342.19
0,25925.484,37482.613
0,25998.797000000002,37620.324
0,26079.0,37755.867
0,26159.109,37890.164
0,26239.766,38026.3
0,26314.328,38168.043
0,26396.547000000002,38296.06
0,26477.953,38433.844
0,26565.703,38569.027
0,26638.578,38703.516
0,26713.031000000003,38837.125
0,26795.422000000002,38968.797
0,26884.766,39098.73
0,26958.219,39227.77
0,27038.187,39356.51
0,27110.062,39485.1
0,27205.953,39613.51
0,27272.156000000003,39741.832
0,27354.625,39870.348
0,27430.484,39999.46
0,27521.094,40129.535
0,27594.625,40260.81
0,27674.359,40393.35
0,27753.656000000003,40527.09
0,27840.766,40661.855
0,27907.203,40797.445
0,27989.187,40933.668
0,28071.734,41070.37
0,28161.625,41207.46
0,28235.219,41344.895
0,28308.047000000002,41482.668
0,28388.203,41620.797
0,28477.344,41759.297
0,28552.437,41898.188
0,28635.578,42037.46
0,28711.375,42177.066
0,28799.484,42316.902
0,28873.281000000003,42456.86
0,28952.844,42596.844
0,29032.594,42736.773
0,29121.203,42876.53
0,29187.984,43016.03
0,29270.187,43155.367
0,29350.609,43294.81
0,29437.797000000002,43434.594
0,29510.328,43574.734
0,29591.906000000003,43715.215
0,29666.219,43856.266
0,29756.687,43998.11
0,29832.328,44140.113
0,29913.390000000003,44280.535
0,29994.016,44418.246
0,30080.687,44553.79
0,30145.5,44688.086
0,30226.797000000002,44824.223
0,30308.75,44965.965
0,30398.906000000003,45093.98
0,30473.937,45231.766
0,30555.0,45366.95
0,30627.390000000003,45501.438
0,30714.219,45635.047
