Speed,Actual,Predicted
23,0.0,403.7408
23,374.0,855.9923
24,908.625,1526.7924
25,1437.0,2455.6035
27,2032.9379999999655,3354.306
27,2350.6879999999655,3765.7344
27,2700.0620000000345,4130.9297
27,2884.25,4504.09
27,3103.875,4860.25
27,3259.3120000000345,5185.6895
26,3474.8120000000345,5491.239
26,3750.875,5821.8647
26,4228.5,6269.9375
27,4951.25,7087.084
29,6138.8120000000345,8191.563
31,6999.875,9360.736
32,7854.25,10265.291
33,8342.625,10886.297
33,8848.625,11429.223
33,9214.625,11901.946
33,9605.062000000034,12327.34
33,9977.25,12734.234
33,10385.312000000034,13120.686
32,10656.125,13472.469
32,11006.75,13791.585
31,11324.937999999966,14085.116
30,11645.75,14383.948
30,11908.812000000034,14685.526
29,12202.437999999966,14947.746
27,12464.687999999966,15135.604
23,12644.437999999966,15296.3955
23,12758.125,15474.119
22,12926.125,15737.53
23,13354.687999999966,16271.57
24,13911.5,16896.965
24,14036.312000000034,17213.002
24,14178.5,17463.154
23,14340.875,17747.57
24,14701.625,18115.363
24,15027.0,18472.271
24,15179.062000000034,18717.002
22,15331.312000000034,18929.018
22,15579.937999999966,19247.898
24,16222.5,19967.545
26,17193.125,20835.676
28,18057.5,21801.424
30,18688.75,22733.848
31,19088.5,23397.314
32,19659.687999999966,23989.105
33,20457.5,24484.723
36,21768.062000000034,25203.166
38,22965.937999999966,26135.53
40,24047.437999999966,27077.957
40,24216.125,27409.041
40,24418.375,27527.076
39,24554.375,27599.066
39,24781.5,27665.127
39,25022.875,27736.979
38,25284.5,27812.488
38,25498.687999999966,27895.508
36,25728.187999999966,27985.174
34,25961.0,28067.164
32,26191.5,28132.46
31,26387.75,28181.232
30,26609.687999999966,28273.824
31,27021.375,28773.705
33,27983.25,29578.65
35,28725.625,30411.61
36,29625.687999999966,31103.418
37,30267.5,31845.66
39,31443.0,32687.932
40,32376.0,33466.707
42,33737.125,34391.273
44,35165.562000000034,35431.637
47,36625.875,36517.945
47,37003.5,36965.344
48,37309.25,37214.27
47,37492.062000000034,37396.13
47,37523.187999999966,37539.8
46,37523.187999999966,37658.535
46,37523.187999999966,37767.504
45,37523.187999999966,37869.953
45,37523.187999999966,37962.42
44,37523.187999999966,38041.33
43,37523.187999999966,38105.8
43,37523.187999999966,38180.57
42,37661.937999999966,38342.39
43,38004.375,38875.37
44,38944.75,39858.695
46,40098.312000000034,40946.242
47,41163.937999999966,41659.543
48,41618.312000000034,42113.07
49,42068.875,42614.473
50,42531.937999999966,43213.383
51,43534.062000000034,43923.703
52,44616.875,44824.406
54,45825.25,45912.84
55,46969.375,46942.54
56,47727.062000000034,47913.688
57,48101.875,48639.016
57,48272.875,49013.39
56,48336.125,49349.27
56,48618.312000000034,49773.664
56,48770.187999999966,50103.98
56,48910.812000000034,50312.707
56,49175.375,50528.234
56,49454.187999999966,50778.168
56,49672.812000000034,51064.105
56,49923.687999999966,51336.004
56,50149.812000000034,51535.996
55,50402.125,51692.34
55,50609.687999999966,51825.387
54,50820.75,51942.14
53,51023.812000000034,52049.453
51,51247.75,52152.44
50,51414.25,52252.83
48,51581.25,52368.773
46,51763.437999999966,52498.57
45,51974.875,52639.312
43,52160.562000000034,52801.363
41,52462.937999999966,52987.082
38,52840.312000000034,53194.727
35,53231.875,53407.062
33,53530.25,53614.02
30,53826.562000000034,53825.86
26,54104.125,54035.137
22,54376.062000000034,54235.54
21,54573.625,54416.996
20,54786.312000000034,54596.01
20,55077.75,54847.23
20,55876.937999999966,55410.21
22,56597.75,56258.625
23,57484.75,57043.656
24,58390.687999999966,57670.83
25,58769.25,58155.004
25,58969.062000000034,58549.043
25,59273.937999999966,58909.08
25,59661.0,59275.54
25,60235.437999999966,59712.344
26,60583.0,60217.47
26,60837.437999999966,60638.97
26,61143.562000000034,61028.38
26,61550.375,61392.99
26,61761.187999999966,61693.53
25,61963.5,61932.484
24,62106.687999999966,62137.938
23,62269.812000000034,62318.258
22,62404.937999999966,62475.414
21,62537.25,62617.29
19,62669.25,62760.684
18,62806.375,62922.574
16,62894.0,63070.984
13,62990.187999999966,63229.605
12,63082.375,63383.562
10,63290.187999999966,63530.152
9,63530.625,63673.52
9,63780.312000000034,63861.19
10,64252.625,64339.93
12,65231.937999999966,65100.52
14,65964.18799999997,65947.25
17,67205.375,67006.91
20,68875.5,68314.87
24,70468.5,69648.195
25,71193.25,70216.65
24,71603.43799999997,70570.56
23,72058.68799999997,70869.4
21,72475.875,71133.54
20,72811.0,71402.4
19,73154.06200000003,71682.12
18,73465.93799999997,71952.984
16,73779.81200000003,72200.03
14,74033.75,72418.32
13,74315.25,72604.64
13,74686.125,72764.47
13,75174.875,72909.69
13,75679.125,73114.81
14,76179.75,73601.555
16,76795.43799999997,74441.69
20,78068.625,75690.66
23,79125.81200000003,77100.4
26,80548.81200000003,78196.96
26,80779.875,78337.195
26,81005.125,78657.6
26,81239.125,79156.03
27,81910.68799999997,80037.99
29,82675.125,80988.97
30,83428.5,81728.1
31,83958.56200000003,82237.19
31,84097.0,82557.766
30,84244.5,82809.695
29,84377.68799999997,83022.805
29,84472.0,83208.164
27,84577.31200000003,83372.67
26,84670.25,83521.695
23,84777.56200000003,83668.82
21,84848.0,83810.4
21,84931.5,83935.2
20,85016.875,84051.84
18,85116.25,84168.1
16,85193.56200000003,84285.65
13,85283.18799999997,84381.59
9,85375.875,84469.92
6,85505.125,84575.37
3,85663.5,84683.88
0,85877.68799999997,84780.805
0,86095.93799999997,84871.734
0,86341.68799999997,84958.04
0,86537.625,85032.516
0,86738.625,85095.85
0,86953.0,85152.57
0,87218.0,85206.06
0,87383.625,85258.875
0,87598.25,85313.3
0,87798.625,85370.99
0,88015.5,85432.75
0,88191.56200000003,85498.695
0,88381.25,85568.63
0,88552.125,85642.35
0,88741.75,85719.7
0,88883.5,85800.62
0,89023.75,85885.06
0,89161.06200000003,85973.0
0,89308.75,86064.28
0,89432.56200000003,86158.61
0,89570.75,86255.59
0,89714.125,86354.64
0,89866.18799999997,86455.25
0,89991.75,86557.7
0,90131.875,86663.3
0,90269.375,86771.72
0,90423.56200000003,86876.625
0,90799.0,86984.06
0,91293.375,87120.484
0,91531.125,87366.27
3,91743.56200000003,87654.09
3,91965.68799999997,87759.07
3,92143.625,87909.08
4,92320.0,88174.836
6,92635.31200000003,88556.56
8,92923.06200000003,88938.914
10,93401.5,89403.31
13,93984.75,90064.016
16,94801.56200000003,90813.78
17,94958.31200000003,90996.234
17,95090.0,91145.38
17,95236.0,91391.4
19,95809.625,91826.99
20,96263.375,92283.2
21,96560.68799999997,92659.38
22,96778.875,92928.98
21,96930.625,93225.69
21,97071.18799999997,93532.79
20,97215.68799999997,93811.914
18,97341.5,94069.086
15,97480.93799999997,94306.47
13,97560.06200000003,94523.59
11,97655.75,94722.984
10,97737.375,94917.32
11,97862.75,95165.3
11,98014.56200000003,95597.875
13,98478.93799999997,96267.52
15,99045.06200000003,96947.58
16,99658.25,97442.83
17,100170.0,97821.07
18,100835.75,98277.44
19,101577.75,98920.47
21,102663.31200000003,99751.56
22,103221.18799999997,100403.59
19,103393.68799999997,100824.67
17,103595.06200000003,101164.9
8,103809.43799999997,101462.484
5,103993.75,101729.45
4,104206.75,101969.44
3,104410.18799999997,102215.95
3,104844.5,102697.555
5,105543.25,103614.8
9,106217.375,104815.58
11,106573.31200000003,105762.71
12,107102.18799999997,106385.25
14,107647.75,107117.12
15,108106.75,107823.37
16,108592.0,108358.93
17,109146.0,108742.08
17,109514.875,109108.79
18,110062.375,109594.85
19,110707.81200000003,110092.08
19,111255.625,110403.1
18,111547.06200000003,110611.09
19,111901.375,110829.78
19,112352.56200000003,111188.84
21,113145.56200000003,111915.48
23,113856.75,112715.234
25,114380.375,113420.266
26,114901.625,113868.82
27,115501.68799999997,114312.81
28,115985.56200000003,114710.58
28,116398.31200000003,114981.52
28,116698.0,115181.49
27,116925.25,115364.33
27,117095.625,115580.586
26,117299.68799999997,115757.39
25,117519.06200000003,115915.15
24,117758.93799999997,116082.336
24,117929.0,116260.63
22,118089.43799999997,116445.61
21,118220.125,116635.6
18,118371.375,116829.94
17,118456.68799999997,117026.35
15,118571.75,117218.74
13,118681.25,117394.83
11,118794.56200000003,117551.49
9,118875.125,117705.31
8,119060.75,117957.484
10,119443.81200000003,118665.484
14,120210.68799999997,119650.055
15,120559.06200000003,120430.96
17,121027.43799999997,121095.69
19,121740.68799999997,121836.41
20,122906.875,122808.19
23,124006.375,123995.734
25,125001.31200000003,124825.1
24,125354.31200000003,125208.3
24,125793.06200000003,125596.69
24,126069.125,126115.125
26,126723.31200000003,126931.69
27,127727.56200000003,127794.04
29,128793.25,128706.91
31,129371.56200000003,129473.11
31,129851.81200000003,129978.12
32,130341.125,130475.28
32,130936.93799999997,130887.83
32,131275.875,131233.3
32,131727.81200000003,131556.86
32,132149.25,131881.94
32,132641.68799999997,132211.5
32,132970.5,132543.86
32,133369.25,132881.38
32,133761.25,133221.39
32,134172.56200000003,133548.6
32,134506.125,133848.4
31,134762.625,134122.88
31,134958.81200000003,134383.69
30,135170.06200000003,134632.8
29,135314.18799999997,134866.4
28,135482.75,135077.72
26,135647.93799999997,135262.3
24,135799.31200000003,135441.58
23,135927.0,135634.83
23,136196.875,135905.11
24,136716.56200000003,136317.38
26,137360.43799999997,136735.61
27,137737.68799999997,137187.33
27,138105.125,137555.62
27,138349.18799999997,137889.73
27,138638.25,138230.5
27,138870.5,138584.19
27,139142.125,138945.36
27,139420.125,139309.27
27,139753.06200000003,139672.47
27,139993.875,140029.22
27,140285.18799999997,140373.83
27,140572.18799999997,140706.3
27,140937.5,141029.69
27,141146.18799999997,141341.05
27,141414.875,141632.39
27,141682.43799999997,141907.33
27,141984.81200000003,142185.83
27,142332.31200000003,142482.55
28,142760.75,142771.98
28,143147.375,143006.78
27,143516.06200000003,143205.55
27,143770.43799999997,143396.92
26,144070.25,143591.5
25,144357.875,143789.78
22,144659.125,143978.75
20,144864.0,144163.47
19,145088.625,144350.14
18,145287.43799999997,144533.17
16,145510.125,144701.33
16,145639.68799999997,144861.45
15,145822.06200000003,145053.89
16,146043.93799999997,145521.66
18,146436.56200000003,146215.62
19,146744.125,146732.19
20,147033.25,147069.47
21,147319.0,147487.58
22,147679.06200000003,148006.78
23,147914.18799999997,148469.89
24,148221.125,148845.92
24,148500.43799999997,149241.31
25,148844.93799999997,149689.55
26,149074.06200000003,150104.47
26,149341.06200000003,150498.77
27,149618.31200000003,150924.62
28,149947.06200000003,151305.31
28,150149.875,151600.23
28,150339.75,151855.38
28,150506.0,152103.08
28,150684.375,152353.83
28,150826.875,152608.16
28,150975.375,152980.73
28,151121.43799999997,153325.4
27,151284.125,153647.75
27,151376.31200000003,154001.9
27,151493.75,154376.95
27,151607.75,154723.44
26,151733.56200000003,155024.48
25,151824.43799999997,155298.34
24,151930.68799999997,155557.83
23,152037.125,155809.45
23,152151.25,156059.31
22,152251.06200000003,156313.47
22,152366.875,156632.34
22,152520.375,157166.33
24,152874.5,157913.88
24,153160.43799999997,158415.81
25,153363.375,158837.0
25,153541.125,159286.17
26,153743.625,159741.19
26,153920.5,160159.61
26,154118.93799999997,160621.72
27,154328.75,161150.05
28,154540.31200000003,161613.3
27,154711.875,161974.23
27,154887.93799999997,162318.38
27,155079.25,162666.72
27,155412.06200000003,163024.69
27,155659.0,163407.81
27,155936.125,163837.77
28,156235.18799999997,164308.4
28,156604.18799999997,164764.75
28,156900.625,165220.39
29,157239.875,165682.73
29,157586.56200000003,166132.44
29,157935.43799999997,166587.8
30,158232.31200000003,167024.27
30,158523.25,167383.36
29,158810.18799999997,167697.23
29,159130.875,167997.42
29,159368.56200000003,168275.4
28,159656.75,168530.23
27,159923.375,168780.58
27,160221.875,169031.44
26,160446.5,169271.22
24,160691.75,169490.77
22,160917.125,169692.47
20,161148.0,169878.31
18,161321.5,170051.39
17,161489.375,170219.02
16,161606.25,170399.5
15,161718.06200000003,170576.8
15,161806.625,170690.23
15,161899.125,170827.78
16,162039.125,171199.62
18,162739.06200000003,171906.19
20,163305.06200000003,172767.3
23,164040.875,173765.42
25,164978.875,174805.16
28,166261.125,175943.11
30,167026.0,177055.05
33,168058.25,178219.9
35,169217.56200000003,179330.34
37,169977.06200000003,180245.7
37,170116.31200000003,180638.7
37,170294.31200000003,180886.72
37,170441.93799999997,181144.62
37,170736.875,181490.2
38,171127.56200000003,181978.42
39,171560.81200000003,182439.06
39,171855.5,182794.17
40,172237.375,183155.16
40,172527.81200000003,183521.83
41,172861.375,183896.75
41,173201.375,184253.64
42,173540.625,184589.48
42,173825.0,184897.61
42,174135.5,185202.86
43,174560.75,185522.27
43,175103.68799999997,185868.89
44,175569.31200000003,186243.8
45,176064.625,186597.62
45,176435.0,186904.53
45,176795.25,187220.23
45,177178.375,187579.3
46,177748.25,187979.34
47,178365.75,188388.67
47,178769.75,188766.67
48,179036.06200000003,189103.77
47,179361.56200000003,189369.6
48,179713.5,189573.47
46,180076.125,189735.48
44,180338.875,189870.0
42,180625.0,189989.97
39,180891.06200000003,190101.86
37,181158.125,190206.89
37,181369.06200000003,190313.39
36,181611.75,190447.33
37,181901.875,190812.77
38,182676.68799999997,191536.17
40,183521.68799999997,192332.4
41,184327.25,192872.52
43,184948.75,193488.05
43,185326.31200000003,193980.36
44,185567.125,194427.94
44,185844.0,194870.4
45,186055.5,195312.3
45,186239.81200000003,195708.81
45,186388.875,196069.1
45,186581.25,196412.03
45,186748.56200000003,196743.12
45,186931.43799999997,197055.38
45,187070.625,197341.84
44,187233.0,197604.0
44,187375.375,197847.98
43,187521.375,198081.3
43,187631.43799999997,198306.9
42,187751.75,198527.56
42,187861.75,198744.7
42,188057.875,198961.62
41,188309.5,199182.73
42,188684.25,199467.39
42,189206.93799999997,199853.78
43,189633.875,200308.42
43,189846.875,200647.12
43,190022.0,200891.83
42,190193.06200000003,201093.62
41,190375.0,201281.23
40,190522.375,201468.23
38,190800.93799999997,201653.62
37,191103.0,201837.2
35,191396.0,202012.16
32,191641.625,202170.02
30,191884.75,202318.4
30,192095.75,202466.12
29,192354.93799999997,202628.02
30,192584.125,202859.94
30,192935.06200000003,203221.34
31,193324.43799999997,203785.77
32,193680.56200000003,204298.69
32,193902.25,204545.17
32,194161.25,204745.06
30,194427.25,204943.42
27,194726.81200000003,205140.23
25,194962.31200000003,205333.28
23,195228.25,205518.6
23,195484.56200000003,205700.39
22,195765.25,205902.17
23,196163.125,206292.42
24,196924.75,206951.25
25,197496.875,207545.64
26,197876.375,207943.45
26,198138.68799999997,208318.64
25,198435.81200000003,208654.5
25,198599.0,208972.58
24,198804.93799999997,209282.08
24,198935.43799999997,209609.81
24,199136.18799999997,209997.03
25,199361.875,210452.84
25,199623.625,210830.77
25,199805.81200000003,211125.89
24,199975.875,211409.72
24,200144.0,211803.77
25,200463.25,212599.14
27,201204.5,213651.03
29,201802.875,214762.95
30,202245.375,216017.36
33,202888.31200000003,217529.33
34,203290.875,218574.81
35,203587.875,219270.3
35,203921.75,219803.48
36,204190.81200000003,220148.12
35,204321.5,220367.28
34,204460.93799999997,220591.34
35,204589.75,220904.89
35,204745.18799999997,221307.56
36,204882.06200000003,221742.81
36,205062.81200000003,222199.72
37,205250.68799999997,222772.92
38,205453.56200000003,223405.12
39,205590.31200000003,223977.08
39,205767.81200000003,224481.08
40,206040.06200000003,224915.58
40,206379.06200000003,225262.33
40,206625.0,225559.5
40,206898.125,225825.92
40,207168.81200000003,226065.02
39,207459.875,226296.4
39,207696.875,226549.86
39,207927.875,226844.44
40,208177.375,227166.88
40,208442.125,227450.8
40,208669.68799999997,227659.38
39,208915.68799999997,227823.06
38,209151.625,227996.73
38,209419.06200000003,228214.36
39,209633.68799999997,228554.36
40,209871.93799999997,228941.16
40,210120.125,229277.81
41,210391.75,229692.61
42,210613.93799999997,230089.28
