Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
23,374.0,555.656,409.19142999999997,374.0
24,908.625,1187.1356,631.4796000000001,534.625
25,1437.0,1887.3308,700.1951999999999,528.375
27,2032.937999999965,2456.855,569.5242000000001,595.9379999999651
27,2350.687999999965,2782.868,326.0129999999999,317.75
27,2700.0620000000345,3052.3975,269.5295000000001,349.3740000000694
27,2884.25,3321.7856,269.3881000000001,184.18799999996554
27,3103.875,3586.5693,264.78369999999995,219.625
27,3259.3120000000345,3825.277,238.70769999999993,155.43700000003446
26,3474.8120000000345,4035.1887,209.9117000000001,215.5
26,3750.875,4274.164,238.9752999999996,276.06299999996554
26,4228.5,4671.9126,397.7485999999999,477.625
27,4951.25,5404.1836,732.2710000000006,722.75
29,6138.8120000000345,6454.0596,1049.8759999999993,1187.5620000000345
31,6999.875,7483.6714,1029.6118000000006,861.0629999999655
32,7854.25,8201.906,718.2346000000007,854.375
33,8342.625,8693.718,491.8119999999999,488.375
33,8848.625,9109.663,415.9449999999997,506.0
33,9214.625,9511.898,402.23499999999876,366.0
33,9605.062000000034,9904.772,392.8740000000016,390.43700000003446
33,9977.25,10268.325,363.5529999999999,372.18799999996554
33,10385.312000000034,10579.862,311.53699999999844,408.06200000003446
32,10656.125,10844.141,264.27900000000045,270.81299999996554
32,11006.75,11088.818,244.67699999999968,350.625
31,11324.937999999966,11316.323,227.50500000000102,318.18799999996554
30,11645.75,11559.718,243.39500000000044,320.81200000003446
30,11908.812000000034,11810.865,251.14699999999903,263.06200000003446
29,12202.437999999966,12031.074,220.20900000000074,293.6259999999311
27,12464.687999999966,12257.532,226.45799999999872,262.25
23,12644.437999999966,12466.621,209.08899999999994,179.75
23,12758.125,12681.257,214.63600000000042,113.68700000003446
22,12926.125,12984.928,303.6710000000003,168.0
23,13354.687999999966,13487.425,502.4969999999994,428.56299999996554
24,13911.5,14002.513,515.0880000000016,556.8120000000345
24,14036.312000000034,14342.214,339.7009999999991,124.81200000003446
24,14178.5,14608.546,266.33200000000033,142.18799999996554
23,14340.875,14888.333,279.78700000000026,162.375
24,14701.625,15252.763,364.4300000000003,360.75
24,15027.0,15562.87,310.10699999999997,325.375
24,15179.062000000034,15804.525,241.65499999999884,152.06200000003446
22,15331.312000000034,15994.326,189.80099999999948,152.25
