Speed,Actual,Predicted
0.0,0.0,122.878456
0.0,0.0,242.56201
0.0,0.0,370.10208
0.0,0.0,510.47568
0.0,0.0,661.65515
0.0,0.0,818.0469
0.0,0.0,975.84924
0.0,0.0,1134.7273
0.0,0.0,1295.663
0.0,0.0,1458.8977
0.0,0.0,1623.6726
0.0,0.0,1789.05
0.0,0.0,1954.6398
0.0,0.0,2120.6216
0.0,0.0,2287.3142
0.0,0.0,2454.851
0.0,0.0,2623.1929
0.0,0.0,2792.2878
0.0,0.0,2962.095
0.0,28.05586283,3132.4456
0.0,502.8454093,3303.0479
0.0,2199.895879,3473.9807
0.0,3902.091261,3646.5198
0.0,5650.745575,3823.2625
0.0,6896.563883,4006.0618
0.0,8109.698285,4191.719
0.0,9223.547152,4370.198
0.0,10393.04038,4533.4497
0.0,11648.52019,4694.9224
0.0,13189.13136,4916.354
0.349211836,14536.18128,5323.1685
4.707065819,16068.72207,5935.316
7.030143805,17205.16164,6469.4155
7.955613938,18314.82011,6825.878
8.695035951,18920.93473,7174.742
11.00076051,20237.47884,7627.121
12.77876106,21614.91911,8099.9883
13.57252489,23417.48797,8446.718
13.6171875,24893.95561,8669.412
13.3431969,26188.34845,8853.709
13.27668695,27605.09831,9050.215
13.35287611,28984.80241,9277.636
13.42699115,30583.38122,9516.157
13.47856748,31921.46585,9719.713
12.39926715,33029.38772,9879.218
9.748064159,33460.4122,10019.465
6.654867257,34200.82937,10152.994
4.634679204,34978.69856,10277.36
1.531664823,35819.33393,10388.826
0.026548673,36562.46045,10511.058
0.0,37271.10509,10656.833
0.0,37842.12016,10809.585
0.0,38370.88178,10953.0
0.0,38865.62168,11091.679
0.0,39407.42658,11234.784
0.0,39873.28789,11384.129
0.0,40438.22995,11535.875
0.0,40950.65998,11685.506
0.0,41481.37237,11832.039
0.0,42008.47027,11977.94
0.0,42562.09859,12126.063
0.0,43108.04466,12277.591
0.0,43643.05227,12432.251
0.0,44204.56333,12589.85
0.0,44753.64671,12751.324
0.0,45315.81388,12918.063
0.0,45828.90514,13089.835
0.0,46392.33476,13263.433
0.0,46906.67105,13435.105
0.0,47469.97027,13608.031
0.0,47932.37832,13802.224
0.90161781,48262.79231,14060.963
2.994330752,48654.49972,14429.905
4.644081858,49050.87154,14947.009
7.233061394,49847.92132,15701.571
10.61843197,50897.8508,16774.285
14.31229259,52352.6846,18120.6
18.07708794,53954.84098,19475.527
20.95056692,55270.80213,20535.137
22.71792035,56280.54729,21367.234
24.38965708,57346.88468,22281.645
26.6772677,58913.0531,23442.975
28.95706582,60241.60772,24739.016
31.0210177,61650.60329,25806.348
31.99336283,62518.52088,26443.422
32.07190265,63127.27378,26836.016
31.84955752,63633.81762,27165.736
31.57411504,64114.51632,27489.209
31.30088496,64710.87887,27822.715
31.11456029,65257.30199,28165.773
30.91689712,65913.01881,28510.047
30.7920354,66443.29231,28854.707
30.65203263,67104.94718,29206.754
30.625,67691.67575,29571.475
30.625,68377.30752,29944.58
30.625,68987.77876,30318.752
30.625,69623.71612,30692.762
30.67809735,70249.21834,31070.266
30.85619469,70950.90445,31449.502
30.94358407,71614.09264,31820.385
31.0,72242.08048,32175.648
31.03761062,72927.81886,32517.596
31.10985896,73535.53595,32857.24
31.14988938,74231.31485,33205.68
31.20381637,74827.99157,33559.51
31.25,75493.14076,33890.53
31.12894082,76088.35232,34170.727
30.10723175,76525.93874,34403.98
27.35259956,76701.66496,34612.848
24.75442478,76719.64063,34810.97
21.64180033,76729.74281,34993.47
18.42097622,76963.96322,35159.297
16.06208518,77225.13814,35314.93
13.9663302,77468.79231,35463.668
11.26603982,77640.1698,35604.46
8.331374447,77838.67298,35738.105
4.521086836,78037.18238,35863.297
1.201949668,78310.61186,35984.75
0.024681969,78552.10523,36120.93
0.0,78754.16759,36283.027
0.0,78969.63924,36447.86
0.0,79166.83117,36591.594
0.0,79384.2453,36726.46
0.0,79586.88675,36867.926
0.0,79805.54909,37018.074
0.0,79999.37279,37170.89
0.0,80202.16773,37319.008
0.0,80404.41814,37460.547
0.0,80576.80296,37599.27
0.0,80792.41662,37739.383
0.0,80975.30379,37882.25
0.0,81197.34859,38026.63
0.0,81381.69953,38171.01
0.0,81594.25747,38315.84
0.0,81794.35205,38463.74
0.0,81994.28844,38617.492
0.0,82208.60454,38776.445
0.0,82414.1203,38934.023
0.0,82628.57329,39082.273
0.0,82818.65169,39226.164
0.164477323,83058.38274,39404.26
1.503318584,83352.98783,39700.023
3.168487279,83808.13067,40190.84
6.62963219,84566.56305,40832.836
8.779867257,85475.43238,41447.07
10.73160951,86274.57218,41972.137
12.69365321,87341.04522,42481.793
14.70132743,88201.90072,43055.84
16.49557522,89157.80572,43720.566
18.3803927,90023.99558,44462.99
20.17284292,91026.92091,45254.285
22.09983407,91980.05738,46062.457
23.86144912,93163.9393,46852.953
25.52488938,94107.20617,47629.46
27.08476217,95170.78236,48433.074
28.61946903,96132.05973,49300.074
30.23990597,97238.1297,50268.39
31.82860896,98281.51162,51385.117
33.71059181,99540.00277,52668.465
35.75926438,100886.1081,54030.168
37.50331858,102175.4599,55298.305
38.98748617,103619.1088,56386.89
40.38779038,104870.717,57411.08
41.80565542,106309.7967,58594.05
43.64159292,107731.1181,60107.156
45.61386892,109525.122,61930.855
47.68846792,111130.4046,63710.055
49.15286228,112719.9092,64894.484
49.29728982,113533.1402,65462.49
49.09637721,114179.3211,65823.21
48.7680448,114651.1177,66156.65
48.54646018,115283.9194,66503.09
48.38398783,115925.7996,66881.23
48.28159569,116662.1998,67288.3
48.29639104,117406.4469,67715.38
48.37582965,118181.4295,68163.17
48.45326327,119002.8446,68619.84
48.4940542,119656.3819,69035.0
48.33268805,120354.3868,69359.92
47.76631637,120755.0835,69607.21
46.34015487,120880.2825,69821.12
44.58655973,120881.2031,70026.94
41.73237002,120881.2031,70226.34
38.94821626,120881.2031,70418.23
36.84935011,120881.2031,70600.81
35.28097345,120881.2031,70778.98
34.17685288,121244.9596,70973.86
33.75442478,121773.8182,71216.28
33.79756637,122519.5307,71514.86
33.95167312,123188.7027,71844.266
34.06768529,123887.8476,72176.41
34.31747788,124607.8468,72499.87
34.46591538,125247.9614,72811.46
34.64677821,125980.16,73109.69
34.77931416,126600.7174,73391.13
34.8924917,127311.5801,73656.61
34.98416759,127883.7165,73915.24
35.0282771,128532.0214,74184.39
35.02502765,129132.9683,74480.73
34.62126659,129646.2208,74797.8
31.66046737,129884.6806,74878.23
29.26673119,129964.7544,74959.195
27.07411504,130154.3675,75043.46
24.47801438,130405.1159,75125.88
21.67740597,130564.117,75207.05
18.65251659,130746.4994,75289.99
15.20443861,130900.1135,75376.9
11.09195243,131092.9939,75467.734
8.09056969,131242.8931,75562.38
5.387721239,131428.7665,75653.87
1.881014934,131630.0159,75739.48
0.082204093,131872.021,75838.94
0.0,132096.2767,75985.14
0.0,132330.486,76165.29
0.0,132534.9363,76335.5
0.0,132749.2373,76487.07
0.0,132943.4285,76641.086
0.0,133146.3534,76807.9
0.0,133353.7204,76985.2
0.0,133552.6141,77164.63
0.0,133750.6735,77339.55
0.0,133960.4209,77510.39
0.0,134144.661,77681.63
0.0,134368.2369,77856.74
0.0,134564.5214,78036.68
0.0,134775.6983,78220.41
0.0,134967.207,78404.47
0.0,135186.1787,78581.58
0.0,135374.6774,78742.82
0.0,135590.6706,78888.99
0.0,135788.9672,79052.06
0.984305863,136066.2918,79325.39
3.330959624,136519.7808,79857.21
6.750898783,137282.1269,80725.7
9.915237832,138289.0737,81795.02
13.62368639,139663.7362,82672.555
15.43839878,140526.2588,83101.77
15.37762721,140893.7507,83316.945
14.80123064,141193.0223,83504.48
14.30530973,141497.3219,83695.73
13.9957135,141819.4152,83902.82
13.86946903,142151.5402,84109.87
13.50290376,142454.9079,84284.26
11.35460454,142759.7551,84426.42
6.920146571,142968.2694,84555.62
3.003733407,143216.5065,84677.77
1.135577987,143434.8704,84793.34
0.019081858,143714.0651,84920.34
0.0,143945.8146,85078.445
0.0,144180.4056,85232.26
0.0,144356.3032,85364.1
0.0,144549.5257,85492.375
0.0,144741.8505,85630.625
0.0,144935.4299,85778.22
0.0,145141.2443,85927.45
0.0,145331.6233,86071.375
0.0,145533.19,86209.91
0.0,145721.9694,86347.74
0.0,145923.0275,86488.81
0.0,146131.2286,86633.86
0.0,146320.0979,86781.35
0.0,146534.7309,86929.86
0.0,146712.5897,87079.89
0.0,146943.1943,87233.78
0.0,147130.9968,87393.945
0.0,147344.7535,87559.87
0.0,147538.7064,87725.3
0.0,147753.9223,87880.69
0.0,147946.3075,88025.46
0.02855365,148183.5339,88188.67
1.261061947,148433.078,88441.33
2.771985619,148809.4956,88872.02
5.726769912,149416.1864,89553.09
8.920353982,150387.5152,90481.75
12.10965155,151502.1999,91588.01
15.73326881,152801.1626,92673.32
18.68881361,153974.7176,93528.89
20.10066372,154732.0658,94244.62
21.97345133,155752.0261,95076.35
24.29355642,156940.586,96161.04
26.62506914,158248.341,97424.92
28.95132743,159599.1813,98580.555
30.62479259,160643.7335,99379.0
31.27931416,161409.5561,99882.47
31.39677821,161978.5918,100277.555
31.42270465,162542.9335,100652.69
31.5,163142.5001,101035.87
31.53982301,163741.7147,101430.44
31.69150996,164439.6131,101825.92
31.75,165025.6757,102211.09
31.75,165701.8505,102586.32
31.73561947,166262.5364,102957.67
31.67381084,166861.6668,103329.49
31.62707412,167426.4587,103703.22
31.625,168029.0897,104077.68
31.625,168641.2394,104450.6
31.625,169224.3529,104819.74
31.625,169843.0696,105181.7
31.55862832,170420.2476,105532.06
31.5,170994.4374,105868.03
31.42920354,171537.0839,106191.15
31.25884956,172087.7441,106510.83
31.20996958,172635.4722,106839.12
31.06927544,173195.052,107173.22
30.96978706,173745.1009,107487.414
30.84955752,174321.2876,107752.414
29.46342644,174752.8939,107970.53
26.05731471,174973.152,108167.01
24.05842091,175005.9375,108359.305
22.16710454,175012.349,108545.39
20.35204646,175183.2796,108725.48
18.43667035,175577.77,108894.99
14.98306139,175792.3226,109051.22
10.49854812,175985.0065,109201.03
7.163647677,176152.9917,109344.85
4.564643252,176356.1821,109474.59
1.581512721,176571.0448,109592.65
0.041344027,176824.0762,109724.52
0.0,177054.3746,109879.14
0.0,177288.1684,110037.7
0.0,177499.7287,110186.76
0.0,177716.9038,110333.0
0.0,177925.483,110484.17
0.0,178147.0904,110640.336
0.0,178346.6409,110796.86
0.0,178561.8518,110949.38
0.0,178753.2667,111097.516
0.0,178974.6315,111244.016
0.0,179167.2786,111391.57
0.0,179394.9783,111540.97
0.0,179579.3832,111691.51
0.0,179795.2803,111842.484
