Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
23,374.0,314.1587,189.28770500000002,374.0
24,908.625,661.6111,347.45239999999995,534.625
25,1437.0,1191.4688,529.8577000000001,528.375
27,2032.937999999965,1721.8352,530.3663999999999,595.9379999999651
27,2350.687999999965,2063.98,342.14480000000003,317.75
27,2700.0620000000345,2288.649,224.66899999999987,349.3740000000694
27,2884.25,2495.9678,207.3188,184.18799999996554
27,3103.875,2711.5186,215.55079999999998,219.625
27,3259.3120000000345,2921.2715,209.75289999999995,155.43700000003446
26,3474.8120000000345,3121.403,200.13149999999996,215.5
26,3750.875,3353.8433,232.4403000000002,276.06299999996554
26,4228.5,3700.1934,346.3501000000001,477.625
27,4951.25,4295.102,594.9085999999998,722.75
29,6138.8120000000345,5177.313,882.2110000000002,1187.5620000000345
31,6999.875,6117.5474,940.2344000000003,861.0629999999655
32,7854.25,6814.0063,696.4588999999996,854.375
33,8342.625,7240.488,426.4817000000003,488.375
33,8848.625,7556.463,315.97499999999945,506.0
33,9214.625,7857.4375,300.97450000000026,366.0
33,9605.062000000034,8163.8696,306.4321,390.43700000003446
33,9977.25,8461.841,297.97140000000036,372.18799999996554
33,10385.312000000034,8725.139,263.29799999999886,408.06200000003446
32,10656.125,8954.043,228.90400000000045,270.81299999996554
32,11006.75,9171.3955,217.35250000000087,350.625
31,11324.937999999966,9386.721,215.325499999999,318.18799999996554
30,11645.75,9617.281,230.5600000000013,320.81200000003446
30,11908.812000000034,9856.557,239.27599999999984,263.06200000003446
29,12202.437999999966,10072.092,215.53499999999985,293.6259999999311
27,12464.687999999966,10263.719,191.6269999999986,262.25
23,12644.437999999966,10448.847,185.1280000000006,179.75
23,12758.125,10658.849,210.0020000000004,113.68700000003446
22,12926.125,10938.061,279.21199999999953,168.0
23,13354.687999999966,11338.61,400.5490000000009,428.56299999996554
24,13911.5,11727.723,389.1129999999994,556.8120000000345
24,14036.312000000034,11988.783,261.0599999999995,124.81200000003446
24,14178.5,12188.589,199.8060000000005,142.18799999996554
23,14340.875,12404.471,215.8819999999996,162.375
24,14701.625,12661.845,257.3739999999998,360.75
24,15027.0,12900.377,238.53200000000106,325.375
24,15179.062000000034,13078.308,177.9310000000005,152.06200000003446
22,15331.312000000034,13243.373,165.0649999999987,152.25
22,15579.937999999966,13519.76,276.3870000000006,248.62599999993108
24,16222.5,14090.296,570.5360000000001,642.5620000000345
26,17193.125,14988.495,898.1990000000005,970.625
28,18057.5,15919.866,931.3709999999992,864.375
30,18688.75,16546.611,626.7450000000008,631.25
31,19088.5,16915.287,368.6759999999995,399.75
32,19659.68799999997,17368.484,453.1970000000001,571.1879999999692
33,20457.5,18193.781,825.2969999999987,797.8120000000308
36,21768.062000000034,19480.516,1286.7350000000006,1310.5620000000345
38,22965.93799999997,20823.773,1343.2570000000014,1197.8759999999347
40,24047.43799999997,21657.535,833.7619999999988,1081.5
40,24216.125,21967.55,310.0149999999994,168.68700000003082
40,24418.375,22138.227,170.67699999999968,202.25
39,24554.375,22293.938,155.71099999999933,136.0
39,24781.5,22464.168,170.2300000000032,227.125
39,25022.875,22650.373,186.2049999999981,241.375
38,25284.5,22819.672,169.29899999999907,261.625
38,25498.68799999997,22959.383,139.71100000000297,214.18799999996918
36,25728.18799999997,23078.82,119.43699999999808,229.5
34,25961.0,23199.316,120.49599999999919,232.81200000003082
