Speed,Actual,Predicted
0,0.0,68.27927
0,90.21899999999732,157.51543
0,188.54699999999139,246.77074
0,287.68799999999464,325.19333
0,393.75,398.12216
0,486.56299999999464,468.635
0,587.406999999992,537.0802
0,689.0310000000027,604.5395
0,805.2660000000033,672.7026
0,892.9850000000006,742.16345
0,996.1410000000033,812.5127
0,1107.4850000000006,883.45593
0,1219.5939999999973,955.1366
0,1317.656999999992,1027.58
0,1423.2810000000027,1100.3811
0,1529.375,1173.0554
0,1651.8439999999973,1245.5504
0,1749.125,1318.1085
0,1849.6879999999946,1390.5736
0,1957.8129999999946,1462.2075
0,2063.156999999992,1532.5485
0,2144.2969999999914,1602.0602
0,2232.0469999999914,1671.2014
0,2317.5160000000033,1739.2959
0,2406.2189999999973,1805.2618
0,2479.625,1869.6522
0,2559.4379999999946,1934.2074
0,2640.25,1999.116
0,2737.4219999999914,2062.2844
0,2805.9689999999973,2122.7607
0,2889.7660000000033,2183.6003
0,2966.6879999999946,2247.4868
0,3083.6100000000006,2313.0688
0,3190.5,2376.5037
0,3308.2350000000006,2439.8052
0,3430.9219999999914,2509.065
0,3593.656999999992,2584.9512
0,3748.6410000000033,2657.786
0,4061.9219999999914,2719.694
0,4601.625,2785.662
0,5119.516000000003,2871.3567
0,5532.0,2995.6064
3,5995.141000000003,3150.2336
4,6528.187999999995,3280.1404
5,6981.093999999997,3390.652
6,7225.281000000003,3486.0068
6,7452.562999999995,3562.506
6,7692.5,3637.4429
6,7963.766000000003,3723.0957
6,8228.766000000003,3823.7305
7,8551.187999999995,3923.2678
7,8862.281000000003,4017.6487
8,9191.906999999992,4127.3823
8,9520.656999999992,4263.3687
9,9911.421999999991,4412.777
10,10351.671999999991,4551.89
10,10880.077999999994,4691.808
11,11354.202999999994,4828.1934
11,11840.141000000003,4933.29
10,12081.531000000003,5028.5005
9,12392.952999999994,5131.2896
9,12683.0,5256.552
9,13100.406999999992,5411.7715
10,13601.235,5548.1914
9,13861.641000000003,5669.288
9,14102.156999999992,5798.4097
9,14433.156999999992,5951.716
9,14803.391000000003,6144.6865
10,15204.593999999997,6315.6567
10,15478.702999999994,6440.9507
9,15757.985,6567.769
9,16081.171999999991,6710.0396
9,16435.25,6872.3647
9,16736.906999999992,7021.7925
9,16995.11,7162.9033
8,17239.843999999997,7309.133
8,17536.812999999995,7459.532
8,17777.781000000003,7607.4473
8,18061.17199999999,7751.881
8,18366.54699999999,7905.756
8,18729.593999999997,8077.0073
9,19021.141000000003,8251.677
9,19271.75,8400.611
9,19499.952999999994,8537.457
9,19724.156999999992,8671.407
9,19920.656999999992,8800.446
8,20118.702999999994,8922.823
8,20337.235,9038.56
6,20585.79699999999,9149.149
5,20773.735,9256.758
4,20982.781000000003,9364.204
3,21178.843999999997,9473.952
3,21386.17199999999,9582.656
2,21561.312999999995,9688.689
2,21800.5,9796.353
0,22068.391000000003,9907.912
1,22346.156999999992,10030.923
2,22548.343999999997,10152.786
2,22795.156999999992,10264.718
2,23045.218999999997,10379.996
3,23333.86,10500.224
3,23556.077999999994,10616.356
3,23816.735,10726.375
3,24085.75,10834.912
3,24399.92199999999,10944.612
3,24643.577999999994,11060.888
3,24908.656999999992,11187.418
4,25188.952999999994,11309.33
3,25484.812999999995,11417.946
2,25738.985,11521.25
0,26001.312999999995,11622.567
0,26273.5,11725.658
0,26557.016000000003,11828.186
0,26791.516000000003,11924.906
0,27011.437999999995,12021.6
0,27240.781000000003,12120.907
0,27489.468999999997,12221.8545
0,27677.937999999995,12323.198
0,27890.077999999994,12424.428
0,28111.452999999994,12524.535
0,28362.718999999997,12623.873
0,28544.25,12724.598
0,28766.077999999994,12828.138
0,29001.42199999999,12931.646
0,29382.937999999995,13027.861
0,29913.687999999995,13122.117
0,30378.156999999992,13227.474
0,30572.61,13378.813
2,30807.141000000003,13615.663
3,31078.25,13794.309
3,31228.968999999997,13889.897
3,31381.891000000003,13982.272
3,31580.875,14078.571
3,31723.11,14179.056
3,31905.406999999992,14284.771
3,32110.827999999994,14393.023
3,32326.391000000003,14502.923
3,32437.29699999999,14621.122
3,32590.485,14748.933
3,32802.391,14859.348
2,33080.0,14955.9
1,33298.312999999995,15059.543
0,33526.702999999994,15198.905
0,33751.875,15476.818
3,34061.016,15756.116
3,34280.75,15850.534
0,34510.29699999999,15939.955
0,34757.577999999994,16038.735
0,35054.735,16150.928
0,35297.61,16255.273
