Speed,Actual,Predicted
50,0.0,403.27557
51,647.0630000000237,955.76337
51,1278.3760000000475,1350.5916
51,1663.9070000000065,1691.422
51,2089.5320000000065,2116.9688
52,2629.0630000000237,2691.588
52,3559.9380000000237,3351.779
53,4382.5,4030.6624
53,5217.8760000000475,4714.8813
54,5940.813000000024,5332.1035
54,6655.063000000024,5835.6035
54,7196.3760000000475,6266.8765
54,7750.0,6686.2583
54,8280.219000000041,7128.7666
54,8858.094000000041,7636.788
54,9523.0,8293.613
55,10521.876000000047,9164.928
56,11520.344000000041,10201.43
56,12365.438000000024,11215.193
57,12828.126000000047,12002.349
57,13372.938000000024,12601.992
57,13974.876000000047,13082.84
57,14392.376000000047,13444.979
56,14702.532000000007,13750.775
56,15094.063000000024,14112.565
57,15946.719000000041,14701.568
57,17033.657000000007,15537.171
58,17898.657000000007,16329.548
58,18358.438000000024,16853.994
58,18708.376000000047,17219.549
58,19041.813000000024,17501.277
58,19224.188000000024,17718.225
58,19450.438000000024,17907.541
57,19663.563000000024,18110.947
57,20077.626000000047,18390.316
57,20446.46900000004,18819.998
58,20920.282000000007,19344.176
58,21238.188000000024,19739.693
57,21499.5,20075.65
57,21688.282000000007,20404.186
57,21880.657000000007,20746.74
57,22085.21900000004,21121.062
57,22354.09400000004,21553.607
57,22783.157000000007,22061.607
57,23460.938000000024,22689.408
58,24197.313000000024,23506.35
59,24963.657000000007,24365.244
59,25144.876000000047,24791.94
59,25342.626000000047,25017.982
58,25532.563000000024,25187.19
58,25695.25,25342.105
58,25840.282000000007,25492.762
57,25984.188000000024,25643.826
57,26130.313000000024,25798.352
56,26307.157000000007,25960.494
56,26433.376000000047,26143.494
55,26625.313000000024,26352.229
55,26927.25,26557.088
55,27245.25,26705.387
54,27461.376000000047,26810.04
53,27714.813000000024,26885.383
53,28008.5,26934.969
52,28322.563000000024,26964.416
51,28545.876000000047,26990.533
49,28797.438000000024,27014.771
47,29076.376000000047,27032.264
46,29453.0,27044.205
45,29663.5,27055.082
43,29920.938000000024,27072.797
41,30188.34400000004,27099.46
39,30464.563000000024,27128.068
37,30650.5,27149.549
37,30881.626000000047,27175.982
36,31105.626000000047,27216.078
35,31365.25,27262.648
34,31546.876000000047,27309.91
33,31750.34400000004,27351.684
32,31966.75,27396.805
30,32185.376000000047,27461.033
29,32360.688000000024,27554.373
29,32542.813000000024,27753.754
29,32731.657000000007,28142.54
29,32950.12600000005,28453.498
29,33082.938000000024,28603.873
29,33184.46900000004,28709.895
29,33265.938000000024,28809.203
28,33474.688000000024,29024.08
29,33811.37600000005,29586.805
30,34342.563000000024,30390.0
31,34978.5,31235.168
33,35640.34400000004,32037.705
34,35903.313000000024,32797.773
35,36255.90700000001,33565.773
36,36581.063000000024,34293.77
36,36915.25,34919.08
37,37136.78200000001,35504.312
37,37407.188000000024,36180.16
38,37662.938000000024,36970.5
39,37942.563000000024,37700.63
39,38129.5,38234.082
39,38375.75,38648.555
39,38595.96900000004,39029.9
39,38810.12600000005,39395.277
