Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
54,477.5,392.68277,93.74410999999998,21.75
54,477.5,501.00775,108.32497999999998,0.0
53,477.5,587.8819,86.87414999999999,0.0
52,477.5,671.1116,83.22969999999998,0.0
51,477.5,760.73505,89.62345000000005,0.0
50,594.25,879.64685,118.91179999999997,116.75
49,918.5,1040.6841,161.03724999999997,324.25
46,1164.75,1209.2126,168.52850000000012,246.25
42,1413.75,1372.1465,162.9339,249.0
38,1615.5,1527.5767,155.4302,201.75
34,1835.5,1681.2655,153.6887999999999,220.0
30,2057.25,1832.2122,150.94669999999996,221.75
29,2298.25,1976.0886,143.8764000000001,241.0
29,2487.75,2132.9912,156.9025999999999,189.5
29,2684.75,2289.6277,156.63650000000007,197.0
28,2922.0,2528.2717,238.64399999999978,237.25
28,3868.25,3055.6094,527.3377,946.25
30,4963.5,4251.07,1195.4605999999999,1095.25
32,6285.0,5670.912,1419.8420000000006,1321.5
33,7486.5,6858.2793,1187.3673,1201.5
35,8486.0,7868.636,1010.3567000000003,999.5
34,8772.5,8235.515,366.878999999999,286.5
33,8836.75,8447.447,211.9320000000007,64.25
31,8836.75,8600.959,153.51200000000063,0.0
30,8836.75,8767.352,166.39300000000003,0.0
29,8836.75,8953.72,186.36799999999857,0.0
28,9026.25,9197.865,244.14500000000044,189.5
28,9571.0,9651.343,453.478000000001,544.75
29,10453.75,10498.163,846.8199999999997,882.75
30,11504.0,11732.779,1234.616,1050.25
33,13348.75,13764.407,2031.6279999999988,1844.75
36,15841.25,16308.549,2544.1420000000016,2492.5
39,18894.5,19238.139,2929.5899999999983,3053.25
43,21977.0,22828.371,3590.232,3082.5
45,24841.5,25154.934,2326.563000000002,2864.5
45,25052.0,25356.504,201.5699999999997,210.5
45,25432.0,25646.107,289.60299999999916,380.0
45,25739.5,26081.158,435.0509999999995,307.5
46,26658.5,27149.76,1068.601999999999,919.0
47,28156.0,28663.928,1514.1680000000015,1497.5
49,30741.5,30785.57,2121.642,2585.5
51,32877.0,33386.535,2600.965000000004,2135.5
53,35689.0,36320.93,2934.394999999997,2812.0
56,38955.75,39463.215,3142.284999999996,3266.75
57,40475.5,40585.03,1121.8150000000023,1519.75
57,40968.5,40990.61,405.58000000000175,493.0
57,41550.5,41597.46,606.8499999999985,582.0
58,42462.0,42505.664,908.2039999999979,911.5
59,43888.5,43396.71,891.0460000000021,1426.5
59,44512.0,43991.69,594.9800000000032,623.5
59,45218.0,44510.062,518.3719999999958,706.0
59,45848.0,45112.33,602.2680000000037,630.0
60,46812.25,45900.734,788.403999999995,964.25
60,48359.25,47137.53,1236.796000000002,1547.0
62,51160.75,49439.6,2302.0699999999997,2801.5
64,54234.5,52260.707,2821.1070000000036,3073.75
66,58018.0,55230.59,2969.8829999999944,3783.5
66,59221.5,55801.53,570.9400000000023,1203.5
66,59404.25,56092.285,290.75500000000466,182.75
66,59677.5,56361.836,269.5509999999995,273.25
65,59998.75,56617.684,255.84799999999814,321.25
65,60278.75,56858.914,241.22999999999593,280.0
64,60531.25,57070.867,211.95300000000134,252.5
64,60555.5,57248.36,177.4930000000022,24.25
63,60555.5,57378.715,130.35499999999593,0.0
62,60883.75,57524.363,145.64800000000105,328.25
62,61334.0,57830.344,305.98099999999977,450.25
62,61769.5,58258.418,428.0740000000005,435.5
62,62217.5,58639.65,381.2320000000036,448.0
61,62524.75,59088.4,448.75,307.25
62,63386.25,59874.53,786.1299999999974,861.5
62,64769.0,61101.992,1227.4619999999995,1382.75
64,66955.5,62911.18,1809.188000000002,2186.5
65,69072.5,64331.504,1420.3240000000005,2117.0
65,70080.0,64913.457,581.9530000000013,1007.5
65,70405.75,65366.543,453.0859999999957,325.75
65,70632.75,65775.29,408.74699999999575,227.0
65,70829.25,66069.08,293.79000000000815,196.5
64,71351.0,66295.69,226.61000000000058,521.75
64,71649.5,66450.945,155.25500000000466,298.5
63,71672.75,66555.01,104.06499999998778,23.25
62,71672.75,66682.45,127.44000000000233,0.0
62,72104.75,67052.92,370.47000000000116,432.0
62,73218.75,67888.4,835.4799999999959,1114.0
63,74873.5,69205.78,1317.3800000000047,1654.75
64,76441.25,70647.9,1442.1199999999953,1567.75
64,76789.75,71216.6,568.7000000000116,348.5
63,77030.75,71497.664,281.0639999999985,241.0
59,77115.0,71649.08,151.41599999999744,84.25
55,77115.0,71745.26,96.17999999999302,0.0
50,77115.0,71842.29,97.02999999999884,0.0
45,77115.0,71951.55,109.26000000000931,0.0
39,77115.0,72075.78,124.22999999999593,0.0
35,77155.25,72200.07,124.29000000000815,40.25
32,77380.25,72308.734,108.66399999998976,225.0
31,77654.75,72418.68,109.94599999999627,274.5
31,77910.25,72593.84,175.1600000000035,255.5
31,78095.75,72824.01,230.16999999999825,185.5
31,78311.75,73015.16,191.15000000000873,216.0
30,78521.0,73137.336,122.1759999999922,209.25
28,78772.0,73278.15,140.8139999999985,251.0
25,78962.0,73428.766,150.61600000000908,190.0
24,79163.25,73571.92,143.153999999995,201.25
24,79378.25,73706.95,135.02999999999884,215.0
22,79631.75,73851.14,144.19000000000233,253.5
23,79813.0,74021.375,170.23500000000058,181.25
