Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
0,152.93700000000536,458.57788,309.50901999999996,152.93700000000536
3,428.43700000000536,1006.0235,547.44562,275.5
5,979.6399999999994,1601.7039,595.6804,551.2029999999941
7,1586.5930000000008,2148.4067,546.7028,606.9530000000013
9,1967.8430000000008,2615.1235,466.71680000000015,381.25
10,2153.0620000000054,2996.658,381.53449999999975,185.2190000000046
11,2520.875,3448.3257,451.66769999999997,367.81299999999464
13,3228.5149999999994,4116.282,667.9563000000003,707.6399999999994
15,3722.703000000001,4884.6323,768.3503000000001,494.18800000000147
16,4317.389999999999,5453.68,569.0477000000001,594.6869999999985
17,4520.828000000001,5830.2056,376.52559999999994,203.43800000000192
18,4853.672000000006,6097.2217,267.0160999999998,332.8440000000046
17,5086.139999999999,6339.446,242.22429999999986,232.46799999999348
18,5432.343000000001,6712.81,373.3640000000005,346.20300000000134
19,5931.828000000001,7258.6577,545.8476999999993,499.4850000000006
20,6354.859000000004,7729.274,470.6163000000006,423.0310000000027
20,6505.297000000006,7990.296,261.02199999999993,150.43800000000192
20,6731.531000000003,8182.8403,192.54429999999957,226.23399999999674
20,6964.828000000001,8389.752,206.91170000000056,233.29699999999866
21,7208.312000000005,8594.203,204.4509999999991,243.48400000000402
20,7400.281000000003,8740.108,145.90500000000065,191.96899999999732
19,7634.5,8871.386,131.27800000000025,234.21899999999732
19,7848.969000000005,9009.263,137.8770000000004,214.4690000000046
18,8092.203000000001,9142.574,133.3109999999997,243.23399999999674
17,8288.656000000003,9272.719,130.14499999999862,196.45300000000134
15,8498.469000000005,9405.191,132.47200000000157,209.81300000000192
14,8707.062000000005,9536.306,131.11499999999978,208.59300000000076
13,8934.047000000006,9660.468,124.16200000000026,226.98500000000058
10,9117.531000000004,9783.773,123.30499999999847,183.48399999999856
10,9344.156000000004,9929.748,145.97500000000036,226.625
10,9555.312000000004,10110.659,180.91100000000006,211.15599999999904
10,9854.859000000004,10301.885,191.22600000000057,299.5470000000005
10,10366.109000000004,10493.536,191.65099999999984,511.25
10,10968.109000000004,10720.919,227.3829999999998,602.0
11,11476.843,10986.895,265.97600000000057,508.73399999999674
11,12082.5,11236.003,249.10800000000017,605.6569999999992
12,12555.656000000004,11474.602,238.59900000000016,473.1560000000045
12,13117.047000000006,11762.6045,288.0024999999987,561.3910000000014
13,13716.14,12211.341,448.7365000000009,599.0929999999935
15,14501.625,12833.138,621.7970000000005,785.4850000000006
16,15168.343,13372.463,539.3249999999989,666.7180000000008
17,15965.234000000004,13711.643,339.1800000000003,796.8910000000033
17,16010.531000000004,13907.063,195.42000000000007,45.29700000000048
16,16102.031000000004,14055.959,148.89600000000064,91.5
14,16302.328,14199.122,143.16299999999865,200.29699999999502
13,16692.125,14338.511,139.38900000000103,389.7970000000005
13,16856.547000000006,14469.825,131.3140000000003,164.42200000000594
13,16993.547000000006,14586.967,117.14199999999983,137.0
12,17121.875,14743.53,156.5630000000001,128.32799999999406
12,17431.375,15037.665,294.1350000000002,309.5
14,17727.297000000006,15530.518,492.85299999999916,295.92200000000594
15,18303.25,16029.848,499.3299999999999,575.9529999999941
16,18995.0,16584.719,554.871000000001,691.75
18,19855.39,17413.43,828.7109999999993,860.3899999999994
20,20727.828,18494.11,1080.6800000000003,872.4380000000019
22,21764.984000000004,19324.686,830.5760000000009,1037.1560000000027
23,21804.343,19673.418,348.73199999999997,39.35899999999674
23,21899.093,19870.875,197.45699999999852,94.75
24,22495.359000000004,20090.314,219.4389999999985,596.2660000000033
24,22747.843,20321.098,230.7840000000033,252.48399999999674
24,22903.734000000004,20530.531,209.43299999999726,155.89100000000326
24,23127.656000000003,20712.625,182.09400000000096,223.92199999999866
24,23357.64,20846.236,133.6110000000008,229.98399999999674
22,23582.031000000003,20958.752,112.51599999999962,224.39100000000326
22,23797.625,21127.578,168.82600000000093,215.59399999999732
22,24104.54700000001,21468.674,341.09599999999773,306.9220000000096
23,24732.54700000001,22052.688,584.0139999999992,628.0
25,25696.437000000005,22641.438,588.75,963.8899999999958
25,26292.765,23093.117,451.6790000000001,596.3279999999941
26,27080.078,23663.346,570.229000000003,787.3130000000019
28,27891.765,24519.91,856.5639999999985,811.6869999999981
29,28950.515,25500.828,980.9180000000015,1058.75
31,29635.609000000004,26334.066,833.2379999999976,685.0940000000046
31,29896.75,26825.77,491.70400000000154,261.140999999996
32,30052.609000000004,27071.95,246.1800000000003,155.85900000000402
32,30269.234000000004,27223.402,151.4519999999975,216.625
31,30475.04700000001,27351.139,127.73700000000099,205.81300000000556
29,30780.562000000005,27475.05,123.91100000000006,305.5149999999958
27,31071.156000000003,27592.434,117.38400000000183,290.5939999999973
25,31354.734000000004,27700.84,108.40599999999904,283.57800000000134
23,31600.67200000001,27800.227,99.3869999999988,245.93800000000556
23,31849.062000000005,27893.926,93.69900000000052,248.38999999999578
22,32113.67200000001,27982.186,88.26000000000204,264.6100000000042
21,32409.093000000008,28079.98,97.79399999999805,295.42099999999846
21,32642.265,28237.031,157.05099999999948,233.17199999999139
21,32919.172000000006,28520.92,283.8889999999992,276.9070000000065
22,33429.0,28956.447,435.52700000000186,509.82799999999406
23,34412.875,29470.957,514.5099999999984,983.875
24,34978.312000000005,30044.473,573.5160000000033,565.4370000000054
25,35739.687000000005,30732.414,687.9409999999989,761.375
27,36552.656,31458.305,725.8909999999996,812.9689999999973
28,37117.562000000005,31935.154,476.84899999999834,564.9060000000027
28,37291.5,32219.674,284.52000000000044,173.93799999999464
29,37493.32800000001,32475.54,255.8660000000018,201.82800000000861
29,37834.422000000006,32731.232,255.6919999999991,341.0939999999973
29,38319.875,33018.984,287.75199999999677,485.45299999999406
30,38757.406,33338.145,319.16100000000006,437.5310000000027
30,39003.422000000006,33571.027,232.88200000000506,246.01600000000326
30,39194.59300000001,33721.387,150.36000000000058,191.1710000000021
29,39423.781,33855.355,133.96800000000076,229.18799999999464
27,39612.562000000005,33978.938,123.58299999999872,188.78100000000268
26,39827.70300000001,34093.883,114.94499999999971,215.14100000000326
24,40040.031,34200.668,106.78499999999622,212.32799999999406
23,40194.937000000005,34306.188,105.52000000000407,154.90600000000268
23,40317.70300000001,34434.906,128.71800000000076,122.76600000000326
23,40498.70300000001,34640.04,205.1339999999982,181.0
23,40719.172000000006,34935.504,295.46399999999994,220.46899999999732
24,40978.95300000001,35233.33,297.82600000000093,259.7810000000027
24,41096.625,35419.312,185.98199999999633,117.67199999999139
24,41243.812000000005,35557.39,138.07800000000134,147.18700000000536
24,41367.562000000005,35719.242,161.85199999999895,123.75
25,41605.109,35918.89,199.64800000000105,237.54699999999139
25,41760.422000000006,36092.758,173.8680000000022,155.3130000000092
25,41937.625,36230.816,138.05799999999726,177.20299999999406
25,42124.562000000005,36362.566,131.75,186.93700000000536
25,42323.531,36494.63,132.0639999999985,198.96899999999732
25,42472.484,36620.965,126.33499999999913,148.95299999999406
24,42657.172000000006,36741.285,120.32000000000698,184.6880000000092
24,42830.312000000005,36863.094,121.80899999999383,173.13999999999942
22,43040.547000000006,36981.918,118.82400000000052,210.23500000000058
20,43190.0,37102.586,120.66800000000512,149.45299999999406
19,43362.281,37226.723,124.13699999999517,172.28100000000268
17,43539.09300000001,37355.03,128.3070000000007,176.81200000000536
16,43748.375,37494.22,139.19000000000233,209.28199999999197
15,43892.375,37641.836,147.6160000000018,144.0
13,44073.172000000006,37792.605,150.76900000000023,180.79700000000594
10,44243.09300000001,37945.55,152.9449999999997,169.9210000000021
7,44451.719,38118.69,173.13999999999942,208.6259999999893
7,44606.797000000006,38385.6,266.9099999999962,155.07800000000861
8,44881.406,38880.105,494.50500000000466,274.60899999999674
10,45438.297000000006,39581.656,701.5509999999995,556.8910000000033
12,46161.015,40203.824,622.1679999999978,722.7179999999935
13,46563.34300000001,40585.47,381.64600000000064,402.3280000000086
13,47106.515,40849.406,263.9360000000015,543.1719999999914
14,47702.812000000005,41057.598,208.19199999999546,596.2970000000059
14,47979.062000000005,41207.094,149.49599999999919,276.25
12,48117.031,41453.75,246.65600000000268,137.96899999999732
15,49416.265,42075.71,621.9599999999991,1299.2339999999967
17,50838.125,43200.805,1125.0950000000012,1421.8600000000006
22,53519.937000000005,44864.21,1663.4049999999988,2681.8120000000054
27,55859.75,47217.062,2352.851999999999,2339.8129999999946
32,59157.25,49162.844,1945.7819999999992,3297.5
32,59503.422000000006,49553.93,391.08600000000297,346.17200000000594
31,60096.64,49786.168,232.23799999999756,593.2179999999935
32,60941.656,50237.81,451.6419999999998,845.0160000000033
33,62840.125,51180.176,942.3660000000018,1898.4689999999973
35,65127.062000000005,52721.203,1541.0270000000019,2286.9370000000054
39,67649.312,54268.688,1547.4850000000006,2522.25
39,68001.64,54767.15,498.46199999999953,352.32799999999406
38,68440.172,54990.65,223.5,438.5320000000065
37,69057.281,55296.434,305.78399999999965,617.1089999999967
38,70530.797,55731.555,435.1209999999992,1473.5160000000033
38,70907.734,56124.285,392.7300000000032,376.9369999999908
37,71352.75,56318.7,194.4149999999936,445.01600000000326
37,71787.265,56524.82,206.12000000000262,434.5149999999994
37,72446.719,56795.09,270.2699999999968,659.4539999999979
37,72828.719,57096.14,301.0500000000029,382.0
37,73307.062,57351.53,255.38999999999942,478.34300000000803
37,73601.547,57529.754,178.22400000000198,294.4850000000006
36,73881.875,57641.324,111.56999999999971,280.32799999999406
35,74110.531,57752.92,111.59599999999773,228.65600000000268
35,74429.70300000001,57931.152,178.2320000000036,319.17200000000594
35,74833.297,58222.438,291.28600000000006,403.5939999999973
