Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
0,90.21899999999732,173.41513,134.474967,90.21899999999732
0,188.54699999999136,326.58026,153.16513,98.32799999999403
0,287.68799999999464,476.50427,149.92401,99.14100000000329
0,393.75,630.5098,154.00553000000002,106.06200000000536
0,486.5629999999946,788.413,157.90319999999997,92.81299999999459
0,587.406999999992,948.6461,160.23310000000004,100.84399999999738
0,689.0310000000027,1111.1089,162.4627999999999,101.62400000001071
0,805.2660000000033,1275.0228,163.9139,116.23500000000058
0,892.9850000000006,1439.916,164.89319999999998,87.71899999999732
0,996.1410000000031,1605.8865,165.97050000000013,103.15600000000256
0,1107.4850000000006,1772.8866,167.00009999999997,111.34399999999744
0,1219.593999999997,1940.7576,167.87099999999987,112.10899999999651
0,1317.656999999992,2109.4417,168.68409999999994,98.06299999999487
0,1423.281000000003,2278.926,169.48430000000008,105.62400000001094
0,1529.375,2449.205,170.279,106.0939999999971
0,1651.843999999997,2620.2954,171.09040000000005,122.4689999999971
0,1749.125,2792.2234,171.92799999999988,97.2810000000029
0,1849.6879999999944,2965.019,172.79559999999992,100.56299999999442
0,1957.8129999999944,3138.7212,173.70220000000018,108.125
0,2063.156999999992,3313.3765,174.6552999999999,105.34399999999755
0,2144.2969999999914,3489.0374,175.6609000000003,81.13999999999942
0,2232.0469999999914,3665.7634,176.72599999999966,87.75
0,2317.5160000000037,3843.623,177.85960000000023,85.46900000001233
0,2406.2189999999973,4022.6956,179.07259999999997,88.70299999999361
0,2479.625,4203.0747,180.3791000000001,73.40600000000268
0,2559.437999999994,4384.8716,181.79690000000028,79.81299999999419
0,2640.25,4568.2163,183.34469999999965,80.81200000000581
0,2737.4219999999914,4753.257,185.04069999999956,97.17199999999139
0,2805.9689999999973,4940.156,186.89900000000034,68.54700000000594
0,2889.7660000000037,5129.08,188.92399999999998,83.79700000000639
0,2966.687999999994,5320.19,191.10999999999967,76.92199999999048
0,3083.6100000000006,5513.6284,193.4384,116.92200000000639
0,3190.5,5709.523,195.89460000000054,106.88999999999942
0,3308.2350000000006,5907.9795,198.45650000000023,117.73500000000058
0,3430.9219999999914,6108.992,201.01249999999982,122.6869999999908
0,3593.656999999992,6312.124,203.1319999999996,162.73500000000058
0,3748.6410000000033,6516.02,203.89600000000064,154.9840000000113
0,4061.921999999992,6719.0713,203.05129999999917,313.2809999999886
0,4601.625,6925.2695,206.19820000000072,539.7030000000082
0,5119.516000000003,7159.1147,233.84519999999975,517.8910000000033
0,5532.0,7490.314,331.1993000000002,412.48399999999674
3,5995.141000000003,7972.278,481.96399999999994,463.14100000000326
4,6528.187999999995,8357.764,385.48599999999897,533.0469999999914
5,6981.093999999997,8648.767,291.0030000000006,452.9060000000027
6,7225.281000000003,8910.895,262.1280000000006,244.18700000000536
6,7452.562999999995,9134.702,223.80699999999888,227.28199999999197
6,7692.5,9349.355,214.65300000000025,239.93700000000536
6,7963.766000000003,9575.022,225.66700000000128,271.26600000000326
6,8228.766000000003,9823.765,248.74299999999857,265.0
7,8551.187999999995,10093.812,270.0470000000005,322.4219999999914
7,8862.281000000003,10356.433,262.621000000001,311.09300000000803
8,9191.906999999992,10621.594,265.16099999999824,329.6259999999893
8,9520.656999999992,10905.068,283.47400000000016,328.75
9,9911.421999999991,11231.181,326.1130000000012,390.7649999999994
10,10351.671999999991,11562.258,331.0769999999993,440.25
10,10880.077999999994,11860.805,298.5470000000005,528.4060000000027
11,11354.202999999994,12140.869,280.0640000000003,474.125
11,11840.141000000003,12371.888,231.01900000000023,485.9380000000092
10,12081.531000000004,12577.366,205.47799999999916,241.39000000000124
9,12392.952999999994,12784.68,207.3140000000003,311.42199999998957
9,12683.0,13014.608,229.92799999999988,290.04700000000594
9,13100.406999999992,13276.706,262.09799999999996,417.40699999999197
10,13601.235,13517.488,240.78199999999924,500.8280000000086
9,13861.641000000003,13720.54,203.0520000000015,260.4060000000027
9,14102.156999999992,13932.543,212.0029999999988,240.5159999999887
9,14433.156999999992,14174.095,241.55199999999968,331.0
9,14803.391000000003,14451.397,277.3020000000015,370.2340000000113
10,15204.593999999996,14731.315,279.91799999999967,401.20299999999224
10,15478.702999999994,14952.262,220.94700000000012,274.10899999999856
9,15757.985,15153.265,201.0029999999988,279.2820000000065
9,16081.171999999991,15366.131,212.86599999999999,323.1869999999908
9,16435.25,15591.605,225.47400000000016,354.0780000000086
9,16736.906999999992,15809.301,217.6959999999999,301.65699999999197
9,16995.11,16011.638,202.33700000000135,258.2030000000086
8,17239.843999999997,16208.035,196.39699999999903,244.73399999999674
8,17536.812999999995,16413.09,205.0550000000003,296.9689999999973
8,17777.781000000003,16628.95,215.86000000000058,240.96800000000803
8,18061.17199999999,16848.22,219.27000000000044,283.3909999999887
8,18366.54699999999,17079.652,231.43199999999706,305.375
8,18729.594,17341.113,261.46100000000297,363.0470000000096
9,19021.141000000003,17621.182,280.0689999999995,291.5470000000023
9,19271.75,17865.61,244.42799999999988,250.60899999999674
9,19499.952999999998,18091.229,225.61899999999878,228.2029999999977
9,19724.156999999992,18315.057,223.82800000000134,224.20399999999427
9,19920.656999999992,18529.305,214.2479999999996,196.5
8,20118.702999999998,18732.3,202.99499999999898,198.04600000000573
8,20337.235,18931.744,199.4439999999995,218.53200000000288
6,20585.79699999999,19122.307,190.56300000000192,248.5619999999908
5,20773.735,19307.44,185.132999999998,187.9380000000092
4,20982.781000000003,19489.062,181.62200000000303,209.0460000000021
3,21178.844,19670.105,181.04299999999785,196.06299999999828
3,21386.17199999999,19853.082,182.97699999999895,207.32799999999042
2,21561.312999999995,20036.523,183.44100000000253,175.14100000000326
2,21800.5,20224.322,187.79899999999907,239.18700000000536
0,22068.391000000003,20421.057,196.73500000000058,267.89100000000326
1,22346.156999999992,20647.572,226.51499999999942,277.7659999999887
