Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
37,0.0,-7.577484,59.741196,0.0
35,16.43700000003446,79.49095,87.068434,16.43700000003446
35,260.81200000003446,214.20674,134.71579,244.375
34,565.3120000000345,407.09827,192.89153000000002,304.5
34,829.9370000000345,587.2528,180.15452999999997,264.625
33,1094.0,786.87537,199.62257,264.06299999996554
33,1412.5620000000345,1178.9401,392.06473000000005,318.56200000003446
34,2244.1870000000345,1985.9526,807.0125,831.625
35,3317.8120000000345,3157.6045,1171.6518999999998,1073.625
37,4951.374000000069,4519.6406,1362.0360999999998,1633.5620000000345
38,6474.374000000069,5990.6895,1471.0489000000007,1523.0
40,8458.624000000069,7516.605,1525.9154999999992,1984.25
41,9138.562000000034,8382.784,866.1790000000001,679.9379999999655
41,9342.312000000034,8624.109,241.32500000000073,203.75
40,9571.562000000034,8849.254,225.14500000000044,229.25
40,9995.374000000067,9232.407,383.1529999999984,423.81200000003264
41,10658.687000000034,9944.907,712.5,663.3129999999674
41,11095.562000000034,10547.388,602.4810000000016,436.875
41,11303.437000000034,10833.188,285.7999999999993,207.875
40,11429.187000000034,11002.848,169.65999999999985,125.75
37,11441.062000000034,11129.993,127.14500000000044,11.875
36,11441.062000000034,11233.698,103.70499999999993,0.0
35,11441.062000000034,11372.6875,138.98949999999968,0.0
35,11732.624000000067,11697.874,325.1864999999998,291.56200000003264
35,12352.624000000067,12337.36,639.4860000000008,620.0
37,13359.437000000034,13094.647,757.2870000000003,1006.8129999999674
37,13702.25,13509.654,415.0069999999996,342.81299999996554
37,14115.687000000034,13930.117,420.46299999999974,413.43700000003446
38,14794.187000000034,14535.386,605.2690000000002,678.5
39,15799.687000000034,15298.774,763.387999999999,1005.5
40,16646.062000000034,15909.025,610.2510000000002,846.375
40,17280.187000000034,16428.117,519.0919999999987,634.125
41,17749.687000000034,16918.77,490.65300000000207,469.5
41,18224.5,17368.23,449.4599999999991,474.81299999996554
41,18725.562000000034,17795.332,427.10199999999895,501.06200000003446
42,19151.37400000007,18170.559,375.2270000000026,425.81200000003446
41,19457.75,18470.32,299.7609999999986,306.3759999999311
41,19849.562000000034,18770.213,299.89300000000003,391.81200000003446
41,20169.562000000034,19114.246,344.03299999999945,320.0
41,20636.187000000034,19495.883,381.63700000000244,466.625
41,21117.687000000034,19886.758,390.875,481.5
41,21644.62400000007,20270.316,383.55799999999726,526.9370000000345
41,21949.062000000034,20602.64,332.3240000000005,304.43799999996554
41,22216.312000000034,20848.697,246.0570000000007,267.25
40,22324.25,21078.643,229.9459999999999,107.93799999996554
40,22787.62400000007,21400.623,321.97999999999956,463.3740000000689
40,23535.25,21938.172,537.5489999999991,747.6259999999311
41,24330.062000000034,22576.506,638.3340000000026,794.8120000000345
41,24695.5,22915.941,339.4349999999977,365.43799999996554
40,24871.562000000034,23106.023,190.08200000000215,176.06200000003446
40,25108.562000000034,23251.031,145.007999999998,237.0
39,25507.937000000034,23441.049,190.01800000000003,399.375
39,26125.87400000007,23839.545,398.4959999999992,617.9370000000345
40,27191.937000000034,24645.775,806.2300000000032,1066.0629999999655
41,28173.37400000007,25641.008,995.2330000000002,981.4370000000345
42,29028.562000000034,26252.56,611.5519999999997,855.1879999999655
42,29430.062000000034,26552.744,300.18399999999747,401.5
41,29799.87400000007,26776.803,224.0590000000011,369.81200000003446
41,30087.187000000034,26983.012,206.20899999999892,287.31299999996554
41,30392.062000000034,27199.355,216.34300000000076,304.875
40,30682.312000000034,27435.76,236.40499999999884,290.25
40,31008.75,27719.906,284.14600000000064,326.43799999996554
40,31276.187000000034,28066.705,346.7990000000027,267.43700000003446
40,31584.5,28399.51,332.80499999999665,308.31299999996554
40,31894.312000000034,28610.477,210.96700000000055,309.81200000003446
39,32087.312000000034,28718.32,107.84300000000076,193.0
38,32110.62400000007,28778.863,60.543000000001484,23.31200000003446
37,32110.62400000007,28825.791,46.927999999999884,0.0
36,32110.62400000007,28878.309,52.51800000000003,0.0
35,32110.62400000007,28942.906,64.59699999999793,0.0
34,32110.62400000007,29020.887,77.98099999999977,0.0
33,32110.62400000007,29114.492,93.60499999999956,0.0
32,32110.62400000007,29225.05,110.5580000000009,0.0
30,32110.62400000007,29348.314,123.26399999999921,0.0
28,32110.62400000007,29476.637,128.32300000000032,0.0
26,32294.25,29608.686,132.0490000000027,183.62599999993108
23,32575.187000000034,29746.062,137.3760000000002,280.93700000003446
19,32848.25,29882.621,136.55899999999747,273.06299999996554
18,33035.187000000034,30019.068,136.44700000000012,186.93700000003446
18,33246.187000000034,30199.926,180.85800000000017,211.0
18,33461.37400000007,30459.117,259.1909999999989,215.18700000003446
18,33900.5,30813.977,354.8600000000006,439.1259999999311
19,34683.562000000034,31486.201,672.224000000002,783.0620000000345
21,35697.812000000034,32655.367,1169.1659999999974,1014.25
24,37104.75,34374.875,1719.5080000000016,1406.9379999999655
27,39536.687000000034,36576.902,2202.027000000002,2431.9370000000345
30,41657.937000000034,39225.938,2649.036,2121.25
