Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
0,152.93700000000536,503.59882,438.61292,152.93700000000536
3,428.43700000000536,1301.768,798.1691800000001,275.5
5,979.6399999999994,1870.6906,568.9225999999999,551.2029999999941
7,1586.5930000000008,2412.0847,541.3941,606.9530000000013
9,1967.8430000000008,2891.259,479.17430000000013,381.25
10,2153.0620000000054,3297.6257,406.36670000000004,185.2190000000046
11,2520.875,3787.8647,490.23900000000003,367.81299999999464
13,3228.5149999999994,4474.375,686.5102999999999,707.6399999999994
15,3722.703000000001,5212.7524,738.3774000000003,494.18800000000147
16,4317.389999999999,5737.34,524.5875999999998,594.6869999999985
17,4520.828000000001,6057.498,320.15799999999945,203.43800000000192
18,4853.672000000006,6344.499,287.0010000000002,332.8440000000046
17,5086.139999999999,6610.5264,266.02739999999994,232.46799999999348
18,5432.343000000001,6947.946,337.4196000000002,346.20300000000134
19,5931.828000000001,7486.8945,538.9485000000004,499.4850000000006
20,6354.859000000004,7975.1987,488.3041999999996,423.0310000000027
20,6505.297000000006,8234.038,258.83930000000055,150.43800000000192
20,6731.531000000003,8463.956,229.91799999999967,226.23399999999674
20,6964.828000000001,8673.636,209.6800000000003,233.29699999999866
21,7208.312000000005,8872.492,198.85599999999977,243.48400000000402
20,7400.281000000003,9051.861,179.3690000000006,191.96899999999732
19,7634.5,9224.339,172.47799999999916,234.21899999999732
19,7848.969000000005,9377.7,153.3610000000008,214.4690000000046
18,8092.203000000001,9524.053,146.35299999999916,243.23399999999674
17,8288.656000000003,9666.023,141.96999999999935,196.45300000000134
15,8498.469000000005,9817.864,151.84100000000035,209.81300000000192
14,8707.062000000005,9971.871,154.0069999999996,208.59300000000076
13,8934.047000000006,10115.607,143.7360000000008,226.98500000000058
10,9117.531000000004,10265.22,149.61299999999937,183.48399999999856
10,9344.156000000004,10430.032,164.8119999999999,226.625
10,9555.312000000004,10614.945,184.91300000000047,211.15599999999904
10,9854.859000000004,10807.541,192.59599999999955,299.5470000000005
10,10366.109000000004,11002.003,194.46200000000135,511.25
10,10968.109000000004,11213.844,211.84099999999853,602.0
11,11476.843,11468.996,255.15200000000004,508.73399999999674
11,12082.5,11716.78,247.78400000000147,605.6569999999992
12,12555.656000000004,11981.109,264.3289999999997,473.1560000000045
12,13117.047000000006,12290.207,309.09799999999996,561.3910000000014
13,13716.14,12803.073,512.866,599.0929999999935
15,14501.625,13529.104,726.030999999999,785.4850000000006
16,15168.343,14196.322,667.2180000000008,666.7180000000008
17,15965.234000000004,14610.885,414.5630000000001,796.8910000000033
17,16010.531000000004,14765.949,155.0640000000003,45.29700000000048
16,16102.031000000004,14915.732,149.78299999999945,91.5
14,16302.328,15074.912,159.1800000000003,200.29699999999502
13,16692.125,15251.146,176.23400000000038,389.7970000000005
13,16856.547000000006,15399.466,148.3199999999997,164.42200000000594
13,16993.547000000006,15514.987,115.52099999999882,137.0
12,17121.875,15681.261,166.27400000000125,128.32799999999406
12,17431.375,15982.645,301.384,309.5
14,17727.297000000006,16636.725,654.0799999999981,295.92200000000594
15,18303.25,17234.223,597.4980000000032,575.9529999999941
16,18995.0,17882.266,648.0429999999978,691.75
18,19855.39,18848.732,966.4660000000003,860.3899999999994
20,20727.828,20082.129,1233.3970000000008,872.4380000000019
22,21764.984000000004,21286.422,1204.2929999999978,1037.1560000000027
23,21804.343,21599.15,312.7280000000028,39.35899999999674
23,21899.093,21748.52,149.36999999999898,94.75
24,22495.359000000004,21967.828,219.3080000000009,596.2660000000033
24,22747.843,22220.14,252.31199999999808,252.48399999999674
24,22903.734000000004,22446.43,226.29000000000087,155.89100000000326
24,23127.656000000003,22611.627,165.19700000000012,223.92199999999866
24,23357.64,22734.463,122.83599999999933,229.98399999999674
22,23582.031000000003,22864.95,130.487000000001,224.39100000000326
22,23797.625,23020.967,156.01699999999983,215.59399999999732
22,24104.54700000001,23313.262,292.29499999999825,306.9220000000096
23,24732.54700000001,23945.25,631.9880000000012,628.0
25,25696.437000000005,24682.914,737.6640000000007,963.8899999999958
25,26292.765,25158.617,475.7029999999977,596.3279999999941
26,27080.078,25850.484,691.867000000002,787.3130000000019
28,27891.765,26860.875,1010.3909999999996,811.6869999999981
29,28950.515,27795.344,934.469000000001,1058.75
31,29635.609000000004,28892.63,1097.286,685.0940000000046
31,29896.75,29642.766,750.1359999999986,261.140999999996
32,30052.609000000004,29819.041,176.27500000000146,155.85900000000402
32,30269.234000000004,29904.338,85.29699999999866,216.625
31,30475.04700000001,30022.758,118.42000000000189,205.81300000000556
29,30780.562000000005,30148.635,125.87699999999677,305.5149999999958
27,31071.156000000003,30272.322,123.68700000000172,290.5939999999973
25,31354.734000000004,30404.607,132.28499999999985,283.57800000000134
23,31600.67200000001,30550.42,145.81299999999828,245.93800000000556
23,31849.062000000005,30697.771,147.3510000000024,248.38999999999578
22,32113.67200000001,30843.979,146.20799999999872,264.6100000000042
21,32409.093000000008,30995.963,151.98400000000038,295.42099999999846
21,32642.265,31164.11,168.14700000000084,233.17199999999139
21,32919.172000000006,31405.512,241.40199999999822,276.9070000000065
22,33429.0,31878.781,473.26900000000023,509.82799999999406
23,34412.875,32454.586,575.8050000000003,983.875
24,34978.312000000005,33090.734,636.1479999999974,565.4370000000054
25,35739.687000000005,33857.67,766.9360000000015,761.375
27,36552.656,34729.582,871.9120000000039,812.9689999999973
28,37117.562000000005,35201.59,472.00799999999435,564.9060000000027
28,37291.5,35462.273,260.68300000000454,173.93799999999464
29,37493.32800000001,35732.957,270.6840000000011,201.82800000000861
29,37834.422000000006,35970.03,237.07299999999668,341.0939999999973
29,38319.875,36234.418,264.387999999999,485.45299999999406
30,38757.406,36674.035,439.61700000000565,437.5310000000027
30,39003.422000000006,36793.785,119.75,246.01600000000326
30,39194.59300000001,36902.754,108.96899999999732,191.1710000000021
29,39423.781,37030.105,127.35100000000239,229.18799999999464
27,39612.562000000005,37160.06,129.95499999999447,188.78100000000268
26,39827.70300000001,37278.51,118.45000000000437,215.14100000000326
24,40040.031,37402.8,124.29000000000087,212.32799999999406
23,40194.937000000005,37525.207,122.40699999999924,154.90600000000268
23,40317.70300000001,37667.363,142.1559999999954,122.76600000000326
23,40498.70300000001,37844.62,177.25700000000506,181.0
23,40719.172000000006,38192.89,348.2699999999968,220.46899999999732
24,40978.95300000001,38633.02,440.1299999999974,259.7810000000027
24,41096.625,38792.6,159.58000000000175,117.67199999999139
24,41243.812000000005,38918.934,126.33400000000256,147.18700000000536
24,41367.562000000005,39086.645,167.7109999999957,123.75
25,41605.109,39335.246,248.6010000000024,237.54699999999139
25,41760.422000000006,39525.973,190.72699999999895,155.3130000000092
25,41937.625,39692.02,166.04699999999866,177.20299999999406
25,42124.562000000005,39849.566,157.5460000000021,186.93700000000536
25,42323.531,39998.35,148.78399999999965,198.96899999999732
25,42472.484,40130.496,132.14600000000064,148.95299999999406
24,42657.172000000006,40251.496,121.0,184.6880000000092
24,42830.312000000005,40369.914,118.41799999999785,173.13999999999942
22,43040.547000000006,40503.11,133.19600000000355,210.23500000000058
20,43190.0,40634.336,131.2260000000024,149.45299999999406
19,43362.281,40760.6,126.26399999999558,172.28100000000268
17,43539.09300000001,40890.78,130.1800000000003,176.81200000000536
16,43748.375,41022.965,132.18499999999767,209.28199999999197
15,43892.375,41162.7,139.73500000000058,144.0
13,44073.172000000006,41309.52,146.8199999999997,180.79700000000594
