Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
62,110.625,193.31528,165.577756,110.625
62,239.5,364.31396,170.99868,128.875
60,369.375,523.94745,159.63349,129.875
58,507.625,677.7777,153.83024999999998,138.25
56,626.625,822.9192,145.14150000000006,119.0
54,776.125,960.0697,137.15049999999997,149.5
51,1025.875,1100.3569,140.28719999999998,249.75
49,1341.5,1254.2009,153.84400000000005,315.625
46,1624.5,1448.919,194.71810000000005,283.0
43,1978.625,1667.5896,218.67059999999992,354.125
41,2340.875,1887.8806,220.29099999999994,362.25
37,2740.25,2061.045,173.16440000000011,399.375
34,3019.875,2215.69,154.64499999999998,279.625
32,3340.625,2361.1177,145.42769999999973,320.75
31,3658.25,2488.3755,127.25780000000032,317.625
30,3989.5,2600.603,112.22749999999996,331.25
27,4230.625,2704.64,104.03699999999981,241.125
26,4471.0,2822.8948,118.25480000000016,240.375
24,4696.25,2968.5693,145.67450000000008,225.25
21,4940.625,3129.2036,160.6342999999997,244.375
19,5133.875,3283.8494,154.64580000000024,193.25
16,5327.875,3440.1262,156.2768000000001,194.0
12,5536.0,3601.6904,161.5641999999998,208.125
10,5752.25,3756.4482,154.75779999999986,216.25
9,5912.25,3912.5017,156.05349999999999,160.0
8,6103.125,4082.0166,169.51490000000013,190.875
8,6294.25,4316.4316,234.41499999999996,191.125
9,6804.75,4794.994,478.5623999999998,510.5
11,7445.75,5497.38,702.3860000000004,641.0
12,8088.625,6204.7163,707.3362999999999,642.875
14,8799.0,7037.9487,833.2323999999999,710.375
16,9766.75,7987.543,949.5942999999997,967.75
19,10744.375,9168.248,1180.705,977.625
22,12065.75,10510.225,1341.9770000000008,1321.375
25,13867.25,12181.341,1671.116,1801.5
29,16555.0,14245.466,2064.125,2687.75
32,18992.75,16356.596,2111.129999999999,2437.75
36,22535.625,19202.93,2846.3340000000007,3542.875
41,26634.875,22767.734,3564.804,4099.25
44,31174.125,25497.398,2729.6640000000007,4539.25
44,31361.0,25795.664,298.2659999999996,186.875
44,31637.875,25983.932,188.26800000000003,276.875
44,32062.5,26415.908,431.97599999999875,424.625
45,33400.75,27636.6,1220.691999999999,1338.25
47,35052.625,29388.973,1752.3730000000032,1651.875
49,37575.125,31582.705,2193.732,2522.5
51,39945.125,33677.824,2095.118999999999,2370.0
52,40835.75,34641.867,964.0429999999978,890.625
53,41443.875,35122.45,480.5829999999987,608.125
52,41930.25,35490.113,367.66300000000047,486.375
52,42309.375,35795.457,305.3440000000046,379.125
52,42746.0,36050.977,255.5199999999968,436.625
51,43063.375,36329.504,278.52700000000186,317.375
51,43401.125,36721.617,392.11299999999756,337.75
51,43907.375,37340.312,618.6949999999997,506.25
52,45039.375,38106.83,766.5180000000037,1132.0
52,45542.375,38704.01,597.1800000000003,503.0
52,45996.625,39175.35,471.3399999999965,454.25
52,46652.875,39634.02,458.66999999999825,656.25
52,47464.0,40208.37,574.3500000000058,811.125
53,48333.75,41193.207,984.8369999999995,869.75
54,50086.5,42727.727,1534.5199999999968,1752.75
56,52406.125,44923.113,2195.3859999999986,2319.625
58,54972.5,47320.758,2397.645000000004,2566.375
60,57226.125,49550.305,2229.5469999999987,2253.625
61,58750.625,50532.03,981.7249999999985,1524.5
60,58999.375,50844.344,312.3139999999985,248.75
60,59499.125,51155.83,311.4860000000044,499.75
60,59741.875,51398.1,242.2699999999968,242.75
59,60008.125,51595.684,197.58400000000256,266.25
59,60253.375,51735.457,139.77300000000105,245.25
58,60313.875,51834.598,99.14099999999598,60.5
57,60313.875,51895.78,61.1820000000007,0.0
56,60313.875,51942.902,47.12200000000303,0.0
55,60313.875,51991.152,48.25,0.0
54,60313.875,52049.94,58.788000000000466,0.0
53,60313.875,52123.38,73.43999999999505,0.0
51,60313.875,52218.746,95.3660000000018,0.0
50,60333.25,52311.418,92.67199999999866,19.375
49,60724.625,52424.09,112.67199999999866,391.375
48,60970.0,52580.637,156.54700000000594,245.375
48,61263.625,52764.96,184.32299999999668,293.625
47,61650.75,53068.637,303.6770000000033,387.125
47,62103.875,53460.32,391.68299999999726,453.125
47,62454.25,53933.637,473.31700000000274,350.375
47,63005.5,54546.027,612.3899999999994,551.25
48,64282.625,55364.277,818.25,1277.125
48,64930.375,55908.926,544.6489999999976,647.75
48,65269.375,56223.117,314.1909999999989,339.0
47,65547.75,56316.24,93.12299999999959,278.375
46,65603.5,56343.367,27.127000000000407,55.75
45,65859.125,56550.965,207.59799999999814,255.625
46,66718.125,57225.55,674.5850000000064,859.0
47,68215.375,58511.32,1285.7699999999968,1497.25
