Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
37,6147.0,5615.3135,3538.3281,4929.5
39,7236.0,6929.9404,1314.6269000000002,1089.0
40,8185.0,7878.88,948.9395999999997,949.0
41,9263.0,8870.672,991.7920000000004,1078.0
42,10195.0,9724.031,853.3590000000004,932.0
42,10406.0,10123.959,399.9279999999999,211.0
42,10599.5,10495.13,371.17099999999846,193.5
41,10758.5,10969.147,474.01700000000164,159.0
44,14192.5,12436.97,1467.8229999999985,3434.0
44,14329.5,13019.258,582.2880000000005,137.0
44,14737.0,13654.837,635.5789999999997,407.5
45,15812.0,14554.794,899.9570000000003,1075.0
46,17347.5,15723.633,1168.839,1535.5
47,17798.5,16599.148,875.5150000000012,451.0
47,18156.0,17115.205,516.0570000000007,357.5
47,18898.0,17564.049,448.8439999999973,742.0
47,21950.0,18132.734,568.6850000000013,3052.0
48,22770.0,19195.541,1062.8070000000007,820.0
49,24360.0,20783.812,1588.2710000000006,1590.0
51,26395.0,22810.143,2026.3309999999983,2035.0
52,27335.5,23880.525,1070.3820000000014,940.5
52,28024.5,24404.4,523.875,689.0
52,28745.0,24963.717,559.3169999999991,720.5
52,29371.5,25747.93,784.2129999999997,626.5
56,34555.0,28106.895,2358.965,5183.5
56,34998.5,28690.312,583.4170000000013,443.5
56,35573.0,29237.318,547.0059999999976,574.5
56,36177.0,29834.414,597.0960000000014,604.0
56,37148.5,30559.418,725.0040000000008,971.5
57,38015.0,31336.457,777.038999999997,866.5
57,38919.0,32126.953,790.4960000000028,904.0
57,39552.5,32978.77,851.8169999999955,633.5
58,42765.5,33830.547,851.7770000000019,3213.0
58,43384.0,34591.676,761.1290000000008,618.5
58,44006.0,35281.56,689.8839999999982,622.0
58,44445.5,35936.62,655.060000000005,439.5
58,44857.0,36550.477,613.8569999999963,411.5
58,45179.5,37054.07,503.59300000000076,322.5
57,45529.5,37436.37,382.3000000000029,350.0
57,45734.0,37738.18,301.8099999999977,204.5
56,45751.5,37884.04,145.86000000000058,17.5
55,45751.5,37929.94,45.900000000001455,0.0
54,45751.5,37961.734,31.793999999994412,0.0
53,45751.5,38033.035,71.30100000000675,0.0
52,46078.0,38231.312,198.2769999999946,326.5
52,46534.5,38840.53,609.2180000000008,456.5
53,47253.0,40202.33,1361.800000000003,718.5
54,48402.5,42266.348,2064.0179999999964,1149.5
58,52994.5,45849.703,3583.355000000003,4592.0
59,54123.0,48551.46,2701.756999999998,1128.5
61,56273.5,51767.312,3215.851999999999,2150.5
63,59006.0,55233.785,3466.4730000000054,2732.5
65,61643.5,58224.35,2990.564999999995,2637.5
64,61765.5,58408.31,183.95999999999913,122.0
64,61868.0,58552.05,143.74000000000524,102.5
63,62159.0,58584.184,32.133999999998196,291.0
61,63405.5,58622.34,38.1559999999954,1246.5
61,63827.5,58876.92,254.58000000000175,422.0
61,64828.0,59690.28,813.3600000000006,1000.5
62,66072.5,61096.375,1406.0950000000012,1244.5
63,68166.0,62934.574,1838.1990000000005,2093.5
64,70128.0,64914.46,1979.8859999999986,1962.0
65,71638.5,66428.84,1514.3799999999974,1510.5
65,71890.0,67006.93,578.0899999999965,251.5
65,74680.5,67417.016,410.08600000001024,2790.5
65,74691.5,67703.72,286.7039999999979,11.0
64,74691.5,67946.34,242.61999999999534,0.0
63,75146.5,68260.305,313.9649999999965,455.0
64,78353.5,68832.24,571.9350000000122,3207.0
64,78720.0,69318.52,486.27999999999884,366.5
63,79117.0,69663.89,345.36999999999534,397.0
63,79566.5,70040.38,376.49000000000524,449.5
63,81536.0,70564.734,524.3539999999921,1969.5
63,82215.0,71362.586,797.851999999999,679.0
64,82926.0,72329.83,967.244000000006,711.0
64,83610.5,72962.49,632.6600000000035,684.5
64,84029.5,73304.305,341.8149999999878,419.0
63,84153.5,73535.08,230.77500000000873,124.0
63,84164.5,73679.836,144.75599999999395,11.0
62,84164.5,73749.3,69.46400000000722,0.0
58,84164.5,73807.69,58.38999999999942,0.0
58,84164.5,73839.77,32.080000000001746,0.0
57,84164.5,73873.04,33.26999999998952,0.0
56,84164.5,73923.3,50.26000000000931,0.0
53,84164.5,74001.94,78.63999999999942,0.0
51,84164.5,74088.66,86.72000000000116,0.0
49,84233.5,74223.46,134.8000000000029,69.0
46,84425.5,74411.02,187.55999999999767,192.0
32,85050.0,74604.98,193.95999999999185,624.5
32,85132.5,74757.22,152.24000000000524,82.5
31,85260.0,74906.63,149.4100000000035,127.5
31,85439.0,75075.8,169.16999999999825,179.0
30,85880.5,75446.586,370.7859999999928,441.5
31,86715.5,76282.53,835.9440000000031,835.0
33,87943.5,77816.38,1533.8500000000058,1228.0
35,89940.0,80008.97,2192.5899999999965,1996.5
41,96289.5,83339.53,3330.5599999999977,6349.5
41,96548.5,84200.56,861.0299999999988,259.0
42,97181.5,84539.37,338.8099999999977,633.0
42,97893.0,84736.37,197.0,711.5
39,98791.5,84860.3,123.93000000000757,898.5
39,99126.0,85049.086,188.78599999999278,334.5
39,100027.5,85561.125,512.0390000000043,901.5
40,101231.0,86716.06,1154.9349999999977,1203.5
42,103148.5,88563.64,1847.5800000000017,1917.5
44,105238.5,90770.73,2207.0899999999965,2090.0
46,107497.0,92762.55,1991.820000000007,2258.5
47,107996.0,93432.586,670.0359999999928,499.0
46,109476.0,93621.09,188.50400000000081,1480.0
45,109488.5,93759.02,137.93000000000757,12.5
45,109488.5,93917.96,158.94000000000233,0.0
44,109488.5,94032.89,114.92999999999302,0.0
38,109876.0,94179.055,146.1649999999936,387.5
38,110024.5,94329.64,150.5850000000064,148.5
37,110199.0,94495.98,166.3399999999965,174.5
37,110370.0,94717.62,221.63999999999942,171.0
36,110555.0,94933.375,215.75500000000466,185.0
36,110698.0,95165.07,231.69500000000698,143.0
36,110855.0,95384.94,219.86999999999534,157.0
35,111010.5,95547.055,162.1149999999907,155.5
29,111791.0,95744.11,197.05500000000757,780.5
28,111897.5,95902.47,158.36000000000058,106.5
27,112042.5,96074.37,171.89999999999418,145.0
28,112168.0,96484.06,409.6900000000023,125.5
