Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
25,1437.0,1326.3904,615.2023,528.375
27,2032.937999999965,1998.0312,671.6407999999999,595.9379999999651
27,2350.687999999965,2312.8848,314.8535999999999,317.75
27,2700.0620000000345,2595.2678,282.38300000000027,349.3740000000694
27,2884.25,2869.6663,274.3984999999998,184.18799999996554
27,3103.875,3132.1357,262.46939999999995,219.625
27,3259.3120000000345,3358.9321,226.79640000000018,155.43700000003446
26,3474.8120000000345,3542.251,183.3189000000002,215.5
26,3750.875,3757.0989,214.84789999999975,276.06299999996554
26,4228.5,4086.007,328.9081000000001,477.625
27,4951.25,4748.9595,662.9524999999999,722.75
29,6138.8120000000345,5832.7275,1083.768,1187.5620000000345
31,6999.875,6835.418,1002.6904999999997,861.0629999999655
32,7854.25,7499.309,663.8910000000005,854.375
33,8342.625,8006.525,507.21599999999944,488.375
33,8848.625,8398.636,392.1110000000008,506.0
33,9214.625,8753.451,354.8149999999987,366.0
33,9605.062000000034,9093.058,339.6070000000018,390.43700000003446
33,9977.25,9422.83,329.771999999999,372.18799999996554
33,10385.312000000034,9718.08,295.25,408.06200000003446
32,10656.125,9944.164,226.08400000000074,270.81299999996554
32,11006.75,10164.616,220.45199999999932,350.625
31,11324.937999999966,10352.659,188.04299999999967,318.18799999996554
30,11645.75,10541.409,188.75,320.81200000003446
30,11908.812000000034,10763.616,222.20700000000033,263.06200000003446
29,12202.437999999966,10948.6455,185.02950000000055,293.6259999999311
27,12464.687999999966,11112.01,163.36449999999968,262.25
23,12644.437999999966,11296.183,184.17300000000068,179.75
23,12758.125,11512.7705,216.58749999999964,113.68700000003446
22,12926.125,11814.167,301.3964999999989,168.0
23,13354.687999999966,12351.197,537.0300000000007,428.56299999996554
24,13911.5,12891.11,539.9130000000005,556.8120000000345
24,14036.312000000034,13245.183,354.0730000000003,124.81200000003446
24,14178.5,13526.154,280.97099999999955,142.18799999996554
23,14340.875,13799.777,273.6229999999996,162.375
24,14701.625,14160.749,360.97199999999975,360.75
24,15027.0,14468.653,307.90400000000045,325.375
24,15179.062000000034,14695.368,226.71500000000015,152.06200000003446
22,15331.312000000034,14874.282,178.91399999999885,152.25
22,15579.937999999966,15207.292,333.0100000000002,248.62599999993108
24,16222.5,16115.985,908.6930000000011,642.5620000000345
26,17193.125,17189.283,1073.2979999999989,970.625
28,18057.5,18239.707,1050.423999999999,864.375
30,18688.75,19036.973,797.2660000000033,631.25
