Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
0,152.93700000000536,457.46246,359.58463,152.93700000000536
3,428.43700000000536,1044.4207,586.9582399999999,275.5
5,979.6399999999994,1595.7966,551.3759,551.2029999999941
7,1586.5930000000008,2146.084,550.2873999999999,606.9530000000013
9,1967.8430000000008,2626.1733,480.0893000000001,381.25
10,2153.0620000000054,2972.8862,346.7129,185.2190000000046
11,2520.875,3412.6985,439.81230000000005,367.81299999999464
13,3228.5149999999994,4051.951,639.2525,707.6399999999994
15,3722.703000000001,4727.391,675.4399999999996,494.18800000000147
16,4317.389999999999,5243.9424,516.5514000000003,594.6869999999985
17,4520.828000000001,5632.1436,388.2012000000004,203.43800000000192
18,4853.672000000006,5888.8438,256.7001999999993,332.8440000000046
17,5086.139999999999,6130.1714,241.32760000000053,232.46799999999348
18,5432.343000000001,6476.155,345.98359999999957,346.20300000000134
19,5931.828000000001,6992.8,516.6450000000004,499.4850000000006
20,6354.859000000004,7377.187,384.3869999999997,423.0310000000027
20,6505.297000000006,7610.3657,233.1787000000004,150.43800000000192
20,6731.531000000003,7829.3623,218.9965999999995,226.23399999999674
20,6964.828000000001,8058.797,229.4346999999998,233.29699999999866
21,7208.312000000005,8290.013,231.21600000000126,243.48400000000402
20,7400.281000000003,8487.947,197.9339999999993,191.96899999999732
19,7634.5,8677.236,189.28900000000067,234.21899999999732
19,7848.969000000005,8864.834,187.59799999999996,214.4690000000046
18,8092.203000000001,9049.286,184.45199999999932,243.23399999999674
17,8288.656000000003,9231.026,181.73999999999978,196.45300000000134
15,8498.469000000005,9409.075,178.0490000000009,209.81300000000192
14,8707.062000000005,9583.253,174.17799999999988,208.59300000000076
13,8934.047000000006,9756.661,173.40799999999945,226.98500000000058
10,9117.531000000004,9928.829,172.16799999999967,183.48399999999856
10,9344.156000000004,10102.186,173.35699999999997,226.625
10,9555.312000000004,10292.998,190.8119999999999,211.15599999999904
10,9854.859000000004,10491.177,198.1790000000001,299.5470000000005
10,10366.109000000004,10697.783,206.60599999999977,511.25
10,10968.109000000004,10936.926,239.14300000000003,602.0
11,11476.843,11214.094,277.16799999999967,508.73399999999674
11,12082.5,11485.375,271.28100000000086,605.6569999999992
12,12555.656000000004,11745.346,259.97099999999955,473.1560000000045
12,13117.047000000006,12035.095,289.7489999999998,561.3910000000014
13,13716.14,12479.434,444.33899999999994,599.0929999999935
15,14501.625,13144.178,664.7440000000006,785.4850000000006
16,15168.343,13757.127,612.9490000000005,666.7180000000008
17,15965.234000000004,14112.224,355.09699999999975,796.8910000000033
17,16010.531000000004,14344.046,231.82200000000012,45.29700000000048
16,16102.031000000004,14543.356,199.3099999999995,91.5
14,16302.328,14723.463,180.10699999999997,200.29699999999502
13,16692.125,14889.585,166.1219999999994,389.7970000000005
13,16856.547000000006,15052.994,163.40900000000147,164.42200000000594
13,16993.547000000006,15213.943,160.9489999999987,137.0
12,17121.875,15399.274,185.33100000000013,128.32799999999406
12,17431.375,15708.251,308.97700000000077,309.5
14,17727.297000000006,16233.369,525.1180000000004,295.92200000000594
15,18303.25,16719.227,485.85799999999836,575.9529999999941
16,18995.0,17224.14,504.91300000000047,691.75
18,19855.39,17920.309,696.1690000000017,860.3899999999994
20,20727.828,18794.709,874.3999999999978,872.4380000000019
22,21764.984000000004,19610.81,816.1010000000024,1037.1560000000027
23,21804.343,19953.629,342.8189999999995,39.35899999999674
23,21899.093,20166.09,212.46099999999933,94.75
24,22495.359000000004,20391.018,224.92799999999988,596.2660000000033
24,22747.843,20633.898,242.88000000000102,252.48399999999674
24,22903.734000000004,20858.656,224.757999999998,155.89100000000326
24,23127.656000000003,21056.87,198.21399999999994,223.92199999999866
24,23357.64,21230.846,173.9760000000024,229.98399999999674
22,23582.031000000003,21392.602,161.75599999999758,224.39100000000326
22,23797.625,21570.443,177.84100000000035,215.59399999999732
22,24104.54700000001,21901.143,330.7000000000007,306.9220000000096
23,24732.54700000001,22487.182,586.0390000000007,628.0
25,25696.437000000005,23099.143,611.9609999999993,963.8899999999958
25,26292.765,23524.059,424.9160000000011,596.3279999999941
26,27080.078,24050.516,526.4569999999985,787.3130000000019
28,27891.765,24796.336,745.8199999999997,811.6869999999981
29,28950.515,25637.574,841.2380000000012,1058.75
31,29635.609000000004,26443.1,805.525999999998,685.0940000000046
31,29896.75,26949.209,506.1090000000004,261.140999999996
32,30052.609000000004,27207.873,258.66400000000067,155.85900000000402
32,30269.234000000004,27387.99,180.117000000002,216.625
31,30475.04700000001,27552.068,164.0779999999977,205.81300000000556
29,30780.562000000005,27700.945,148.8770000000004,305.5149999999958
27,31071.156000000003,27837.389,136.4439999999995,290.5939999999973
25,31354.734000000004,27967.592,130.20300000000134,283.57800000000134
23,31600.67200000001,28092.922,125.32999999999811,245.93800000000556
23,31849.062000000005,28214.0,121.07800000000134,248.38999999999578
22,32113.67200000001,28335.297,121.29699999999866,264.6100000000042
21,32409.093000000008,28464.041,128.74400000000242,295.42099999999846
21,32642.265,28624.496,160.4549999999981,233.17199999999139
21,32919.172000000006,28884.418,259.9220000000023,276.9070000000065
22,33429.0,29283.137,398.7189999999973,509.82799999999406
23,34412.875,29744.32,461.1830000000009,983.875
24,34978.312000000005,30226.568,482.2479999999996,565.4370000000054
25,35739.687000000005,30817.504,590.9360000000015,761.375
27,36552.656,31477.814,660.3099999999977,812.9689999999973
28,37117.562000000005,31899.664,421.8500000000022,564.9060000000027
28,37291.5,32176.457,276.79299999999785,173.93799999999464
29,37493.32800000001,32425.037,248.58000000000175,201.82800000000861
29,37834.422000000006,32667.904,242.86699999999837,341.0939999999973
