Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
68,368.25,845.46564,734.960895,368.25
69,1743.25,1844.9543,999.4886600000001,1375.0
69,2056.5,2282.3638,437.4095,313.25
68,2235.0,2466.0513,183.6875,178.5
68,2257.5,2557.744,91.69270000000006,22.5
67,2257.5,2596.3777,38.63369999999986,0.0
66,2257.5,2613.7607,17.38299999999981,0.0
65,2257.5,2627.2844,13.52370000000019,0.0
63,2257.5,2650.5486,23.264200000000073,0.0
61,2257.5,2684.3748,33.82619999999997,0.0
58,2257.5,2728.0803,43.70550000000003,0.0
55,2257.5,2782.313,54.23270000000002,0.0
52,2257.5,2850.4077,68.0947000000001,0.0
48,2257.5,2935.5056,85.09789999999975,0.0
45,2257.5,3034.3657,98.86009999999987,0.0
40,2257.5,3147.041,112.67530000000033,0.0
36,2257.5,3265.773,118.73199999999997,0.0
34,2257.5,3386.008,120.23499999999967,0.0
34,2339.25,3510.854,124.846,81.75
33,2487.75,3655.5432,144.68920000000026,148.5
33,2735.0,3844.1506,188.60739999999987,247.25
33,3008.5,4104.4404,260.28980000000047,273.5
33,3320.75,4468.092,363.65159999999923,312.25
34,4393.25,5065.873,597.781,1072.5
35,5548.75,6010.152,944.2790000000005,1155.5
37,7096.0,7305.6016,1295.4496,1547.25
39,8711.25,8847.836,1542.2343999999994,1615.25
41,10655.5,10255.037,1407.201000000001,1944.25
42,11510.5,11117.567,862.5299999999988,855.0
43,12090.25,11620.795,503.228000000001,579.75
43,12475.0,12086.253,465.45800000000054,384.75
44,13137.0,12808.01,721.7569999999996,662.0
45,14303.0,14015.817,1207.8069999999989,1166.0
47,16333.25,15563.225,1547.4080000000013,2030.25
48,18303.75,17170.156,1606.9309999999987,1970.5
50,19782.5,18668.58,1498.4240000000027,1478.75
51,20362.25,19808.963,1140.382999999998,579.75
52,21376.5,20699.002,890.0390000000007,1014.25
53,22397.0,21601.154,902.1519999999982,1020.5
54,23840.75,22804.883,1203.729000000003,1443.75
55,25715.0,24559.938,1755.0549999999967,1874.25
58,28724.0,26918.166,2358.228000000003,3009.0
59,30708.0,28297.385,1379.2189999999973,1984.0
59,30910.75,28663.277,365.8919999999998,202.75
58,31244.0,28912.652,249.375,333.25
58,31618.25,29125.312,212.6600000000035,374.25
58,31881.75,29313.88,188.5679999999993,263.5
57,32182.75,29494.584,180.7039999999979,301.0
57,32365.0,29711.59,217.00600000000122,182.25
57,32940.5,30087.205,375.6150000000016,575.5
57,33764.25,30798.049,710.8439999999973,823.75
58,34988.0,31930.076,1132.0270000000019,1223.75
59,36615.75,33342.3,1412.224000000002,1627.75
60,37529.25,34493.89,1151.5899999999965,913.5
60,37802.5,34998.49,504.59999999999854,273.25
60,38091.0,35216.938,218.44800000000396,288.5
59,38207.0,35339.367,122.42899999999645,116.0
58,38207.0,35455.29,115.9230000000025,0.0
58,38503.25,35648.152,192.862000000001,296.25
58,39117.0,36049.918,401.765999999996,613.75
58,39977.5,36764.78,714.862000000001,860.5
59,41436.5,37732.492,967.7119999999995,1459.0
60,42193.5,38578.457,845.9650000000038,757.0
60,42561.75,39043.945,465.48799999999756,368.25
60,42969.75,39356.0,312.0550000000003,408.0
60,43375.0,39582.145,226.1449999999968,405.25
59,43648.25,39772.61,190.46500000000378,273.25
59,43963.0,39961.69,189.08000000000175,314.75
59,44281.5,40156.504,194.8139999999985,318.5
58,44664.0,40349.113,192.60899999999674,382.5
58,44984.5,40531.92,182.8070000000007,320.5
58,45187.25,40671.95,140.02999999999884,202.75
57,45221.75,40755.695,83.74500000000262,34.5
56,45221.75,40815.21,59.51499999999942,0.0
56,45221.75,40860.17,44.95999999999913,0.0
55,45221.75,40894.25,34.080000000001746,0.0
54,45221.75,40918.668,24.417999999997846,0.0
53,45221.75,40933.004,14.336000000002969,0.0
52,45221.75,40944.004,11.0,0.0
51,45221.75,40958.25,14.245999999999185,0.0
50,45221.75,40977.938,19.68800000000192,0.0
49,45221.75,41005.258,27.31999999999971,0.0
48,45221.75,41044.36,39.10199999999895,0.0
47,45221.75,41100.44,56.080000000001746,0.0
47,45221.75,41177.566,77.12599999999657,0.0
45,45221.75,41268.797,91.23099999999977,0.0
43,45221.75,41363.9,95.1030000000028,0.0
41,45221.75,41453.184,89.28399999999965,0.0
39,45221.75,41543.582,90.39800000000105,0.0
36,45391.25,41639.598,96.01599999999598,169.5
34,45660.0,41736.8,97.20200000000477,268.75
32,45879.25,41836.535,99.73500000000058,219.25
