Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
23,374.0,411.1797,356.090386,374.0
24,908.625,1044.486,633.3063000000001,534.625
25,1437.0,1861.2241,816.7380999999998,528.375
27,2032.937999999965,2554.8582,693.6341000000002,595.9379999999651
27,2350.687999999965,2934.0618,379.2035999999998,317.75
27,2700.0620000000345,3256.4944,322.4326000000001,349.3740000000694
27,2884.25,3594.6934,338.19900000000007,184.18799999996554
27,3103.875,3919.7368,325.0434,219.625
27,3259.3120000000345,4166.904,247.16720000000032,155.43700000003446
26,3474.8120000000345,4369.6567,202.7526999999991,215.5
26,3750.875,4603.748,234.09130000000005,276.06299999996554
26,4228.5,4984.9053,381.15730000000076,477.625
27,4951.25,5692.3213,707.4159999999993,722.75
29,6138.8120000000345,6739.13,1046.8087000000005,1187.5620000000345
31,6999.875,7736.129,996.9989999999998,861.0629999999655
32,7854.25,8433.215,697.0860000000002,854.375
33,8342.625,8960.352,527.1370000000006,488.375
33,8848.625,9383.923,423.5709999999999,506.0
33,9214.625,9769.231,385.3079999999991,366.0
33,9605.062000000034,10151.45,382.21900000000096,390.43700000003446
33,9977.25,10515.063,363.6129999999994,372.18799999996554
33,10385.312000000034,10819.571,304.5079999999998,408.06200000003446
32,10656.125,11069.464,249.89300000000003,270.81299999996554
32,11006.75,11284.646,215.1820000000007,350.625
31,11324.937999999966,11480.871,196.22499999999854,318.18799999996554
30,11645.75,11681.061,200.1900000000005,320.81200000003446
30,11908.812000000034,11897.738,216.67699999999968,263.06200000003446
29,12202.437999999966,12113.044,215.3060000000005,293.6259999999311
27,12464.687999999966,12323.99,210.9459999999999,262.25
23,12644.437999999966,12521.603,197.61299999999937,179.75
23,12758.125,12723.376,201.77300000000105,113.68700000003446
22,12926.125,13029.567,306.1909999999989,168.0
23,13354.687999999966,13570.067,540.5,428.56299999996554
24,13911.5,14105.284,535.2170000000006,556.8120000000345
24,14036.312000000034,14437.063,331.77900000000045,124.81200000003446
24,14178.5,14711.458,274.39500000000044,142.18799999996554
23,14340.875,15011.96,300.5019999999986,162.375
24,14701.625,15395.768,383.8080000000009,360.75
24,15027.0,15762.552,366.78399999999965,325.375
24,15179.062000000034,16023.453,260.90099999999984,152.06200000003446
22,15331.312000000034,16276.332,252.87900000000081,152.25
22,15579.937999999966,16632.637,356.3049999999985,248.62599999993108
24,16222.5,17365.822,733.1850000000013,642.5620000000345
26,17193.125,18440.25,1074.4279999999999,970.625
28,18057.5,19598.426,1158.1759999999995,864.375
30,18688.75,20526.871,928.4449999999997,631.25
31,19088.5,21096.773,569.9020000000019,399.75
32,19659.68799999997,21664.344,567.5709999999999,571.1879999999692
33,20457.5,22591.582,927.2379999999976,797.8120000000308
36,21768.062000000034,24045.857,1454.2750000000015,1310.5620000000345
38,22965.93799999997,25622.488,1576.6310000000012,1197.8759999999347
40,24047.43799999997,26593.736,971.2479999999996,1081.5
40,24216.125,27030.379,436.64300000000003,168.68700000003082
40,24418.375,27267.258,236.87900000000081,202.25
39,24554.375,27446.88,179.6219999999994,136.0
39,24781.5,27625.025,178.14500000000044,227.125
39,25022.875,27810.436,185.41100000000006,241.375
38,25284.5,27978.646,168.20999999999913,261.625
38,25498.68799999997,28126.877,148.23099999999977,214.18799999996918
36,25728.18799999997,28265.0,138.1229999999996,229.5
34,25961.0,28390.16,125.15999999999985,232.81200000003082
32,26191.5,28496.574,106.41400000000067,230.5
31,26387.75,28605.037,108.46299999999974,196.25
30,26609.68799999997,28805.814,200.77699999999822,221.93799999996918
31,27021.375,29383.809,577.9950000000026,411.6870000000308
33,27983.25,30429.555,1045.7459999999992,961.875
35,28725.625,31406.367,976.8119999999981,742.375
36,29625.68799999997,32029.07,622.7030000000013,900.0629999999692
37,30267.5,32689.406,660.3359999999993,641.8120000000308
39,31443.0,33498.426,809.0200000000004,1175.5
40,32376.0,34445.926,947.5,933.0
42,33737.125,35742.76,1296.8340000000026,1361.125
44,35165.562000000034,37412.152,1669.3919999999998,1428.4370000000345
47,36625.875,38931.586,1519.434000000001,1460.3129999999655
47,37003.5,39515.72,584.1339999999982,377.625
48,37309.25,39841.797,326.0769999999975,305.75
47,37492.062000000034,40059.625,217.82800000000134,182.81200000003446
47,37523.187999999966,40236.617,176.99199999999837,31.125999999931082
46,37523.187999999966,40406.23,169.61300000000483,0.0
46,37523.187999999966,40577.473,171.24299999999494,0.0
45,37523.187999999966,40744.24,166.76699999999983,0.0
45,37523.187999999966,40891.53,147.29000000000087,0.0
44,37523.187999999966,41013.33,121.80000000000291,0.0
43,37523.187999999966,41126.56,113.22999999999593,0.0
43,37523.187999999966,41259.53,132.97000000000116,0.0
42,37661.937999999966,41487.48,227.95000000000437,138.75
43,38004.375,41974.133,486.6529999999984,342.43700000003446
44,38944.75,42842.047,867.913999999997,940.375
46,40098.312000000034,43820.633,978.586000000003,1153.5620000000345
47,41163.937999999966,44556.05,735.4170000000013,1065.625999999931
48,41618.312000000034,45166.5,610.4499999999971,454.3740000000689
49,42068.875,45744.996,578.4959999999992,450.56299999996554
50,42531.937999999966,46340.715,595.7189999999973,463.06299999996554
51,43534.062000000034,47035.773,695.0580000000045,1002.1240000000689
52,44616.875,47933.355,897.5820000000022,1082.8129999999655
54,45825.25,48963.785,1030.4300000000003,1208.375
55,46969.375,49855.54,891.7549999999974,1144.125
56,47727.062000000034,50577.207,721.6670000000013,757.6870000000345
57,48101.875,51131.184,553.976999999999,374.81299999996554
57,48272.875,51509.92,378.73599999999715,171.0
56,48336.125,51813.76,303.8400000000038,63.25
56,48618.312000000034,52093.51,279.75,282.18700000003446
56,48770.187999999966,52384.57,291.0599999999977,151.87599999993108
56,48910.812000000034,52653.957,269.38700000000244,140.62400000006892
56,49175.375,52898.895,244.93799999999464,264.56299999996554
56,49454.187999999966,53147.723,248.82800000000134,278.81299999996554
56,49672.812000000034,53407.438,259.7150000000038,218.62400000006892
56,49923.687999999966,53629.24,221.80199999999604,250.87599999993108
56,50149.812000000034,53780.61,151.37000000000262,226.12400000006892
55,50402.125,53883.19,102.58000000000175,252.31299999996554
55,50609.687999999966,53965.645,82.45499999999447,207.56299999996554
54,50820.75,54047.402,81.75700000000506,211.06200000003446
53,51023.812000000034,54135.008,87.60599999999977,203.06200000003446
51,51247.75,54225.01,90.00200000000041,223.93799999996554
50,51414.25,54313.15,88.13999999999942,166.5
48,51581.25,54404.26,91.11000000000058,167.0
46,51763.437999999966,54496.85,92.58999999999651,182.18799999996554
45,51974.875,54588.25,91.40000000000146,211.43700000003446
43,52160.562000000034,54691.55,103.30000000000291,185.68700000003446
41,52462.937999999966,54813.375,121.82499999999709,302.3759999999311
38,52840.312000000034,54947.184,133.8090000000011,377.3740000000689
35,53231.875,55082.66,135.4760000000024,391.56299999996554
33,53530.25,55219.055,136.3949999999968,298.375
30,53826.562000000034,55362.457,143.40200000000186,296.31200000003446
26,54104.125,55509.023,146.5659999999989,277.56299999996554
22,54376.062000000034,55650.11,141.08699999999953,271.93700000003446
21,54573.625,55789.727,139.61699999999837,197.56299999996554
20,54786.312000000034,55962.8,173.07300000000396,212.68700000003446
20,55077.75,56239.254,276.4539999999979,291.43799999996554
20,55876.937999999966,56694.27,455.015999999996,799.1879999999655
22,56597.75,57351.223,656.9530000000013,720.8120000000345
23,57484.75,57948.566,597.3430000000008,887.0
24,58390.687999999966,58430.87,482.3040000000037,905.9379999999655
25,58769.25,58829.996,399.12599999999657,378.56200000003446
25,58969.062000000034,59127.72,297.724000000002,199.81200000003446
25,59273.937999999966,59398.594,270.87399999999616,304.8759999999311
25,59661.0,59711.176,312.58200000000215,387.06200000003446
25,60235.437999999966,60109.58,398.40400000000227,574.4379999999655
26,60583.0,60563.516,453.9360000000015,347.56200000003446
26,60837.437999999966,60945.05,381.53399999999965,254.43799999996554
26,61143.562000000034,61277.8,332.75,306.1240000000689
26,61550.375,61593.496,315.6959999999963,406.81299999996554
26,61761.187999999966,61850.58,257.08400000000256,210.81299999996554
25,61963.5,62044.164,193.58399999999529,202.31200000003446
24,62106.687999999966,62219.63,175.46600000000035,143.18799999996554
23,62269.812000000034,62393.773,174.14300000000367,163.12400000006892
22,62404.937999999966,62572.27,178.49699999999575,135.12599999993108
21,62537.25,62754.883,182.61300000000483,132.31200000003446
19,62669.25,62936.28,181.3969999999972,132.0
18,62806.375,63115.137,178.8570000000036,137.125
16,62894.0,63291.945,176.80799999999726,87.625
13,62990.187999999966,63463.633,171.68800000000192,96.18799999996554
12,63082.375,63631.754,168.12099999999919,92.18700000003446
10,63290.187999999966,63804.684,172.9300000000003,207.81299999996554
9,63530.625,64003.305,198.62099999999919,240.43700000003446
9,63780.312000000034,64306.223,302.91799999999785,249.68700000003446
10,64252.625,64808.805,502.58200000000215,472.31299999996554
12,65231.937999999966,65480.2,671.3949999999968,979.3129999999655
14,65964.18799999997,66273.984,793.7839999999997,732.25
17,67205.375,67314.04,1040.0559999999969,1241.1870000000345
20,68875.5,68767.02,1452.9800000000105,1670.125
24,70468.5,70470.19,1703.1699999999983,1593.0
