Speed,Actual,Predicted
0.0,0.0,87.74809
0.0,0.0,775.23456
0.0,0.0,2001.5312
0.0,0.0,2797.6313
0.0,0.0,3525.9185
0.0,0.0,4089.3127
0.0,0.0,4768.535
0.0,0.0,6060.465
0.0,0.0,8131.8643
0.0,0.0,10707.833
0.0,0.0,13214.104
0.0,0.0,15554.975
0.0,0.0,17799.18
0.0,0.0,20180.281
0.0,0.0,22704.965
0.0,0.0,26447.506
0.0,0.0,31374.387
0.0,0.0,37142.35
0.0,0.0,43260.332
0.0,28.05586283,49797.55
0.0,502.8454093,57390.062
0.0,2199.895879,64383.766
0.0,3902.091261,70183.18
0.0,5650.745575,75032.836
0.0,6896.563883,79967.06
0.0,8109.698285,85014.625
0.0,9223.547152,90621.03
0.0,10393.04038,96143.984
0.0,11648.52019,101615.336
0.0,13189.13136,107310.2
0.349211836,14536.18128,113130.266
4.707065819,16068.72207,119011.89
7.030143805,17205.16164,124920.836
7.955613938,18314.82011,130832.2
8.695035951,18920.93473,136726.44
11.00076051,20237.47884,142593.81
12.77876106,21614.91911,148430.56
13.57252489,23417.48797,154225.5
13.6171875,24893.95561,159951.19
13.3431969,26188.34845,165560.6
13.27668695,27605.09831,170986.47
13.35287611,28984.80241,176135.6
13.42699115,30583.38122,180884.08
13.47856748,31921.46585,185080.42
12.39926715,33029.38772,188558.4
9.748064159,33460.4122,191182.95
6.654867257,34200.82937,192966.06
4.634679204,34978.69856,193972.67
1.531664823,35819.33393,194095.8
0.026548673,36562.46045,194387.66
0.0,37271.10509,200118.52
0.0,37842.12016,208948.27
0.0,38370.88178,222281.2
0.0,38865.62168,235214.47
0.0,39407.42658,244365.67
0.0,39873.28789,250225.98
0.0,40438.22995,254720.2
0.0,40950.65998,259400.44
0.0,41481.37237,264465.4
0.0,42008.47027,269548.53
0.0,42562.09859,274588.7
0.0,43108.04466,280521.34
0.0,43643.05227,286089.22
0.0,44204.56333,290868.3
0.0,44753.64671,294775.88
0.0,45315.81388,299288.4
0.0,45828.90514,304147.84
0.0,46392.33476,309742.0
0.0,46906.67105,315376.5
0.0,47469.97027,321295.6
0.0,47932.37832,327814.2
0.90161781,48262.79231,334146.22
2.994330752,48654.49972,340240.78
4.644081858,49050.87154,346154.75
7.233061394,49847.92132,351919.6
10.61843197,50897.8508,357562.16
14.31229259,52352.6846,363110.7
18.07708794,53954.84098,368586.9
20.95056692,55270.80213,374007.34
22.71792035,56280.54729,379383.78
24.38965708,57346.88468,384727.16
26.6772677,58913.0531,390056.38
28.95706582,60241.60772,395364.56
31.0210177,61650.60329,400658.4
31.99336283,62518.52088,405942.16
32.07190265,63127.27378,411211.0
31.84955752,63633.81762,416449.97
31.57411504,64114.51632,421634.88
31.30088496,64710.87887,426730.38
31.11456029,65257.30199,431687.1
30.91689712,65913.01881,436438.1
30.7920354,66443.29231,440894.16
30.65203263,67104.94718,444942.97
30.625,67691.67575,448454.34
30.625,68377.30752,451310.1
30.625,68987.77876,453403.9
30.625,69623.71612,454849.97
30.67809735,70249.21834,455704.5
30.85619469,70950.90445,455572.28
30.94358407,71614.09264,455724.56
31.0,72242.08048,461555.5
31.03761062,72927.81886,468210.5
31.10985896,73535.53595,474382.5
31.14988938,74231.31485,479982.16
31.20381637,74827.99157,485319.25
31.25,75493.14076,490555.1
31.12894082,76088.35232,495758.88
30.10723175,76525.93874,500966.44
27.35259956,76701.66496,506166.84
24.75442478,76719.64063,511318.9
21.64180033,76729.74281,516332.12
18.42097622,76963.96322,520966.72
16.06208518,77225.13814,525447.7
13.9663302,77468.79231,529963.5
11.26603982,77640.1698,534174.9
8.331374447,77838.67298,538078.4
4.521086836,78037.18238,541626.25
1.201949668,78310.61186,544805.3
0.024681969,78552.10523,547248.56
0.0,78754.16759,550324.2
0.0,78969.63924,553946.56
0.0,79166.83117,558289.56
0.0,79384.2453,562532.2
0.0,79586.88675,566623.7
0.0,79805.54909,571278.0
0.0,79999.37279,575106.75
0.0,80202.16773,577891.1
0.0,80404.41814,581012.5
0.0,80576.80296,584670.6
0.0,80792.41662,588993.0
0.0,80975.30379,593523.8
