Speed,Actual,Predicted,predicted_diff,actual_diff
0,0,417.65576,0,0
0,0,844.6216,426.96584,0
0,0,1172.4885,327.8669,0
0,0,1363.0791,190.5906,0
0,0,1476.6941,113.615,0
0,0,1592.6343,115.9402,0
0,0,1746.6477,154.0134,0
0,0,1933.4368,186.7891,0
0,0,2135.7935,202.3567,0
0,0,2338.9968,203.2033,0
0,0,2531.3567,192.3599,0
0,0,2703.8538,172.4971,0
0,0,2852.4827,148.6289,0
0,0,2981.2134,128.7307,0
0,0,3102.092,120.8786,0
0,0,3227.0242,124.9322,0
0,0,3349.6338,122.6096,0
0,0,3437.6213,87.9875,0
0,0,3485.7063,48.085,0
0,28.05586283,3648.4404,162.7341,28.05586283
0,502.8454093,4196.6094,548.169,474.7895465
0,2199.895879,4873.903,677.2936,1697.05047
0,3902.091261,5430.8613,556.9583,1702.195382
0,5650.745575,5890.2373,459.376,1748.654314
0,6896.563883,6351.499,461.2617,1245.818308
0,8109.698285,6857.96,506.461,1213.134402
0,9223.547152,7368.7217,510.7617,1113.848867
0,10393.04038,7848.7295,480.0078,1169.493228
0,11648.52019,8348.543,499.8135,1255.47981
0,13189.13136,8892.524,543.981,1540.61117
0.349211836,14536.18128,9499.644,607.12,1347.04992
4.707065819,16068.72207,10159.1,659.456,1532.54079
7.030143805,17205.16164,10803.528,644.428,1136.43957
7.955613938,18314.82011,11439.411,635.883,1109.65847
8.695035951,18920.93473,12159.925,720.514,606.11462
11.00076051,20237.47884,13016.33,856.405,1316.54411
12.77876106,21614.91911,13894.775,878.445,1377.44027
13.57252489,23417.48797,14704.168,809.393,1802.56886
13.6171875,24893.95561,15424.88,720.712,1476.46764
13.3431969,26188.34845,16096.186,671.306,1294.39284
13.27668695,27605.09831,16770.625,674.439,1416.74986
13.35287611,28984.80241,17457.352,686.727,1379.7041
13.42699115,30583.38122,18150.479,693.127,1598.57881
13.47856748,31921.46585,18784.422,633.943,1338.08463
12.39926715,33029.38772,19238.646,454.224,1107.92187
9.748064159,33460.4122,19523.22,284.574,431.02448
6.654867257,34200.82937,19750.143,226.923,740.41717
4.634679204,34978.69856,19986.836,236.693,777.86919
