Speed,Actual,Predicted
0.0,0.0,-206.73982
0.0,0.0,-307.3611
0.0,0.0,-284.27573
0.0,0.0,-212.77924
0.0,0.0,-134.86627
0.0,0.0,-64.44067
0.0,0.0,-3.5022202
0.0,0.0,49.506424
0.0,0.0,96.66673
0.0,0.0,139.748
0.0,0.0,180.11711
0.0,0.0,218.88129
0.0,0.0,257.1123
0.0,0.0,296.12177
0.0,0.0,337.81805
0.0,0.0,385.26254
0.0,0.0,443.76883
0.0,0.0,523.3541
0.0,0.0,644.20734
0.0,28.05586283,866.19745
0.0,502.8454093,1331.4719
0.0,2199.895879,1908.6531
0.0,3902.091261,2468.0308
0.0,5650.745575,2990.0173
0.0,6896.563883,3491.3086
0.0,8109.698285,3987.2725
0.0,9223.547152,4470.37
0.0,10393.04038,4927.4346
0.0,11648.52019,5381.0176
0.0,13189.13136,5840.94
0.349211836,14536.18128,6369.9395
4.707065819,16068.72207,7320.718
7.030143805,17205.16164,8076.0244
7.955613938,18314.82011,8645.51
8.695035951,18920.93473,9255.802
11.00076051,20237.47884,10152.618
12.77876106,21614.91911,11048.125
13.57252489,23417.48797,11802.008
13.6171875,24893.95561,12440.011
13.3431969,26188.34845,13039.831
13.27668695,27605.09831,13680.992
13.35287611,28984.80241,14356.298
13.42699115,30583.38122,15033.037
13.47856748,31921.46585,15667.101
12.39926715,33029.38772,16126.012
9.748064159,33460.4122,16410.21
6.654867257,34200.82937,16645.13
4.634679204,34978.69856,16934.973
1.531664823,35819.33393,17163.959
0.026548673,36562.46045,17477.312
0.0,37271.10509,17884.54
0.0,37842.12016,18297.562
0.0,38370.88178,18693.385
0.0,38865.62168,19077.473
0.0,39407.42658,19455.328
0.0,39873.28789,19831.354
0.0,40438.22995,20206.535
0.0,40950.65998,20585.014
0.0,41481.37237,20963.643
0.0,42008.47027,21344.016
0.0,42562.09859,21724.266
0.0,43108.04466,22103.832
0.0,43643.05227,22484.676
0.0,44204.56333,22865.402
0.0,44753.64671,23247.338
0.0,45315.81388,23628.4
0.0,45828.90514,24009.676
0.0,46392.33476,24388.963
0.0,46906.67105,24763.5
0.0,47469.97027,25129.234
0.0,47932.37832,25480.348
0.90161781,48262.79231,25915.457
2.994330752,48654.49972,26495.209
4.644081858,49050.87154,27128.414
7.233061394,49847.92132,28007.87
10.61843197,50897.8508,29194.164
14.31229259,52352.6846,30556.549
18.07708794,53954.84098,31920.633
20.95056692,55270.80213,33071.254
22.71792035,56280.54729,34004.27
24.38965708,57346.88468,34973.777
26.6772677,58913.0531,36130.64
28.95706582,60241.60772,37222.3
31.0210177,61650.60329,38254.867
31.99336283,62518.52088,39053.9
32.07190265,63127.27378,39653.215
31.84955752,63633.81762,40184.918
31.57411504,64114.51632,40715.25
31.30088496,64710.87887,41257.695
31.11456029,65257.30199,41817.47
30.91689712,65913.01881,42379.574
30.7920354,66443.29231,42950.086
30.65203263,67104.94718,43521.03
30.625,67691.67575,44107.242
30.625,68377.30752,44699.35
30.625,68987.77876,45291.215
30.625,69623.71612,45884.086
30.67809735,70249.21834,46489.05
30.85619469,70950.90445,47113.754
