Speed,Actual,Predicted,predicted_diff,actual_diff
0,0,123.632324,0,0
0,0,284.25537,160.623046,0
0,0,471.5791,187.32373,0
0,0,678.68823,207.10913,0
0,0,901.09033,222.4021,0
0,0,1136.0422,234.95187,0
0,0,1382.0706,246.0284,0
0,0,1638.6345,256.5639,0
0,0,1905.888,267.2535,0
0,0,2184.5117,278.6237,0
0,0,2475.5903,291.0786,0
0,0,2780.5203,304.93,0
0,0,3100.9314,320.4111,0
0,0,3438.6113,337.6799,0
0,0,3795.4214,356.8101,0
0,0,4173.1885,377.7671,0
0,0,4573.564,400.3755,0
0,0,4997.826,424.262,0
0,0,5446.6113,448.7853,0
0,28.05586283,5919.544,472.9327,28.05586283
0,502.8454093,6413.965,494.421,474.7895465
0,2199.895879,6921.9565,507.9915,1697.05047
0,3902.091261,7439.3613,517.4048,1702.195382
0,5650.745575,7965.6987,526.3374,1748.654314
0,6896.563883,8501.456,535.7573,1245.818308
0,8109.698285,9047.22,545.764,1213.134402
0,9223.547152,9603.472,556.252,1113.848867
0,10393.04038,10171.0625,567.5905,1169.493228
0,11648.52019,10751.219,580.1565,1255.47981
0,13189.13136,11344.223,593.004,1540.61117
0.349211836,14536.18128,11949.965,605.742,1347.04992
4.707065819,16068.72207,12567.837,617.872,1532.54079
7.030143805,17205.16164,13196.156,628.319,1136.43957
7.955613938,18314.82011,13832.865,636.709,1109.65847
8.695035951,18920.93473,14475.168,642.303,606.11462
11.00076051,20237.47884,15118.974,643.806,1316.54411
12.77876106,21614.91911,15758.963,639.989,1377.44027
13.57252489,23417.48797,16390.697,631.734,1802.56886
13.6171875,24893.95561,17010.723,620.026,1476.46764
13.3431969,26188.34845,17616.422,605.699,1294.39284
13.27668695,27605.09831,18205.57,589.148,1416.74986
13.35287611,28984.80241,18775.918,570.348,1379.7041
13.42699115,30583.38122,19325.719,549.801,1598.57881
13.47856748,31921.46585,19853.908,528.189,1338.08463
12.39926715,33029.38772,20360.654,506.746,1107.92187
9.748064159,33460.4122,20848.596,487.942,431.02448
6.654867257,34200.82937,21321.781,473.185,740.41717
4.634679204,34978.69856,21784.004,462.223,777.86919
1.531664823,35819.33393,22238.303,454.299,840.63537
0.026548673,36562.46045,22687.617,449.314,743.12652
0,37271.10509,23134.035,446.418,708.64464
0,37842.12016,23579.188,445.153,571.01507
0,38370.88178,24023.865,444.677,528.76162
0,38865.62168,24469.064,445.199,494.7399
0,39407.42658,24915.713,446.649,541.8049
0,39873.28789,25364.74,449.027,465.86131
0,40438.22995,25817.04,452.3,564.94206
0,40950.65998,26273.559,456.519,512.43003
0,41481.37237,26735.182,461.623,530.71239
0,42008.47027,27202.99,467.808,527.0979
0,42562.09859,27678.113,475.123,553.62832
0,43108.04466,28161.877,483.764,545.94607
0,43643.05227,28655.781,493.904,535.00761
0,44204.56333,29161.432,505.651,561.51106
0,44753.64671,29680.664,519.232,549.08338
0,45315.81388,30215.445,534.781,562.16717
0,45828.90514,30767.994,552.549,513.09126
0,46392.33476,31340.635,572.641,563.42962
0,46906.67105,31935.85,595.215,514.33629
0,47469.97027,32556.193,620.343,563.29922
0,47932.37832,33204.223,648.03,462.40805
0.90161781,48262.79231,33882.574,678.351,330.41399
2.994330752,48654.49972,34592.523,709.949,391.70741
4.644081858,49050.87154,35333.848,741.325,396.37182
7.233061394,49847.92132,36104.293,770.445,797.04978
10.61843197,50897.8508,36899.65,795.357,1049.92948
14.31229259,52352.6846,37714.69,815.04,1454.8338
18.07708794,53954.84098,38545.32,830.63,1602.15638
20.95056692,55270.80213,39388.902,843.582,1315.96115
22.71792035,56280.54729,40243.14,854.238,1009.74516
24.38965708,57346.88468,41105.48,862.34,1066.33739
26.6772677,58913.0531,41972.91,867.43,1566.16842
28.95706582,60241.60772,42843.02,870.11,1328.55462
31.0210177,61650.60329,43716.39,873.37,1408.99557
31.99336283,62518.52088,44590.98,874.59,867.91759
32.07190265,63127.27378,45465.195,874.215,608.7529
31.84955752,63633.81762,46338.043,872.848,506.54384
31.57411504,64114.51632,47208.867,870.824,480.6987
31.30088496,64710.87887,48077.15,868.283,596.36255
31.11456029,65257.30199,48942.402,865.252,546.42312
30.91689712,65913.01881,49804.133,861.731,655.71682
30.7920354,66443.29231,50661.812,857.679,530.2735
30.65203263,67104.94718,51514.832,853.02,661.65487
30.625,67691.67575,52362.465,847.633,586.72857
30.625,68377.30752,53203.81,841.345,685.63177
30.625,68987.77876,54037.78,833.97,610.47124
30.625,69623.71612,54863.13,825.35,635.93736
30.67809735,70249.21834,55678.4,815.27,625.50222
30.85619469,70950.90445,56481.883,803.483,701.68611
30.94358407,71614.09264,57271.61,789.727,663.18819
31,72242.08048,58045.45,773.84,627.98784
31.03761062,72927.81886,58801.098,755.648,685.73838
31.10985896,73535.53595,59536.098,735,607.71709
31.14988938,74231.31485,60247.88,711.782,695.7789
31.20381637,74827.99157,60933.855,685.975,596.67672
31.25,75493.14076,61591.53,657.675,665.14919
31.12894082,76088.35232,62218.688,627.158,595.21156
30.10723175,76525.93874,62813.72,595.032,437.58642
27.35259956,76701.66496,63376.18,562.46,175.72622
24.75442478,76719.64063,63907.33,531.15,17.97567
21.64180033,76729.74281,64409.098,501.768,10.10218
18.42097622,76963.96322,64884.445,475.347,234.22041
16.06208518,77225.13814,65337.086,452.641,261.17492
13.9663302,77468.79231,65769.984,432.898,243.65417
11.26603982,77640.1698,66185.58,415.596,171.37749
8.331374447,77838.67298,66587.016,401.436,198.50318
4.521086836,78037.18238,66977.516,390.5,198.5094
1.201949668,78310.61186,67360.21,382.694,273.42948
0.024681969,78552.10523,67737.78,377.57,241.49337
0,78754.16759,68111.984,374.204,202.06236
0,78969.63924,68484.46,372.476,215.47165
0,79166.83117,68856.28,371.82,197.19193
0,79384.2453,69228.586,372.306,217.41413
0,79586.88675,69602.41,373.824,202.64145
0,79805.54909,69978.6,376.19,218.66234
0,79999.37279,70358.1,379.5,193.8237
0,80202.16773,70741.945,383.845,202.79494
0,80404.41814,71131.14,389.195,202.25041
0,80576.80296,71526.87,395.73,172.38482
0,80792.41662,71930.41,403.54,215.61366
0,80975.30379,72343.13,412.72,182.88717
0,81197.34859,72766.6,423.47,222.0448
0,81381.69953,73202.53,435.93,184.35094
0,81594.25747,73652.83,450.3,212.55794
0,81794.35205,74119.56,466.73,200.09458
0,81994.28844,74604.99,485.43,199.93639
0,82208.60454,75111.5,506.51,214.3161
0,82414.1203,75641.55,530.05,205.51576
0,82628.57329,76197.61,556.06,214.45299
0,82818.65169,76782.05,584.44,190.0784
0.164477323,83058.38274,77396.92,614.87,239.73105
1.503318584,83352.98783,78043.75,646.83,294.60509
3.168487279,83808.13067,78722.31,678.56,455.14284
6.62963219,84566.56305,79430.414,708.104,758.43238
8.779867257,85475.43238,80164.88,734.466,908.86933
10.73160951,86274.57218,80923.555,758.675,799.1398
12.69365321,87341.04522,81703.945,780.39,1066.47304
14.70132743,88201.90072,82505.1,801.155,860.8555
16.49557522,89157.80572,83327.65,822.55,955.905
18.3803927,90023.99558,84171.37,843.72,866.18986
20.17284292,91026.92091,85035.33,863.96,1002.92533
22.09983407,91980.05738,85917.97,882.64,953.13647
23.86144912,93163.9393,86817.85,899.88,1183.88192
25.52488938,94107.20617,87734.59,916.74,943.26687
27.08476217,95170.78236,88670.13,935.54,1063.57619
28.61946903,96132.05973,89623.586,953.456,961.27737
30.23990597,97238.1297,90593.62,970.034,1106.06997
31.82860896,98281.51162,91578.53,984.91,1043.38192
33.71059181,99540.00277,92576.33,997.8,1258.49115
35.75926438,100886.1081,93584.68,1008.35,1346.10533
37.50331858,102175.4599,94601.17,1016.49,1289.3518
38.98748617,103619.1088,95623.72,1022.55,1443.6489
40.38779038,104870.717,96652.18,1028.46,1251.6082
41.80565542,106309.7967,97685.555,1033.375,1439.0797
43.64159292,107731.1181,98721.6,1036.045,1421.3214
45.61386892,109525.122,99757.6,1036,1794.0039
47.68846792,111130.4046,100790.65,1033.05,1605.2826
49.15286228,112719.9092,101817.92,1027.27,1589.5046
49.29728982,113533.1402,102837.3,1019.38,813.231
49.09637721,114179.3211,103848.125,1010.825,646.1809
48.7680448,114651.1177,104851.414,1003.289,471.7966
48.54646018,115283.9194,105847.29,995.876,632.8017
48.38398783,115925.7996,106835.77,988.48,641.8802
48.28159569,116662.1998,107816.39,980.62,736.4002
48.29639104,117406.4469,108788.52,972.13,744.2471
48.37582965,118181.4295,109751.4,962.88,774.9826
48.45326327,119002.8446,110704.164,952.764,821.4151
48.4940542,119656.3819,111645.94,941.776,653.5373
48.33268805,120354.3868,112575.94,930,698.0049
47.76631637,120755.0835,113493.59,917.65,400.6967
46.34015487,120880.2825,114398.74,905.15,125.199
44.58655973,120881.2031,115291.7,892.96,0.9206
41.73237002,120881.2031,116173.1,881.4,0
38.94821626,120881.2031,117043.4,870.3,0
36.84935011,120881.2031,117902.39,858.99,0
35.28097345,120881.2031,118751.125,848.735,0
34.17685288,121244.9596,119590.4,839.275,363.7565
33.75442478,121773.8182,120420.56,830.16,528.8586
33.79756637,122519.5307,121241.414,820.854,745.7125
33.95167312,123188.7027,122052.22,810.806,669.172
34.06768529,123887.8476,122851.86,799.64,699.1449
34.31747788,124607.8468,123638.93,787.07,719.9992
34.46591538,125247.9614,124411.71,772.78,640.1146
34.64677821,125980.16,125168.25,756.54,732.1986
