Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
0,0,-737.4663,51.7189,0
0,0,-612.56396,124.90234,0
0,0,-437.0967,175.46726,0
0,0,-237.19255,199.90415,0
0,0,-38.50296,198.68959,0
0,0,136.95206,175.45502,0
0,0,273.38055,136.42849,0
0,0,363.53323,90.15268,0
0,0,410.84,47.30677,0
0,0,431.1651,20.3251,0
0,0,453.5759,22.4108,0
0,0,519.06903,65.49313,0
0,0,675.83307,156.76404,0
0,0,969.60046,293.76739,0
0,28.05586283,1428.4772,458.87674,28.05586283
0,502.8454093,2045.4258,616.9486,474.7895465
0,2199.895879,2773.7046,728.2788,1697.05047
0,3902.091261,3548.7258,775.0212,1702.195382
0,5650.745575,4313,764.2742,1748.654314
0,6896.563883,5027.5083,714.5083,1245.818308
0,8109.698285,5672.784,645.2757,1213.134402
0,9223.547152,6246.168,573.384,1113.848867
0,10393.04038,6758.5747,512.4067,1169.493228
0,11648.52019,7230.107,471.5323,1255.47981
0,13189.13136,7684.97,454.863,1540.61117
0.349211836,14536.18128,8148.8564,463.8864,1347.04992
4.707065819,16068.72207,8647.944,499.0876,1532.54079
7.030143805,17205.16164,9207.717,559.773,1136.43957
7.955613938,18314.82011,9849.3125,641.5955,1109.65847
8.695035951,18920.93473,10583.47,734.1575,606.11462
11.00076051,20237.47884,11405.109,821.639,1316.54411
12.77876106,21614.91911,12293.844,888.735,1377.44027
13.57252489,23417.48797,13221.001,927.157,1802.56886
13.6171875,24893.95561,14156.651,935.65,1476.46764
13.3431969,26188.34845,15072.741,916.09,1294.39284
13.27668695,27605.09831,15942.405,869.664,1416.74986
13.35287611,28984.80241,16738.84,796.435,1379.7041
13.42699115,30583.38122,17437.203,698.363,1598.57881
13.47856748,31921.46585,18019.719,582.516,1338.08463
12.39926715,33029.38772,18482.725,463.006,1107.92187
9.748064159,33460.4122,18840.91,358.185,431.02448
6.654867257,34200.82937,19123.457,282.547,740.41717
4.634679204,34978.69856,19364.898,241.441,777.86919
1.531664823,35819.33393,19596.893,231.995,840.63537
0.026548673,36562.46045,19843.2,246.307,743.12652
0,37271.10509,20117.576,274.376,708.64464
0,37842.12016,20424.145,306.569,571.01507
0,38370.88178,20759.428,335.283,528.76162
0,38865.62168,21116.225,356.797,494.7399
0,39407.42658,21487,370.775,541.8049
0,39873.28789,21866.025,379.025,465.86131
0,40438.22995,22250.256,384.231,564.94206
0,40950.65998,22639.146,388.89,512.43003
0,41481.37237,23033.777,394.631,530.71239
0,42008.47027,23435.805,402.028,527.0979
0,42562.09859,23846.188,410.383,553.62832
0,43108.04466,24264.078,417.89,545.94607
0,43643.05227,24685.941,421.863,535.00761
0,44204.56333,25105.197,419.256,561.51106
0,44753.64671,25512.816,407.619,549.08338
0,45315.81388,25898.883,386.067,562.16717
0,45828.90514,26255.184,356.301,513.09126
0,46392.33476,26578.496,323.312,563.42962
0,46906.67105,26874.309,295.813,514.33629
0,47469.97027,27160.053,285.744,563.29922
0,47932.37832,27466.559,306.506,462.40805
0.90161781,48262.79231,27835.416,368.857,330.41399
2.994330752,48654.49972,28310.605,475.189,391.70741
4.644081858,49050.87154,28926.41,615.805,396.37182
7.233061394,49847.92132,29694.758,768.348,797.04978
10.61843197,50897.8508,30598.748,903.99,1049.92948
14.31229259,52352.6846,31597.91,999.162,1454.8338
18.07708794,53954.84098,32643.34,1045.43,1602.15638
20.95056692,55270.80213,33691.3,1047.96,1315.96115
22.71792035,56280.54729,34707.914,1016.614,1009.74516
24.38965708,57346.88468,35668.4,960.486,1066.33739
26.6772677,58913.0531,36557.73,889.33,1566.16842
28.95706582,60241.60772,37375.395,817.665,1328.55462
31.0210177,61650.60329,38134.94,759.545,1408.99557
31.99336283,62518.52088,38853.027,718.087,867.91759
32.07190265,63127.27378,39544.64,691.613,608.7529
31.84955752,63633.81762,40222.016,677.376,506.54384
31.57411504,64114.51632,40894.117,672.101,480.6987
31.30088496,64710.87887,41566.324,672.207,596.36255
31.11456029,65257.30199,42240.508,674.184,546.42312
30.91689712,65913.01881,42915.61,675.102,655.71682
30.7920354,66443.29231,43588.605,672.995,530.2735
30.65203263,67104.94718,44255.656,667.051,661.65487
30.625,67691.67575,44913.24,657.584,586.72857
30.625,68377.30752,45559.176,645.936,685.63177
30.625,68987.77876,46193.504,634.328,610.47124
30.625,69623.71612,46818.973,625.469,635.93736
30.67809735,70249.21834,47440.938,621.965,625.50222
30.85619469,70950.90445,48066.57,625.632,701.68611
30.94358407,71614.09264,48703.594,637.024,663.18819
31,72242.08048,49358.59,654.996,627.98784
31.03761062,72927.81886,50034.848,676.258,685.73838
31.10985896,73535.53595,50730.11,695.262,607.71709
31.14988938,74231.31485,51434.88,704.77,695.7789
31.20381637,74827.99157,52131.97,697.09,596.67672
31.25,75493.14076,52798,666.03,665.14919
31.12894082,76088.35232,53407.15,609.15,595.21156
30.10723175,76525.93874,53936.805,529.655,437.58642
27.35259956,76701.66496,54373.46,436.655,175.72622
24.75442478,76719.64063,54715.973,342.513,17.97567
21.64180033,76729.74281,54974.906,258.933,10.10218
18.42097622,76963.96322,55169.746,194.84,234.22041
16.06208518,77225.13814,55323.79,154.044,261.17492
13.9663302,77468.79231,55458.17,134.38,243.65417
11.26603982,77640.1698,55589.332,131.162,171.37749
8.331374447,77838.67298,55729.81,140.478,198.50318
4.521086836,78037.18238,55888.684,158.874,198.5094
1.201949668,78310.61186,56071.043,182.359,273.42948
0.024681969,78552.10523,56277.387,206.344,241.49337
0,78754.16759,56504.234,226.847,202.06236
0,78969.63924,56745.875,241.641,215.47165
0,79166.83117,56996.016,250.141,197.19193
0,79384.2453,57249.473,253.457,217.41413
0,79586.88675,57503.023,253.55,202.64145
0,79805.54909,57755.527,252.504,218.66234
0,79999.37279,58007.816,252.289,193.8237
0,80202.16773,58262.14,254.324,202.79494
0,80404.41814,58521.195,259.055,202.25041
0,80576.80296,58787.156,265.961,172.38482
0,80792.41662,59060.7,273.544,215.61366
0,80975.30379,59340.273,279.573,182.88717
0,81197.34859,59621.973,281.7,222.0448
0,81381.69953,59899.984,278.011,184.35094
0,81594.25747,60167.664,267.68,212.55794
0,81794.35205,60419.254,251.59,200.09458
0,81994.28844,60652.152,232.898,199.93639
0,82208.60454,60869.31,217.158,214.3161
0,82414.1203,61081.406,212.096,205.51576
0,82628.57329,61308.055,226.649,214.45299
0,82818.65169,61577.023,268.968,190.0784
0.164477323,83058.38274,61920.48,343.457,239.73105
1.503318584,83352.98783,62367.395,446.915,294.60509
3.168487279,83808.13067,62933.223,565.828,455.14284
6.62963219,84566.56305,63612.49,679.267,758.43238
8.779867257,85475.43238,64380.055,767.565,908.86933
10.73160951,86274.57218,65199.223,819.168,799.1398
12.69365321,87341.04522,66032.3,833.077,1066.47304
14.70132743,88201.90072,66852.29,819.99,860.8555
16.49557522,89157.80572,67646.945,794.655,955.905
18.3803927,90023.99558,68412.73,765.785,866.18986
20.17284292,91026.92091,69147.914,735.184,1002.92533
22.09983407,91980.05738,69850.58,702.666,953.13647
23.86144912,93163.9393,70523.17,672.59,1183.88192
25.52488938,94107.20617,71179.586,656.416,943.26687
27.08476217,95170.78236,71844.47,664.884,1063.57619
28.61946903,96132.05973,72541.56,697.09,961.27737
30.23990597,97238.1297,73286.305,744.745,1106.06997
31.82860896,98281.51162,74082.83,796.525,1043.38192
33.71059181,99540.00277,74924.195,841.365,1258.49115
35.75926438,100886.1081,75795.914,871.719,1346.10533
37.50331858,102175.4599,76682.62,886.706,1289.3518
38.98748617,103619.1088,77576.3,893.68,1443.6489
40.38779038,104870.717,78479.375,903.075,1251.6082
41.80565542,106309.7967,79395.89,916.515,1439.0797
43.64159292,107731.1181,80321.02,925.13,1421.3214
45.61386892,109525.122,81236.87,915.85,1794.0039
47.68846792,111130.4046,82115.04,878.17,1605.2826
49.15286228,112719.9092,82925.266,810.226,1589.5046
49.29728982,113533.1402,83647.266,722,813.231
49.09637721,114179.3211,84280.54,633.274,646.1809
48.7680448,114651.1177,84844.71,564.17,471.7966
48.54646018,115283.9194,85369.95,525.24,632.8017
48.38398783,115925.7996,85887.195,517.245,641.8802
48.28159569,116662.1998,86420.48,533.285,736.4002
48.29639104,117406.4469,86983.08,562.6,744.2471
48.37582965,118181.4295,87576.79,593.71,774.9826
48.45326327,119002.8446,88193.67,616.88,821.4151
48.4940542,119656.3819,88819.63,625.96,653.5373
48.33268805,120354.3868,89438.91,619.28,698.0049
47.76631637,120755.0835,90038.57,599.66,400.6967
46.34015487,120880.2825,90611.66,573.09,125.199
44.58655973,120881.2031,91157.71,546.05,0.9206
41.73237002,120881.2031,91680.305,522.595,0
38.94821626,120881.2031,92183.195,502.89,0
36.84935011,120881.2031,92669.836,486.641,0
35.28097345,120881.2031,93146.5,476.664,0
