Speed,Actual,Predicted
0.0,0.0,320.54056
0.0,0.0,662.8439
0.0,0.0,1027.2821
0.0,0.0,1390.3323
0.0,0.0,1736.0294
0.0,0.0,2058.163
0.0,0.0,2357.8145
0.0,0.0,2639.943
0.0,0.0,2910.5137
0.0,0.0,3174.3916
0.0,0.0,3435.2246
0.0,0.0,3695.1362
0.0,0.0,3955.5435
0.0,0.0,4217.2812
0.0,0.0,4481.093
0.0,0.0,4748.114
0.0,0.0,5019.5215
0.0,0.0,5296.823
0.0,0.0,5581.4414
0.0,0.0,5874.377
0.0,0.0,6175.6157
0.0,0.0,6483.4414
0.0,0.0,6794.987
0.0,0.0,7106.694
0.0,43.26544118,7368.9355
0.0,488.2805147,7863.277
0.0,1662.4501839999998,8539.199
0.0,3278.359007,9200.878
0.0,4633.737132,9804.919
0.0,5822.9625,10358.888
0.0,6841.637868,10903.607
0.0,7884.108824,11448.973
0.0,8781.567096,11999.367
0.0,9683.277941,12583.391
0.0,10582.53971,13286.034
0.0,11604.92096,14131.455
0.0,12922.2489,15012.665
0.0,14026.03051,15915.285
1.629136029,15182.61967,16822.414
5.593014706,16302.07574,17711.61
7.062683824,17236.17188,18549.8
7.827481618,18200.74724,19188.832
8.223529412,18688.62537,19841.982
9.620220588,19415.40625,20734.879
11.51654412,20493.29026,21734.4
12.83235294,21690.81563,22784.549
13.54347426,23171.54449,23734.443
13.64264706,24388.73254,24617.52
13.53152574,25483.36893,25439.514
13.27058824,26478.97794,26245.338
13.27665441,27713.63658,27101.52
13.34558824,28848.21581,27974.02
13.375,29977.62537,28842.566
13.49944853,31157.43658,29681.652
13.41470588,32382.48989,30305.78
12.26994485,33049.17243,30697.742
10.17389706,33398.09559,31054.174
7.503308824,33909.06563,31418.932
5.598805147,34583.52243,31814.713
3.999816176,35243.91857,32219.186
1.167279412,35876.11379,32637.256
0.030882353,36485.20515,33044.863
0.0,37056.71691,33420.38
0.0,37579.9807,33788.58
0.0,38027.02518,34139.008
0.0,38409.44761,34488.406
0.0,38819.13787,34835.96
0.0,39243.47114,35181.27
0.0,39662.53125,35526.29
0.0,40058.21691,35871.52
0.0,40486.48732,36217.215
0.0,40895.85386,36564.57
0.0,41358.48989,36911.4
0.0,41767.24945,37257.883
0.0,42197.1193,37603.73
0.0,42628.83952,37949.707
0.0,43066.31893,38295.55
0.0,43515.90368,38641.32
0.0,43963.77243,38987.36
0.0,44399.6204,39333.277
0.0,44834.85754,39679.734
0.0,45298.73235,40025.746
0.0,45725.09007,40372.83
0.0,46147.64154,40720.76
0.0,46580.79632,41071.184
0.0,46999.03658,41422.527
0.0,47462.46268,41758.86
0.0,47865.2136,42047.016
0.11875,48133.17316,42338.51
1.879871324,48417.02279,42635.582
3.301470588,48708.50625,42959.74
4.619944853,49047.44945,43434.613
6.617555147,49643.53107,44145.414
9.218933824,50487.65938,45042.516
12.15634191,51463.34614,46063.93
15.05634191,52595.73401,47275.082
18.17049632,54020.78051,48359.605
20.5078125,55113.72371,49202.48
22.20441176,55910.33824,49951.28
23.31617647,56654.32316,50795.82
24.87720588,57746.25,51794.996
26.79007353,58923.23805,52829.95
28.61498162,60072.12996,53773.863
30.36056985,61134.22684,54605.99
31.62352941,62114.43676,55273.883
32.08529412,62709.87224,55787.094
32.06617647,63154.52574,56197.46
31.9,63533.20129,56585.82
31.65,63975.80699,56991.918
31.44705882,64391.46875,57416.36
31.23759191,64835.63805,57841.848
31.10735294,65312.18199,58265.074
30.93069853,65829.46765,58686.254
30.85,66286.25184,59106.555
30.70707721,66761.78713,59534.344
30.62637868,67244.24816,59975.24
30.625,67755.83364,60423.36
30.625,68304.33088,60885.105
30.625,68811.84779,61332.01
30.625,69305.71949,61771.25
30.625,69770.5579,62238.156
30.69264706,70343.90386,62735.066
