Speed,Actual,Predicted,2,,,
0,0,-140.49112,280,134414,108605,0.807987012
0,0,-212.41272,560,104825,103659,0.988882697
0,0,-183.92102,840,97550,110690,1.134702581
0,0,-65.11991,1120,138464,131178,0.947380192
0,0,116.98675,1530,337146,392884,1.165320767
0,0,333.04526,,,,
0,0,558.5995,,,,
0,0,776.73535,,,,
0,0,978.0707,,,,
0,0,1159.3898,,,,
0,0,1321.742,,,,
0,0,1468.4845,,,,
0,0,1603.5333,,,,
0,0,1729.954,,,,
0,0,1848.9733,,,,
0,0,1959.4917,,,,
0,0,2058.2112,,,,
0,0,2140.5408,,,,
0,0,2202.481,,,,
0,0,2243.6772,,,,
0,0,2271.7378,,,,
0,0,2307.667,,,,
0,0,2391.7766,,,,
0,0,2588.5598,,,,
0,43.26544118,2981.7454,,,,
0,488.2805147,3614.9343,,,,
0,1662.450184,4375.12,,,,
0,3278.359007,5119.665,,,,
0,4633.737132,5794.562,,,,
0,5822.9625,6387.9653,,,,
0,6841.637868,6922.3906,,,,
0,7884.108824,7421.5596,,,,
0,8781.567096,7897.921,,,,
0,9683.277941,8358.148,,,,
0,10582.53971,8811.546,,,,
0,11604.92096,9282.634,,,,
0,12922.2489,9766.575,,,,
0,14026.03051,10256.599,,,,
1.629136029,15182.61967,10744.479,,,,
5.593014706,16302.07574,11228.088,,,,
7.062683824,17236.17188,11717.787,,,,
7.827481618,18200.74724,12236.999,,,,
8.223529412,18688.62537,12807.174,,,,
9.620220588,19415.40625,13450.572,,,,
11.51654412,20493.29026,14137.7295,,,,
12.83235294,21690.81563,14828.327,,,,
13.54347426,23171.54449,15491.682,,,,
13.64264706,24388.73254,16115.787,,,,
13.53152574,25483.36893,16710.307,,,,
13.27058824,26478.97794,17297.457,,,,
13.27665441,27713.63658,17894.002,,,,
13.34558824,28848.21581,18501.035,,,,
13.375,29977.62537,19103.104,,,,
13.49944853,31157.43658,19668.58,,,,
13.41470588,32382.48989,20153.47,,,,
