Speed,Actual,Predicted,2,,,
0,0,0,200,132330,108697,0.821406641
0,0,0,400,95617,100223,1.048167198
0,0,0,600,92190,102371,1.110443374
0,0,0,800,85279,102656,1.203777338
0,28.05586283,184.97916,1200,406531,454767,1.118652602
0,502.8454093,827.2793,,,,
0,2199.895879,1570.1489,,,,
0,3902.091261,2304.128,,,,
0,5650.745575,2975.1338,,,,
0,6896.563883,3571.063,,,,
0,8109.698285,4099.371,,,,
0,9223.547152,4572.558,,,,
0,10393.04038,5012.0815,,,,
0,11648.52019,5450.705,,,,
0,13189.13136,5912.555,,,,
0.349211836,14536.18128,6415.3833,,,,
4.707065819,16068.72207,6976.326,,,,
7.030143805,17205.16164,7615.3975,,,,
7.955613938,18314.82011,8353.182,,,,
8.695035951,18920.93473,9203.695,,,,
11.00076051,20237.47884,10155.791,,,,
12.77876106,21614.91911,11165.798,,,,
13.57252489,23417.48797,12186.335,,,,
13.6171875,24893.95561,13182.125,,,,
13.3431969,26188.34845,14134.038,,,,
13.27668695,27605.09831,15030.356,,,,
13.35287611,28984.80241,15853.137,,,,
13.42699115,30583.38122,16578.307,,,,
13.47856748,31921.46585,17176.99,,,,
12.39926715,33029.38772,17629.502,,,,
9.748064159,33460.4122,17953.357,,,,
6.654867257,34200.82937,18196.617,,,,
4.634679204,34978.69856,18410.963,,,,
1.531664823,35819.33393,18635.725,,,,
0.026548673,36562.46045,18898.436,,,,
0,37271.10509,19213.082,,,,
0,37842.12016,19584.227,,,,
0,38370.88178,20000.785,,,,
0,38865.62168,20450.393,,,,
0,39407.42658,20921.328,,,,
0,39873.28789,21404.197,,,,
0,40438.22995,21891.623,,,,
0,40950.65998,22378.375,,,,
0,41481.37237,22858.758,,,,
0,42008.47027,23328.873,,,,
0,42562.09859,23784.594,,,,
0,43108.04466,24222.76,,,,
0,43643.05227,24640.768,,,,
0,44204.56333,25035.17,,,,
0,44753.64671,25403.01,,,,
0,45315.81388,25741.316,,,,
0,45828.90514,26049.414,,,,
0,46392.33476,26328.828,,,,
0,46906.67105,26585.895,,,,
0,47469.97027,26834.14,,,,
0,47932.37832,27099.426,,,,
0.90161781,48262.79231,27428.037,,,,
2.994330752,48654.49972,27872.586,,,,
4.644081858,49050.87154,28481.635,,,,
7.233061394,49847.92132,29274.71,,,,
10.61843197,50897.8508,30224.713,,,,
14.31229259,52352.6846,31260.924,,,,
18.07708794,53954.84098,32314.492,,,,
20.95056692,55270.80213,33350.062,,,,
22.71792035,56280.54729,34354.402,,,,
24.38965708,57346.88468,35313.066,,,,
26.6772677,58913.0531,36195.047,,,,
28.95706582,60241.60772,36980.113,,,,
31.0210177,61650.60329,37709.188,,,,
31.99336283,62518.52088,38397.21,,,,
32.07190265,63127.27378,39049.766,,,,
31.84955752,63633.81762,39672.723,,,,
31.57411504,64114.51632,40273.867,,,,
31.30088496,64710.87887,40861.496,,,,
31.11456029,65257.30199,41443.266,,,,
30.91689712,65913.01881,42025.664,,,,
30.7920354,66443.29231,42614.227,,,,
30.65203263,67104.94718,43213.684,,,,
30.625,67691.67575,43828.125,,,,
30.625,68377.30752,44460.812,,,,
30.625,68987.77876,45114.316,,,,
30.625,69623.71612,45791.188,,,,
30.67809735,70249.21834,46494.01,,,,
30.85619469,70950.90445,47224.2,,,,
30.94358407,71614.09264,47981.375,,,,
31,72242.08048,48763.645,,,,
31.03761062,72927.81886,49567.066,,,,
31.10985896,73535.53595,50384.42,,,,
31.14988938,74231.31485,51204.016,,,,
31.20381637,74827.99157,52008.863,,,,
31.25,75493.14076,52776.203,,,,
31.12894082,76088.35232,53478.273,,,,
30.10723175,76525.93874,54086.63,,,,
27.35259956,76701.66496,54581.426,,,,
24.75442478,76719.64063,54962.676,,,,
21.64180033,76729.74281,55241.97,,,,
18.42097622,76963.96322,55445.254,,,,
16.06208518,77225.13814,55611.535,,,,
13.9663302,77468.79231,55769.266,,,,
11.26603982,77640.1698,55930.266,,,,
8.331374447,77838.67298,56106.973,,,,
4.521086836,78037.18238,56311.84,,,,
1.201949668,78310.61186,56554.598,,,,
0.024681969,78552.10523,56839.367,,,,
0,78754.16759,57161.594,,,,
0,78969.63924,57516.16,,,,
0,79166.83117,57892.66,,,,
0,79384.2453,58282.918,,,,
0,79586.88675,58680.17,,,,
0,79805.54909,59077.223,,,,
0,79999.37279,59468.445,,,,
0,80202.16773,59850.496,,,,
0,80404.41814,60220.12,,,,
0,80576.80296,60575.473,,,,
0,80792.41662,60915.176,,,,
0,80975.30379,61237.035,,,,
0,81197.34859,61538.87,,,,
0,81381.69953,61818.68,,,,
0,81594.25747,62074.89,,,,
0,81794.35205,62306.805,,,,
0,81994.28844,62516.273,,,,
0,82208.60454,62708.14,,,,
0,82414.1203,62891.95,,,,
0,82628.57329,63083.67,,,,
0,82818.65169,63307.24,,,,
0.164477323,83058.38274,63595.92,,,,
1.503318584,83352.98783,63991.188,,,,
3.168487279,83808.13067,64521.19,,,,
6.62963219,84566.56305,65177.453,,,,
8.779867257,85475.43238,65921.11,,,,
10.73160951,86274.57218,66707.9,,,,
12.69365321,87341.04522,67481.4,,,,
14.70132743,88201.90072,68210.266,,,,
16.49557522,89157.80572,68908.31,,,,
18.3803927,90023.99558,69597.1,,,,
20.17284292,91026.92091,70287.086,,,,
22.09983407,91980.05738,70965.98,,,,
23.86144912,93163.9393,71608.67,,,,
25.52488938,94107.20617,72211.58,,,,
27.08476217,95170.78236,72828.5,,,,
28.61946903,96132.05973,73491.22,,,,
30.23990597,97238.1297,74216.055,,,,
31.82860896,98281.51162,75006.05,,,,
33.71059181,99540.00277,75852.04,,,,
35.75926438,100886.1081,76731.68,,,,
37.50331858,102175.4599,77612.14,,,,
38.98748617,103619.1088,78466.875,,,,
40.38779038,104870.717,79316.69,,,,
41.80565542,106309.7967,80190.086,,,,
43.64159292,107731.1181,81095.16,,,,
45.61386892,109525.122,82020.13,,,,
47.68846792,111130.4046,82935.26,,,,
49.15286228,112719.9092,83798.62,,,,
49.29728982,113533.1402,84569.9,,,,
49.09637721,114179.3211,85237.62,,,,
48.7680448,114651.1177,85834.44,,,,
